case,threshold,role,spread_bucket,games,ats_graded,ats_w,ats_l,ats_p,ats_pct,avg_ats_margin,clv_games,avg_clv,median_clv,positive_clv_games,positive_clv_pct,zero_clv_games,negative_clv_games,avg_opening_spread,avg_closing_spread
def_vs_off_gap,gap_10+,Favorite,favorite_15_to_21,30.0,30.0,14.0,16.0,0.0,0.4666666666666667,-1.3538888888888891,18.0,0.4722222222222222,0.0,8.0,0.4444444444444444,5.0,5.0,-18.22222222222222,-18.733333333333334
def_vs_off_gap,gap_10+,Favorite,favorite_1_to_7,47.0,47.0,24.0,23.0,0.0,0.5106382978723404,-0.41808510638297874,29.0,-0.05172413793103448,0.0,10.0,0.3448275862068966,6.0,13.0,-3.6724137931034484,-3.925531914893617
def_vs_off_gap,gap_10+,Favorite,favorite_22plus,46.0,46.0,20.0,26.0,0.0,0.43478260869565216,-2.224456521739131,25.0,0.0,0.0,9.0,0.36,6.0,10.0,-29.16,-30.956521739130434
def_vs_off_gap,gap_10+,Favorite,favorite_8_to_14,21.0,21.0,10.0,11.0,0.0,0.47619047619047616,-7.775793650793652,13.0,-0.15384615384615385,0.0,5.0,0.38461538461538464,2.0,6.0,-11.807692307692308,-11.642857142857142
def_vs_off_gap,gap_10+,Underdog,underdog_15_to_21,14.0,14.0,6.0,8.0,0.0,0.42857142857142855,-3.6404761904761895,6.0,-1.0833333333333333,0.0,1.0,0.16666666666666666,3.0,2.0,16.416666666666668,18.321428571428573
def_vs_off_gap,gap_10+,Underdog,underdog_1_to_7,45.0,45.0,18.0,27.0,0.0,0.4,-2.8205555555555555,28.0,0.21428571428571427,0.5,14.0,0.5,4.0,10.0,4.285714285714286,4.2
def_vs_off_gap,gap_10+,Underdog,underdog_22plus,17.0,17.0,9.0,7.0,1.0,0.5625,3.086764705882353,10.0,-0.4,-0.25,4.0,0.4,1.0,5.0,27.25,29.794117647058822
def_vs_off_gap,gap_10+,Underdog,underdog_8_to_14,16.0,16.0,8.0,8.0,0.0,0.5,-0.2291666666666664,10.0,0.25,0.5,5.0,0.5,3.0,2.0,11.2,11.15625
def_vs_off_gap,gap_10+,Underdog,unknown,1.0,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,0.0,,0.0,0.0,,1.5
off_vs_def_gap,gap_10+,Favorite,favorite_15_to_21,36.0,36.0,19.0,17.0,0.0,0.5277777777777778,-1.086805555555556,26.0,0.28846153846153844,0.25,13.0,0.5,5.0,8.0,-16.884615384615383,-17.375
off_vs_def_gap,gap_10+,Favorite,favorite_1_to_7,59.0,59.0,34.0,24.0,1.0,0.5862068965517241,3.1872881355932203,34.0,0.0,0.0,13.0,0.38235294117647056,10.0,11.0,-4.264705882352941,-4.084745762711864
off_vs_def_gap,gap_10+,Favorite,favorite_22plus,52.0,52.0,25.0,27.0,0.0,0.4807692307692308,-0.7016025641025642,27.0,0.18518518518518517,0.0,11.0,0.4074074074074074,7.0,9.0,-28.85185185185185,-29.98076923076923
off_vs_def_gap,gap_10+,Favorite,favorite_8_to_14,35.0,35.0,24.0,11.0,0.0,0.6857142857142857,3.697380952380952,18.0,-0.1388888888888889,-0.25,7.0,0.3888888888888889,2.0,9.0,-10.444444444444445,-10.67142857142857
off_vs_def_gap,gap_10+,Favorite,unknown,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,1.5,1.5,1.0,1.0,0.0,0.0,2.5,1.0
off_vs_def_gap,gap_10+,Underdog,underdog_15_to_21,8.0,8.0,4.0,4.0,0.0,0.5,4.057291666666666,6.0,-0.4166666666666667,0.0,2.0,0.3333333333333333,2.0,2.0,14.916666666666666,16.375
off_vs_def_gap,gap_10+,Underdog,underdog_1_to_7,51.0,51.0,26.0,25.0,0.0,0.5098039215686274,-0.46274509803921576,25.0,0.66,0.0,11.0,0.44,6.0,8.0,4.6,4.088235294117647
off_vs_def_gap,gap_10+,Underdog,underdog_22plus,17.0,17.0,8.0,8.0,1.0,0.5,-1.316176470588235,9.0,-0.7777777777777778,0.0,3.0,0.3333333333333333,2.0,4.0,29.11111111111111,29.735294117647058
off_vs_def_gap,gap_10+,Underdog,underdog_8_to_14,33.0,33.0,16.0,17.0,0.0,0.48484848484848486,-0.3343434343434341,13.0,0.8076923076923077,1.0,7.0,0.5384615384615384,2.0,4.0,10.923076923076923,10.333333333333334
off_vs_def_gap,gap_10+,Underdog,unknown,2.0,2.0,0.0,2.0,0.0,0.0,-7.666666666666666,1.0,0.5,0.5,1.0,1.0,0.0,0.0,1.5,1.25
overall_gap,gap_10+,Favorite,favorite_15_to_21,33.0,33.0,17.0,16.0,0.0,0.5151515151515151,-2.1628787878787885,23.0,0.45652173913043476,0.5,12.0,0.5217391304347826,6.0,5.0,-17.26086956521739,-17.757575757575758
overall_gap,gap_10+,Favorite,favorite_1_to_7,47.0,47.0,22.0,24.0,1.0,0.4782608695652174,0.1173758865248229,28.0,0.08928571428571429,0.0,10.0,0.35714285714285715,8.0,10.0,-4.017857142857143,-4.191489361702128
overall_gap,gap_10+,Favorite,favorite_22plus,48.0,48.0,24.0,24.0,0.0,0.5,0.34687499999999966,28.0,0.19642857142857142,0.0,11.0,0.39285714285714285,7.0,10.0,-29.553571428571427,-30.739583333333332
overall_gap,gap_10+,Favorite,favorite_8_to_14,23.0,23.0,12.0,11.0,0.0,0.5217391304347826,-1.97463768115942,15.0,0.8666666666666667,0.5,8.0,0.5333333333333333,3.0,4.0,-10.766666666666667,-11.282608695652174
overall_gap,gap_10+,Underdog,underdog_15_to_21,4.0,4.0,0.0,4.0,0.0,0.0,-15.927083333333332,2.0,-4.0,-4.0,0.0,0.0,0.0,2.0,12.5,18.125
overall_gap,gap_10+,Underdog,underdog_1_to_7,38.0,38.0,20.0,18.0,0.0,0.5263157894736842,0.1853070175438594,22.0,0.3181818181818182,0.0,9.0,0.4090909090909091,6.0,7.0,4.2272727272727275,4.197368421052632
overall_gap,gap_10+,Underdog,underdog_22plus,14.0,14.0,9.0,4.0,1.0,0.6923076923076923,2.1041666666666665,11.0,-0.13636363636363635,0.0,5.0,0.45454545454545453,2.0,4.0,27.272727272727273,29.464285714285715
overall_gap,gap_10+,Underdog,underdog_8_to_14,20.0,20.0,12.0,8.0,0.0,0.6,-0.24750000000000058,9.0,0.5,1.0,6.0,0.6666666666666666,1.0,2.0,11.055555555555555,10.75
overall_gap,gap_10+,Underdog,unknown,1.0,1.0,0.0,1.0,0.0,0.0,-1.6666666666666667,0.0,,,0.0,,0.0,0.0,,1.5
