season,week,date,game_id,team,opponent,side,role,spread,spread_bucket,ats_margin,ats_result,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_gap,off_vs_def_gap,def_vs_off_gap,team_overall_pct,opp_overall_pct,team_offense_pct,opp_offense_pct,team_defense_pct,opp_defense_pct,case,threshold,game_id_key,market_opening_home_spread,market_closing_home_spread,market_season,market_week,market_home_team,market_home_key,market_away_team,market_away_key,team_key,opponent_key,team_is_home_market,team_is_away_market,market_team_identity_valid,team_opening_spread,team_closing_spread,team_clv,market_joined,team_conference,opponent_conference,team_tier,opponent_tier,matchup_class
2023,1,2023-08-26T23:30:00.000Z,401520147,Vanderbilt,Hawai'i,home,Favorite,-17.625,favorite_15_to_21,-10.625,L,65.0,73.0,56.0,47.0,45.0,49.0,18.0,24.0,11.0,,,,,,,overall_gap,gap_10+,401520147,,-17.0,2023,1,Vanderbilt,vanderbilt,Hawai'i,hawai i,vanderbilt,hawai i,True,False,True,,-17.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-01T00:00:00.000Z,401520176,Utah,Florida,home,Favorite,-6.3,favorite_1_to_7,6.7,W,76.0,83.0,69.0,54.0,55.0,53.0,22.0,30.0,14.0,,,,,,,overall_gap,gap_10+,401520176,,-5.5,2023,1,Utah,utah,Florida,florida,utah,florida,True,False,True,,-5.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-01T00:00:00.000Z,401520148,Nebraska,Minnesota,away,Underdog,7.3,underdog_1_to_7,4.3,W,69.0,72.0,66.0,58.0,59.0,57.0,11.0,15.0,7.0,,,,,,,overall_gap,gap_10+,401520148,,-7.5,2023,1,Minnesota,minnesota,Nebraska,nebraska,nebraska,minnesota,False,True,True,,7.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-01T23:30:00.000Z,401525462,Georgia Tech,Louisville,home,Underdog,7.6,underdog_8_to_14,2.5999999999999996,W,67.0,69.0,66.0,56.0,61.0,50.0,11.0,19.0,5.0,,,,,,,overall_gap,gap_10+,401525462,,7.0,2023,1,Georgia Tech,georgia tech,Louisville,louisville,georgia tech,louisville,True,False,True,,7.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T03:00:00.000Z,401523988,Hawai'i,Stanford,home,Underdog,3.625,underdog_1_to_7,-9.375,L,47.0,45.0,49.0,35.0,34.0,36.0,12.0,9.0,15.0,,,,,,,overall_gap,gap_10+,401523988,,2.0,2023,1,Hawai'i,hawai i,Stanford,stanford,hawai i,stanford,True,False,True,,2.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T16:00:00.000Z,401520172,Louisiana Tech,SMU,away,Underdog,20.125,underdog_15_to_21,-3.875,L,72.0,62.0,81.0,52.0,56.0,48.0,20.0,14.0,25.0,,,,,,,overall_gap,gap_10+,401520172,,-21.0,2023,1,SMU,smu,Louisiana Tech,louisiana tech,louisiana tech,smu,False,True,True,,21.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T16:00:00.000Z,401520162,Michigan,East Carolina,home,Favorite,-35.4,favorite_22plus,-8.399999999999999,L,81.0,84.0,78.0,34.0,30.0,39.0,47.0,45.0,48.0,,,,,,,overall_gap,gap_10+,401520162,,-36.0,2023,1,Michigan,michigan,East Carolina,east carolina,michigan,east carolina,True,False,True,,-36.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T16:00:00.000Z,401520179,Tennessee,Virginia,home,Favorite,-27.7,favorite_22plus,8.3,W,63.0,57.0,69.0,52.0,40.0,64.0,11.0,-7.0,29.0,,,,,,,overall_gap,gap_10+,401520179,,-27.5,2023,1,Tennessee,tennessee,Virginia,virginia,tennessee,virginia,True,False,True,,-27.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T18:00:00.000Z,401531387,Temple,Akron,home,Favorite,-9.875,favorite_8_to_14,-6.875,L,77.0,79.0,76.0,63.0,78.0,48.0,14.0,31.0,-2.0,,,,,,,overall_gap,gap_10+,401531387,,-9.5,2023,1,Temple,temple,Akron,akron,temple,akron,True,False,True,,-9.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T19:30:00.000Z,401520180,Wisconsin,Buffalo,home,Favorite,-27.0,favorite_22plus,-6.0,L,72.0,75.0,68.0,53.0,57.0,49.0,19.0,26.0,11.0,,,,,,,overall_gap,gap_10+,401520180,,-29.0,2023,1,Wisconsin,wisconsin,Buffalo,buffalo,wisconsin,buffalo,True,False,True,,-29.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T22:30:00.000Z,401523996,USC,Nevada,home,Favorite,-37.875,favorite_22plus,14.125,W,76.0,75.0,78.0,53.0,53.0,54.0,23.0,21.0,25.0,,,,,,,overall_gap,gap_10+,401523996,,-37.5,2023,1,USC,usc,Nevada,nevada,usc,nevada,True,False,True,,-37.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T23:00:00.000Z,401520175,Army,UL Monroe,away,Favorite,-8.375,favorite_8_to_14,-12.375,L,64.0,64.0,64.0,52.0,39.0,66.0,12.0,-2.0,25.0,,,,,,,overall_gap,gap_10+,401520175,,8.5,2023,1,UL Monroe,ulm,Army,army,army,ulm,False,True,True,,-8.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T23:00:00.000Z,401520173,Texas A&M,New Mexico,home,Favorite,-37.875,favorite_22plus,4.125,W,80.0,82.0,77.0,64.0,78.0,49.0,16.0,33.0,-1.0,,,,,,,overall_gap,gap_10+,401520173,,-37.5,2023,1,Texas A&M,texas a m,New Mexico,new mexico,texas a m,new mexico,True,False,True,,-37.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T23:30:00.000Z,401520149,Middle Tennessee,Alabama,away,Underdog,39.375,underdog_22plus,-9.625,L,69.0,52.0,86.0,40.0,43.0,38.0,29.0,14.0,43.0,,,,,,,overall_gap,gap_10+,401520149,,-39.5,2023,1,Alabama,alabama,Middle Tennessee,middle tennessee,middle tennessee,alabama,False,True,True,,39.5,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T23:30:00.000Z,401525825,Wyoming,Texas Tech,home,Underdog,13.6,underdog_8_to_14,15.6,W,83.0,82.0,84.0,64.0,75.0,52.0,19.0,30.0,9.0,,,,,,,overall_gap,gap_10+,401525825,,13.0,2023,1,Wyoming,wyoming,Texas Tech,texas tech,wyoming,texas tech,True,False,True,,13.0,,False,,,Unknown,Unknown,Unknown vs Unknown
2023,1,2023-09-02T23:30:00.000Z,401520155,Toledo,Illinois,away,Underdog,8.6,underdog_8_to_14,6.6,W,77.0,82.0,72.0,63.0,64.0,62.0,14.0,20.0,8.0,,,,,,,overall_gap,gap_10+,401520155,,-7.0,2023,1,Illinois,illinois,Toledo,toledo,toledo,illinois,False,True,True,,7.0,,False,,,Unknown,Unknown,Unknown vs Unknown
