season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_margin,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2023,1,2023-08-26T23:00:00.000Z,401525450,overall,New Mexico State,Massachusetts,New Mexico State,Massachusetts,home,Favorite,300.2,56.8,0.8129770992366412,0.08396946564885496,-7.7,-11.0,-18.7,L,-7.7,44.1
2023,1,2023-08-31T23:00:00.000Z,401525816,overall,UCF,Kent State,UCF,Kent State,home,Favorite,345.6,24.9,0.8549618320610687,0.022900763358778626,-34.9,50.0,15.100000000000001,W,-34.9,55.5
2023,1,2023-09-02T16:00:00.000Z,401520162,overall,Michigan,East Carolina,Michigan,East Carolina,home,Favorite,409.3,46.9,0.9083969465648855,0.05343511450381679,-35.4,27.0,-8.399999999999999,L,-35.4,52.4
2023,1,2023-09-02T19:30:00.000Z,401520156,overall,Indiana,Ohio State,Ohio State,Indiana,away,Favorite,397.3,75.2,0.8931297709923665,0.13740458015267176,-29.1,20.0,-9.100000000000001,L,29.1,59.3
2023,1,2023-09-02T22:30:00.000Z,401523996,overall,USC,Nevada,USC,Nevada,home,Favorite,599.9,38.1,0.9923664122137404,0.04580152671755725,-37.875,52.0,14.125,W,-37.875,63.5
2023,1,2023-09-02T23:30:00.000Z,401520155,overall,Illinois,Toledo,Toledo,Illinois,away,Underdog,351.3,93.7,0.8625954198473282,0.19083969465648856,8.6,-2.0,6.6,W,-8.6,47.0
2023,2,2023-09-08T23:30:00.000Z,401520195,overall,Kansas,Illinois,Kansas,Illinois,home,Favorite,565.6,93.7,0.9847328244274809,0.19083969465648856,-3.6666666666666665,11.0,7.333333333333334,W,-3.6666666666666665,57.166666666666664
2023,2,2023-09-09T16:00:00.000Z,401520191,overall,Georgia,Ball State,Georgia,Ball State,home,Favorite,300.2,65.9,0.8129770992366412,0.11450381679389313,-42.0,42.0,0.0,P,-42.0,52.666666666666664
2023,2,2023-09-09T19:30:00.000Z,401525497,overall,Syracuse,Western Michigan,Syracuse,Western Michigan,home,Favorite,283.7,92.9,0.8015267175572519,0.183206106870229,-24.666666666666668,41.0,16.333333333333332,W,-24.666666666666668,56.5
2023,2,2023-09-09T19:30:00.000Z,401531395,overall,UTSA,Texas State,UTSA,Texas State,home,Favorite,487.5,115.8,0.9618320610687023,0.24427480916030533,-13.833333333333334,7.0,-6.833333333333334,L,-13.833333333333334,66.5
2023,2,2023-09-09T20:00:00.000Z,401520184,overall,Arkansas,Kent State,Arkansas,Kent State,home,Favorite,273.0,24.9,0.7633587786259542,0.022900763358778626,-38.333333333333336,22.0,-16.333333333333336,L,-38.333333333333336,57.666666666666664
2023,2,2023-09-09T21:00:00.000Z,401524004,overall,Washington,Tulsa,Washington,Tulsa,home,Favorite,610.9,107.9,1.0,0.22900763358778625,-33.666666666666664,33.0,-0.6666666666666643,L,-33.666666666666664,66.33333333333333
2023,2,2023-09-09T23:30:00.000Z,401520200,overall,Maryland,Charlotte,Maryland,Charlotte,home,Favorite,371.7,59.0,0.8778625954198473,0.0916030534351145,-24.5,18.0,-6.5,L,-24.5,50.166666666666664
2023,2,2023-09-09T23:30:00.000Z,401520210,overall,Rutgers,Temple,Temple,Rutgers,away,Underdog,277.4,81.3,0.7862595419847328,0.16030534351145037,7.666666666666667,-29.0,-21.333333333333332,L,-7.666666666666667,43.666666666666664
2023,3,2023-09-15T23:00:00.000Z,401520231,overall,Maryland,Virginia,Maryland,Virginia,home,Favorite,371.7,31.6,0.8778625954198473,0.03816793893129771,-16.25,28.0,11.75,W,-16.25,48.25
2023,3,2023-09-16T21:00:00.000Z,401520233,overall,Michigan State,Washington,Washington,Michigan State,away,Favorite,610.9,70.3,1.0,0.1297709923664122,-14.833333333333334,34.0,19.166666666666664,W,14.833333333333334,57.25
2023,3,2023-09-16T22:00:00.000Z,401531403,overall,Charlotte,Georgia State,Georgia State,Charlotte,away,Favorite,273.8,59.0,0.7709923664122137,0.0916030534351145,-6.25,16.0,9.75,W,6.25,52.0
2023,3,2023-09-16T23:00:00.000Z,401525839,overall,Oklahoma State,South Alabama,South Alabama,Oklahoma State,away,Underdog,405.1,103.5,0.9007633587786259,0.21374045801526717,7.0,26.0,33.0,W,-7.0,49.25
2023,3,2023-09-16T23:30:00.000Z,401520232,overall,Michigan,Bowling Green,Michigan,Bowling Green,home,Favorite,409.3,100.6,0.9083969465648855,0.1984732824427481,-40.75,25.0,-15.75,L,-40.75,53.5
2023,3,2023-09-16T23:30:00.000Z,401520241,overall,Ole Miss,Georgia Tech,Ole Miss,Georgia Tech,home,Favorite,305.2,69.9,0.8244274809160306,0.12213740458015267,-17.0,25.0,8.0,W,-17.0,61.5
2023,3,2023-09-17T00:00:00.000Z,401520238,overall,New Mexico,New Mexico State,New Mexico State,New Mexico,away,Underdog,300.2,18.9,0.8129770992366412,0.015267175572519083,2.75,10.0,12.75,W,-2.75,52.25
2023,3,2023-09-17T02:30:00.000Z,401525837,overall,Nevada,Kansas,Kansas,Nevada,away,Favorite,565.6,38.1,0.9847328244274809,0.04580152671755725,-28.5,7.0,-21.5,L,28.5,58.0
2023,4,2023-09-23T16:00:00.000Z,401520260,overall,Michigan,Rutgers,Michigan,Rutgers,home,Favorite,409.3,81.3,0.9083969465648855,0.16030534351145037,-23.833333333333332,24.0,0.16666666666666785,W,-23.833333333333332,43.833333333333336
2023,4,2023-09-23T17:30:00.000Z,401532406,overall,Toledo,Western Michigan,Toledo,Western Michigan,home,Favorite,351.3,92.9,0.8625954198473282,0.183206106870229,-21.5,18.0,-3.5,L,-21.5,52.666666666666664
2023,4,2023-09-23T19:30:00.000Z,401532405,overall,Bowling Green,Ohio,Ohio,Bowling Green,away,Favorite,491.8,100.6,0.9694656488549618,0.1984732824427481,-13.0,31.0,18.0,W,13.0,44.833333333333336
2023,4,2023-09-23T19:30:00.000Z,401520261,overall,Michigan State,Maryland,Maryland,Michigan State,away,Favorite,371.7,70.3,0.8778625954198473,0.1297709923664122,-7.333333333333333,22.0,14.666666666666668,W,7.333333333333333,52.5
2023,4,2023-09-23T19:30:00.000Z,401524015,overall,Oregon,Colorado,Oregon,Colorado,home,Favorite,442.0,16.6,0.9389312977099237,0.007633587786259542,-21.0,36.0,15.0,W,-21.0,70.0
2023,4,2023-09-23T21:00:00.000Z,401531876,overall,South Alabama,Central Michigan,South Alabama,Central Michigan,home,Favorite,405.1,104.3,0.9007633587786259,0.22137404580152673,-16.166666666666668,-4.0,-20.166666666666668,L,-16.166666666666668,47.166666666666664
2024,1,2024-08-24T16:00:00.000Z,401635525,overall,Georgia Tech,Florida State,Georgia Tech,Florida State,home,Underdog,412.8,95.2,0.9473684210526315,0.21804511278195488,10.666666666666666,3.0,13.666666666666666,W,10.666666666666666,54.833333333333336
2024,1,2024-08-30T23:00:00.000Z,401628328,overall,Oklahoma,Temple,Oklahoma,Temple,home,Favorite,269.4,94.7,0.7819548872180451,0.21052631578947367,-43.0,48.0,5.0,W,-43.0,58.166666666666664
2024,1,2024-08-31T16:00:00.000Z,401628333,overall,Vanderbilt,Virginia Tech,Virginia Tech,Vanderbilt,away,Favorite,318.4,47.5,0.849624060150376,0.06015037593984962,-13.333333333333334,-7.0,-20.333333333333336,L,13.333333333333334,50.333333333333336
2024,1,2024-09-02T23:30:00.000Z,401634306,overall,Florida State,Boston College,Boston College,Florida State,away,Underdog,352.0,95.2,0.8947368421052632,0.21804511278195488,16.5,15.0,31.5,W,-16.5,51.0
2024,2,2024-09-07T16:00:00.000Z,401635534,overall,Syracuse,Georgia Tech,Georgia Tech,Syracuse,away,Favorite,412.8,91.3,0.9473684210526315,0.19548872180451127,-2.8333333333333335,-3.0,-5.833333333333334,L,2.8333333333333335,60.666666666666664
2024,2,2024-09-07T19:30:00.000Z,401628464,overall,Iowa,Iowa State,Iowa State,Iowa,away,Underdog,385.8,56.1,0.9172932330827067,0.09022556390977443,2.8333333333333335,1.0,3.8333333333333335,W,-2.8333333333333335,35.833333333333336
2024,2,2024-09-07T19:30:00.000Z,401629040,overall,Toledo,Massachusetts,Toledo,Massachusetts,home,Favorite,249.9,99.0,0.7518796992481203,0.22556390977443608,-17.5,15.0,-2.5,L,-17.5,50.833333333333336
2024,2,2024-09-07T20:30:00.000Z,401635540,overall,Virginia Tech,Marshall,Virginia Tech,Marshall,home,Favorite,318.4,88.1,0.849624060150376,0.17293233082706766,-20.666666666666668,17.0,-3.666666666666668,L,-20.666666666666668,52.666666666666664
2024,2,2024-09-07T23:00:00.000Z,401628344,overall,Missouri,Buffalo,Missouri,Buffalo,home,Favorite,461.9,38.1,0.9624060150375939,0.045112781954887216,-33.666666666666664,38.0,4.333333333333336,W,-33.666666666666664,52.333333333333336
2024,2,2024-09-07T23:00:00.000Z,401643780,overall,UL Monroe,UAB,UAB,UL Monroe,away,Favorite,334.6,39.0,0.8721804511278195,0.05263157894736842,-11.5,-26.0,-37.5,L,11.5,54.833333333333336
2024,2,2024-09-08T02:15:00.000Z,401640989,overall,New Mexico State,Liberty,Liberty,New Mexico State,away,Favorite,463.7,75.4,0.9699248120300752,0.11278195488721804,-22.166666666666668,6.0,-16.166666666666668,L,22.166666666666668,54.166666666666664
2024,3,2024-09-14T16:00:00.000Z,401635542,overall,Florida State,Memphis,Memphis,Florida State,away,Underdog,496.5,95.2,0.9849624060150376,0.21804511278195488,6.833333333333333,8.0,14.833333333333332,W,-6.833333333333333,53.666666666666664
