season,week,date,game_id,metric,home_team,away_team,high_rp_team,low_rp_team,high_rp_side,high_rp_role,high_rp_value,low_rp_value,high_rp_pctile,low_rp_pctile,high_rp_spread,high_rp_ats_margin,high_rp_ats_result,home_spread,total_line
2023,1,2023-08-31T23:00:00.000Z,401525816,overall,UCF,Kent State,UCF,Kent State,home,Favorite,0.68,0.074,0.7748091603053435,0.015267175572519083,-34.9,15.100000000000001,W,-34.9,55.5
2023,1,2023-09-02T16:00:00.000Z,401520162,overall,Michigan,East Carolina,Michigan,East Carolina,home,Favorite,0.777,0.088,0.8625954198473282,0.030534351145038167,-35.4,-8.399999999999999,L,-35.4,52.4
2023,1,2023-09-02T22:30:00.000Z,401523996,overall,USC,Nevada,USC,Nevada,home,Favorite,0.742,0.225,0.8244274809160306,0.10687022900763359,-37.875,14.125,W,-37.875,63.5
2023,1,2023-09-02T23:00:00.000Z,401525819,overall,Houston,UTSA,UTSA,Houston,away,Favorite,0.852,0.234,0.9389312977099237,0.12213740458015267,-1.5,-4.5,L,1.5,60.1
2023,1,2023-09-02T23:30:00.000Z,401520155,overall,Illinois,Toledo,Toledo,Illinois,away,Underdog,0.789,0.321,0.9007633587786259,0.19083969465648856,8.6,6.6,W,-8.6,47.0
2023,1,2023-09-03T02:30:00.000Z,401523995,overall,UCLA,Coastal Carolina,Coastal Carolina,UCLA,away,Underdog,0.915,0.281,0.9618320610687023,0.1450381679389313,15.375,1.375,W,-15.375,66.25
2023,2,2023-09-08T23:30:00.000Z,401520195,overall,Kansas,Illinois,Kansas,Illinois,home,Favorite,1.003,0.321,1.0,0.19083969465648856,-3.6666666666666665,7.333333333333334,W,-3.6666666666666665,57.166666666666664
2023,2,2023-09-09T21:00:00.000Z,401524004,overall,Washington,Tulsa,Washington,Tulsa,home,Favorite,0.887,0.262,0.9541984732824428,0.13358778625954199,-33.666666666666664,-0.6666666666666643,L,-33.666666666666664,66.33333333333333
2023,2,2023-09-09T23:30:00.000Z,401524001,overall,San Diego State,UCLA,San Diego State,UCLA,home,Underdog,0.78,0.281,0.8702290076335878,0.1450381679389313,13.5,-11.5,L,13.5,49.166666666666664
2023,2,2023-09-09T23:30:00.000Z,401520200,overall,Maryland,Charlotte,Maryland,Charlotte,home,Favorite,0.784,0.144,0.8778625954198473,0.05725190839694656,-24.5,-6.5,L,-24.5,50.166666666666664
2023,3,2023-09-15T23:00:00.000Z,401520231,overall,Maryland,Virginia,Maryland,Virginia,home,Favorite,0.784,0.211,0.8778625954198473,0.09541984732824428,-16.25,11.75,W,-16.25,48.25
2023,3,2023-09-16T21:00:00.000Z,401520233,overall,Michigan State,Washington,Washington,Michigan State,away,Favorite,0.887,0.21,0.9541984732824428,0.08396946564885496,-14.833333333333334,19.166666666666664,W,14.833333333333334,57.25
2023,3,2023-09-16T22:00:00.000Z,401531403,overall,Charlotte,Georgia State,Georgia State,Charlotte,away,Favorite,0.688,0.144,0.7938931297709924,0.05725190839694656,-6.25,9.75,W,6.25,52.0
2023,3,2023-09-16T23:00:00.000Z,401525835,overall,Cincinnati,Miami (OH),Miami (OH),Cincinnati,away,Underdog,0.675,0.067,0.7633587786259542,0.007633587786259542,14.25,21.25,W,-14.25,44.25
2023,3,2023-09-16T23:00:00.000Z,401525839,overall,Oklahoma State,South Alabama,South Alabama,Oklahoma State,away,Underdog,0.856,0.3,0.9465648854961832,0.16793893129770993,7.0,33.0,W,-7.0,49.25
2023,3,2023-09-16T23:30:00.000Z,401520232,overall,Michigan,Bowling Green,Michigan,Bowling Green,home,Favorite,0.777,0.299,0.8625954198473282,0.16030534351145037,-40.75,-15.75,L,-40.75,53.5
2023,3,2023-09-16T23:30:00.000Z,401520242,overall,Purdue,Syracuse,Syracuse,Purdue,away,Favorite,0.767,0.344,0.8549618320610687,0.20610687022900764,-1.0,14.0,W,1.0,56.5
2023,3,2023-09-17T02:00:00.000Z,401524007,overall,Colorado,Colorado State,Colorado State,Colorado,away,Underdog,0.92,0.077,0.9694656488549618,0.022900763358778626,21.333333333333332,13.333333333333332,W,-21.333333333333332,63.25
2023,3,2023-09-17T02:30:00.000Z,401525837,overall,Nevada,Kansas,Kansas,Nevada,away,Favorite,1.003,0.225,1.0,0.10687022900763359,-28.5,-21.5,L,28.5,58.0
2023,4,2023-09-23T02:30:00.000Z,401532584,overall,San José State,Air Force,San José State,Air Force,home,Underdog,0.685,0.358,0.7862595419847328,0.2366412213740458,6.166666666666667,-18.833333333333332,L,6.166666666666667,45.333333333333336
2023,4,2023-09-23T19:30:00.000Z,401532405,overall,Bowling Green,Ohio,Ohio,Bowling Green,away,Favorite,0.921,0.299,0.9809160305343512,0.16030534351145037,-13.0,18.0,W,13.0,44.833333333333336
2023,4,2023-09-23T19:30:00.000Z,401520261,overall,Michigan State,Maryland,Maryland,Michigan State,away,Favorite,0.784,0.21,0.8778625954198473,0.08396946564885496,-7.333333333333333,14.666666666666668,W,7.333333333333333,52.5
2023,4,2023-09-23T19:30:00.000Z,401525850,overall,West Virginia,Texas Tech,Texas Tech,West Virginia,away,Favorite,0.764,0.351,0.8473282442748091,0.22137404580152673,-5.833333333333333,-12.833333333333332,L,5.833333333333333,54.166666666666664
2023,4,2023-09-23T19:30:00.000Z,401525847,overall,Kansas,BYU,Kansas,BYU,home,Favorite,1.003,0.294,1.0,0.15267175572519084,-9.333333333333334,1.666666666666666,W,-9.333333333333334,54.833333333333336
2023,4,2023-09-23T19:30:00.000Z,401524017,overall,Utah,UCLA,Utah,UCLA,home,Favorite,0.72,0.281,0.8015267175572519,0.1450381679389313,-3.8333333333333335,3.1666666666666665,W,-3.8333333333333335,51.333333333333336
2023,4,2023-09-23T19:30:00.000Z,401524015,overall,Oregon,Colorado,Oregon,Colorado,home,Favorite,0.807,0.077,0.9083969465648855,0.022900763358778626,-21.0,15.0,W,-21.0,70.0
2023,4,2023-09-23T21:00:00.000Z,401531876,overall,South Alabama,Central Michigan,South Alabama,Central Michigan,home,Favorite,0.856,0.358,0.9465648854961832,0.2366412213740458,-16.166666666666668,-20.166666666666668,L,-16.166666666666668,47.166666666666664
2023,4,2023-09-23T23:00:00.000Z,401520262,overall,Middle Tennessee,Colorado State,Colorado State,Middle Tennessee,away,Underdog,0.92,0.337,0.9694656488549618,0.1984732824427481,3.5,11.5,W,-3.5,50.5
2023,4,2023-09-23T23:30:00.000Z,401520256,overall,Indiana,Akron,Akron,Indiana,away,Underdog,0.723,0.358,0.8091603053435115,0.2366412213740458,16.5,14.5,W,-16.5,45.833333333333336
2023,4,2023-09-24T00:00:00.000Z,401525510,overall,Pittsburgh,North Carolina,North Carolina,Pittsburgh,away,Favorite,0.754,0.319,0.8320610687022901,0.183206106870229,-7.166666666666667,9.833333333333332,W,7.166666666666667,49.666666666666664
2024,1,2024-08-24T16:00:00.000Z,401635525,overall,Georgia Tech,Florida State,Georgia Tech,Florida State,home,Underdog,0.849,0.211,0.9323308270676691,0.12030075187969924,10.666666666666666,13.666666666666666,W,10.666666666666666,54.833333333333336
2024,1,2024-08-31T16:00:00.000Z,401628333,overall,Vanderbilt,Virginia Tech,Virginia Tech,Vanderbilt,away,Favorite,0.838,0.163,0.9172932330827067,0.06766917293233082,-13.333333333333334,-20.333333333333336,L,13.333333333333334,50.333333333333336
2024,1,2024-08-31T19:30:00.000Z,401628454,overall,Nebraska,UTEP,Nebraska,UTEP,home,Favorite,0.625,0.236,0.7669172932330827,0.15413533834586465,-27.5,5.5,W,-27.5,48.75
2024,1,2024-08-31T23:30:00.000Z,401628452,overall,Michigan,Fresno State,Fresno State,Michigan,away,Underdog,0.683,0.26,0.8195488721804511,0.18796992481203006,21.0,1.0,W,-21.0,46.5
2024,1,2024-09-01T00:00:00.000Z,401643774,overall,Charlotte,James Madison,Charlotte,James Madison,home,Underdog,0.623,0.037,0.7593984962406015,0.022556390977443608,7.0,-16.0,L,7.0,49.25
2024,1,2024-09-02T23:30:00.000Z,401634306,overall,Florida State,Boston College,Boston College,Florida State,away,Underdog,0.882,0.211,0.9699248120300752,0.12030075187969924,16.5,31.5,W,-16.5,51.0
2024,2,2024-09-07T16:00:00.000Z,401643784,overall,Memphis,Troy,Memphis,Troy,home,Favorite,0.798,0.257,0.8947368421052632,0.17669172932330826,-18.666666666666668,2.333333333333332,W,-18.666666666666668,56.666666666666664
2024,2,2024-09-07T16:00:00.000Z,401645323,overall,Florida Atlantic,Army,Army,Florida Atlantic,away,Underdog,0.702,0.027,0.8270676691729323,0.015037593984962405,2.0,19.0,W,-2.0,42.166666666666664
2024,2,2024-09-07T20:30:00.000Z,401635540,overall,Virginia Tech,Marshall,Virginia Tech,Marshall,home,Favorite,0.838,0.269,0.9172932330827067,0.21052631578947367,-20.666666666666668,-3.666666666666668,L,-20.666666666666668,52.666666666666664
2024,2,2024-09-07T23:00:00.000Z,401628344,overall,Missouri,Buffalo,Missouri,Buffalo,home,Favorite,0.875,0.141,0.9548872180451128,0.05263157894736842,-33.666666666666664,4.333333333333336,W,-33.666666666666664,52.333333333333336
2024,2,2024-09-07T23:00:00.000Z,401643780,overall,UL Monroe,UAB,UAB,UL Monroe,away,Favorite,0.65,0.166,0.7969924812030075,0.07518796992481203,-11.5,-37.5,L,11.5,54.833333333333336
2024,2,2024-09-07T23:30:00.000Z,401628468,overall,Ohio State,Western Michigan,Western Michigan,Ohio State,away,Underdog,0.794,0.224,0.8872180451127819,0.14285714285714285,37.333333333333336,-18.666666666666664,L,-37.333333333333336,54.333333333333336
2024,2,2024-09-08T02:15:00.000Z,401640989,overall,New Mexico State,Liberty,Liberty,New Mexico State,away,Favorite,0.738,0.137,0.8721804511278195,0.045112781954887216,-22.166666666666668,-16.166666666666668,L,22.166666666666668,54.166666666666664
2024,3,2024-09-14T16:00:00.000Z,401628479,overall,Michigan,Arkansas State,Arkansas State,Michigan,away,Underdog,0.859,0.26,0.943609022556391,0.18796992481203006,22.0,12.0,W,-22.0,46.833333333333336
2024,3,2024-09-14T16:00:00.000Z,401635542,overall,Florida State,Memphis,Memphis,Florida State,away,Underdog,0.798,0.211,0.8947368421052632,0.12030075187969924,6.833333333333333,14.833333333333332,W,-6.833333333333333,53.666666666666664
2024,3,2024-09-14T22:00:00.000Z,401640990,overall,Liberty,UTEP,Liberty,UTEP,home,Favorite,0.738,0.236,0.8721804511278195,0.15413533834586465,-23.666666666666668,-5.666666666666668,L,-23.666666666666668,57.5
