season,week,date,game_id,team,opponent,spread,ats_result,ats_margin,team_clv,team_conference,opponent_conference,team_tier,opponent_tier,conference_matchup_type,team_overall,team_offense,team_defense,opp_overall,opp_offense,opp_defense,overall_rp_edge,off_vs_def_rp_edge,def_vs_off_rp_edge
2021,1,2021-09-04T19:30:00.000Z,401281942,Alabama,Miami,-19.5,W,11.5,,SEC,ACC,P4,P4,P4_vs_P4,55.0,33.0,77.0,91.0,95.0,86.0,-36.0,-53.0,-18.0
2021,1,2021-09-04T19:30:00.000Z,401281942,Miami,Alabama,19.5,L,-11.5,,ACC,SEC,P4,P4,P4_vs_P4,91.0,95.0,86.0,55.0,33.0,77.0,36.0,18.0,53.0
2021,1,2021-09-04T18:00:00.000Z,401281943,Arkansas,Rice,-19.5,W,1.5,,SEC,Conference USA,P4,G6,P4_vs_G6,78.0,70.0,85.0,69.0,59.0,79.0,9.0,-9.0,26.0
2021,1,2021-09-04T18:00:00.000Z,401281943,Rice,Arkansas,19.5,L,-1.5,,Conference USA,SEC,G6,P4,G6_vs_P4,69.0,59.0,79.0,78.0,70.0,85.0,-9.0,-26.0,9.0
2021,1,2021-09-04T23:00:00.000Z,401281944,Akron,Auburn,37.0,L,-13.0,,MAC,SEC,G6,P4,G6_vs_P4,79.0,85.0,73.0,73.0,73.0,72.0,6.0,13.0,0.0
2021,1,2021-09-04T23:00:00.000Z,401281944,Auburn,Akron,-37.0,W,13.0,,SEC,MAC,P4,G6,P4_vs_G6,73.0,73.0,72.0,79.0,85.0,73.0,-6.0,0.0,-13.0
2021,1,2021-09-04T23:30:00.000Z,401281945,Florida,Florida Atlantic,-23.5,L,-2.5,,SEC,Conference USA,P4,G6,P4_vs_G6,55.0,41.0,70.0,64.0,76.0,51.0,-9.0,-10.0,-6.0
2021,1,2021-09-04T23:30:00.000Z,401281945,Florida Atlantic,Florida,23.5,W,2.5,,Conference USA,SEC,G6,P4,G6_vs_P4,64.0,76.0,51.0,55.0,41.0,70.0,9.0,6.0,10.0
2021,1,2021-09-04T23:30:00.000Z,401281946,Clemson,Georgia,-2.5,L,-9.5,,ACC,SEC,P4,P4,P4_vs_P4,69.0,46.0,92.0,62.0,84.0,39.0,7.0,7.0,8.0
2021,1,2021-09-04T23:30:00.000Z,401281946,Georgia,Clemson,2.5,W,9.5,,SEC,ACC,P4,P4,P4_vs_P4,62.0,84.0,39.0,69.0,46.0,92.0,-7.0,-8.0,-7.0
2021,1,2021-09-04T16:00:00.000Z,401281947,Kentucky,UL Monroe,-31.0,W,4.0,,SEC,Sun Belt,P4,G6,P4_vs_G6,60.0,60.0,60.0,59.0,64.0,55.0,1.0,5.0,-4.0
2021,1,2021-09-04T16:00:00.000Z,401281947,UL Monroe,Kentucky,31.0,L,-4.0,,Sun Belt,SEC,G6,P4,G6_vs_P4,59.0,64.0,55.0,60.0,60.0,60.0,-1.0,4.0,-5.0
2021,1,2021-09-05T00:30:00.000Z,401281948,LSU,UCLA,-2.0,L,-13.0,,,,,,,79.0,82.0,76.0,91.0,95.0,88.0,-12.0,-6.0,-19.0
2021,1,2021-09-05T00:30:00.000Z,401281948,UCLA,LSU,2.0,W,13.0,,,,,,,91.0,95.0,88.0,79.0,82.0,76.0,12.0,19.0,6.0
2021,1,2021-09-04T20:00:00.000Z,401281949,Louisiana Tech,Mississippi State,20.5,W,19.5,,Conference USA,SEC,G6,P4,G6_vs_P4,56.0,48.0,65.0,79.0,72.0,85.0,-23.0,-37.0,-7.0
2021,1,2021-09-04T20:00:00.000Z,401281949,Mississippi State,Louisiana Tech,-20.5,L,-19.5,,SEC,Conference USA,P4,G6,P4_vs_G6,79.0,72.0,85.0,56.0,48.0,65.0,23.0,7.0,37.0
2021,1,2021-09-04T20:00:00.000Z,401281950,Central Michigan,Missouri,14.0,W,4.0,,MAC,SEC,G6,P4,G6_vs_P4,81.0,84.0,79.0,72.0,82.0,62.0,9.0,22.0,-3.0
2021,1,2021-09-04T20:00:00.000Z,401281950,Missouri,Central Michigan,-14.0,L,-4.0,,SEC,MAC,P4,G6,P4_vs_G6,72.0,82.0,62.0,81.0,84.0,79.0,-9.0,3.0,-22.0
2021,1,2021-09-03T00:00:00.000Z,401281952,Bowling Green,Tennessee,37.0,W,5.0,,MAC,SEC,G6,P4,G6_vs_P4,69.0,59.0,78.0,54.0,53.0,54.0,15.0,5.0,25.0
