season,week,date,game_id,case,team,opponent,team_side,role,spread,ats_margin,ats_result,team_overall,team_overall_rank,team_offense,team_offense_rank,team_defense,team_defense_rank,opponent_overall,opponent_overall_rank,opponent_offense,opponent_offense_rank,opponent_defense,opponent_defense_rank
2023,1,2023-09-01T00:00:00.000Z,401520176,High Overall RP vs Low Overall RP,Utah,Florida,home,Favorite,-6.3,6.7,W,76.0,16.0,83.0,5.0,69.0,45.0,54.0,107.0,55.0,103.0,53.0,91.0
2023,1,2023-09-02T16:00:00.000Z,401520172,High Overall RP vs Low Overall RP,Louisiana Tech,SMU,away,Underdog,20.125,-3.875,L,72.0,26.0,62.0,80.0,81.0,6.0,52.0,117.0,56.0,101.0,48.0,112.0
2023,1,2023-09-02T16:00:00.000Z,401520162,High Overall RP vs Low Overall RP,Michigan,East Carolina,home,Favorite,-35.4,-8.399999999999999,L,81.0,5.0,84.0,4.0,78.0,16.0,34.0,130.0,30.0,132.0,39.0,125.0
2023,1,2023-09-02T19:30:00.000Z,401520180,High Overall RP vs Low Overall RP,Wisconsin,Buffalo,home,Favorite,-27.0,-6.0,L,72.0,27.0,75.0,30.0,68.0,48.0,53.0,110.0,57.0,95.0,49.0,108.0
2023,1,2023-09-02T22:30:00.000Z,401523996,High Overall RP vs Low Overall RP,USC,Nevada,home,Favorite,-37.875,14.125,W,76.0,14.0,75.0,32.0,78.0,15.0,53.0,108.0,53.0,105.0,54.0,89.0
2023,2,2023-09-09T16:00:00.000Z,401523999,High Overall RP vs Low Overall RP,Utah,Baylor,away,Favorite,-7.0,0.0,P,76.0,16.0,83.0,5.0,69.0,45.0,55.0,100.0,60.0,88.0,51.0,97.0
2023,2,2023-09-09T19:30:00.000Z,401525497,High Overall RP vs Low Overall RP,Syracuse,Western Michigan,home,Favorite,-24.666666666666668,16.333333333333332,W,73.0,24.0,73.0,39.0,72.0,33.0,49.0,121.0,67.0,61.0,31.0,129.0
2023,2,2023-09-09T21:00:00.000Z,401524004,High Overall RP vs Low Overall RP,Washington,Tulsa,home,Favorite,-33.666666666666664,-0.6666666666666643,L,73.0,22.0,74.0,34.0,73.0,30.0,40.0,126.0,41.0,122.0,38.0,126.0
2023,2,2023-09-09T23:00:00.000Z,401520183,High Overall RP vs Low Overall RP,Texas,Alabama,away,Underdog,7.166666666666667,17.166666666666668,W,74.0,19.0,85.0,3.0,63.0,68.0,40.0,125.0,43.0,120.0,38.0,127.0
2023,2,2023-09-10T02:30:00.000Z,401524003,High Overall RP vs Low Overall RP,USC,Stanford,home,Favorite,-28.666666666666668,17.333333333333332,W,76.0,14.0,75.0,32.0,78.0,15.0,35.0,129.0,34.0,129.0,36.0,128.0
2023,3,2023-09-16T20:00:00.000Z,401520245,High Overall RP vs Low Overall RP,Texas A&M,UL Monroe,home,Favorite,-36.5,7.5,W,80.0,7.0,82.0,8.0,77.0,19.0,52.0,113.0,39.0,124.0,66.0,55.0
2023,3,2023-09-17T02:30:00.000Z,401525837,High Overall RP vs Low Overall RP,Kansas,Nevada,away,Favorite,-28.5,-21.5,L,85.0,2.0,91.0,1.0,80.0,10.0,53.0,108.0,53.0,105.0,54.0,89.0
2023,4,2023-09-23T17:30:00.000Z,401532406,High Overall RP vs Low Overall RP,Toledo,Western Michigan,home,Favorite,-21.5,-3.5,L,77.0,11.0,82.0,6.0,72.0,32.0,49.0,121.0,67.0,61.0,31.0,129.0
