game_id,week,date,away_team,home_team,signal_team,signal_opponent,signal_side,overall_rp,offense_rp,defense_rp,opponent_overall_rp,opponent_offense_rp,opponent_defense_rp,overall_rp_edge,offense_vs_defense_edge,defense_vs_offense_edge,model_spread_field,full_game_model_spread,estimated_1h_spread,estimated_1h_role,candidate_a_defensive_favorite,candidate_b_offensive_underdog
g12,1,2026-09-03,Colorado,Georgia Tech,Colorado,Georgia Tech,away,55.0,57.0,53.0,49.0,37.0,61.0,6.0,-4.0,16.0,projection_spread_home,-7.66,-3.83,Favorite,False,False
g12,1,2026-09-03,Colorado,Georgia Tech,Georgia Tech,Colorado,home,49.0,37.0,61.0,55.0,57.0,53.0,-6.0,-16.0,4.0,projection_spread_home,7.66,3.83,Underdog,False,False
g16,1,2026-09-03,Massachusetts,Rutgers,Massachusetts,Rutgers,away,46.0,49.0,43.0,47.0,49.0,46.0,-1.0,3.0,-6.0,projection_spread_home,-31.105,-15.5525,Favorite,False,False
g16,1,2026-09-03,Massachusetts,Rutgers,Rutgers,Massachusetts,home,47.0,49.0,46.0,46.0,49.0,43.0,1.0,6.0,-3.0,projection_spread_home,31.105,15.5525,Underdog,False,True
g18,1,2026-09-03,Akron,Wake Forest,Akron,Wake Forest,away,40.0,44.0,37.0,53.0,45.0,61.0,-13.0,-17.0,-8.0,projection_spread_home,-24.805,-12.4025,Favorite,False,False
g18,1,2026-09-03,Akron,Wake Forest,Wake Forest,Akron,home,53.0,45.0,61.0,40.0,44.0,37.0,13.0,8.0,17.0,projection_spread_home,24.805,12.4025,Underdog,False,False
g19,1,2026-09-04,San Jose State,Eastern Michigan,San Jose State,Eastern Michigan,away,24.0,24.0,23.0,62.0,59.0,64.0,-38.0,-40.0,-36.0,projection_spread_home,-0.6075,-0.30375,Favorite,False,False
g19,1,2026-09-04,San Jose State,Eastern Michigan,Eastern Michigan,San Jose State,home,62.0,59.0,64.0,24.0,24.0,23.0,38.0,36.0,40.0,projection_spread_home,0.6075,0.30375,Underdog,False,False
g22,1,2026-09-04,Miami-FL,Stanford,Miami-FL,Stanford,away,49.0,48.0,51.0,60.0,58.0,62.0,-11.0,-14.0,-7.0,projection_spread_home,24.8075,12.40375,Underdog,False,False
g22,1,2026-09-04,Miami-FL,Stanford,Stanford,Miami-FL,home,60.0,58.0,62.0,49.0,48.0,51.0,11.0,7.0,14.0,projection_spread_home,-24.8075,-12.40375,Favorite,False,False
g24,1,2026-09-05,East Carolina,Alabama,East Carolina,Alabama,away,42.0,33.0,50.0,48.0,35.0,61.0,-6.0,-28.0,15.0,projection_spread_home,-23.7925,-11.89625,Favorite,False,False
g24,1,2026-09-05,East Carolina,Alabama,Alabama,East Carolina,home,48.0,35.0,61.0,42.0,33.0,50.0,6.0,-15.0,28.0,projection_spread_home,23.7925,11.89625,Underdog,False,False
g30,1,2026-09-05,Baylor,Auburn,Baylor,Auburn,away,53.0,44.0,62.0,57.0,56.0,58.0,-4.0,-14.0,6.0,projection_spread_home,-7.255,-3.6275,Favorite,False,False
g30,1,2026-09-05,Baylor,Auburn,Auburn,Baylor,home,57.0,56.0,58.0,53.0,44.0,62.0,4.0,-6.0,14.0,projection_spread_home,7.255,3.6275,Underdog,False,False
g33,1,2026-09-05,UCLA,California,UCLA,California,away,67.0,73.0,61.0,58.0,70.0,45.0,9.0,28.0,-9.0,projection_spread_home,-1.6675,-0.83375,Favorite,False,False
g33,1,2026-09-05,UCLA,California,California,UCLA,home,58.0,70.0,45.0,67.0,73.0,61.0,-9.0,9.0,-28.0,projection_spread_home,1.6675,0.83375,Underdog,False,True
g35,1,2026-09-05,Boston College,Cincinnati,Boston College,Cincinnati,away,50.0,44.0,57.0,57.0,57.0,56.0,-7.0,-12.0,0.0,projection_spread_home,-9.44,-4.72,Favorite,False,False
g35,1,2026-09-05,Boston College,Cincinnati,Cincinnati,Boston College,home,57.0,57.0,56.0,50.0,44.0,57.0,7.0,0.0,12.0,projection_spread_home,9.44,4.72,Underdog,False,False
g36,1,2026-09-05,Wyoming,Colorado State,Wyoming,Colorado State,away,40.0,43.0,36.0,46.0,38.0,54.0,-6.0,-11.0,-2.0,projection_spread_home,-1.995,-0.9975,Favorite,False,False
g36,1,2026-09-05,Wyoming,Colorado State,Colorado State,Wyoming,home,46.0,38.0,54.0,40.0,43.0,36.0,6.0,2.0,11.0,projection_spread_home,1.995,0.9975,Underdog,False,False
g38,1,2026-09-05,Tulane,Duke,Tulane,Duke,away,40.0,28.0,52.0,49.0,48.0,51.0,-9.0,-23.0,4.0,projection_spread_home,-7.9325,-3.96625,Favorite,False,False
