rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
ALL__BOTH_COMPONENTS__10_PLUS,ALL: both RP components 10+,both_components,65,25,40,0,-2.3461538461538463,-2.5,-5.023076923076923,2,0.38461538461538464,-11.538461538461533,-2.216666666666667,-2.4571428571428573,30.0,35.0,0.4,0.37142857142857144,0,0,30.0,0.02857142857142858,0.2404761904761905,-9.61,No actionable signal
ALL__BOTH_COMPONENTS__15_PLUS,ALL: both RP components 15+,both_components,35,16,19,0,-0.35714285714285715,-0.5,-5.5,2,0.45714285714285713,-4.285714285714285,-1.3571428571428572,1.1428571428571428,21.0,14.0,0.42857142857142855,0.5,0,1,14.0,0.07142857142857145,2.5,8.33,No actionable signal
ALL__BOTH_COMPONENTS__25_PLUS,ALL: both RP components 25+,both_components,11,7,4,0,0.45454545454545453,5.5,-8.272727272727273,2,0.6363636363636364,13.636363636363633,1.0,-0.5,7.0,4.0,0.7142857142857143,0.5,1,1,4.0,0.2142857142857143,1.5,42.45,Small-sample lead
ALL__BOTH_COMPONENTS__5_PLUS,ALL: both RP components 5+,both_components,87,38,49,0,-1.6436781609195403,-1.5,-3.8505747126436782,2,0.4367816091954023,-6.3218390804597675,-1.744186046511628,-1.5454545454545454,43.0,44.0,0.4418604651162791,0.4318181818181818,0,0,43.0,0.010042283298097254,0.19873150105708248,6.7,No actionable signal
ALL__DEFENSE_VS_OFFENSE__10_TO_14_9,ALL: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,26,5,21,0,-8.51923076923077,-7.0,-3.980769230769231,2,0.19230769230769232,-30.769230769230766,-10.333333333333334,-7.5588235294117645,9.0,17.0,0.2222222222222222,0.17647058823529413,0,0,9.0,0.04575163398692808,2.7745098039215694,-43.53,No actionable signal
ALL__DEFENSE_VS_OFFENSE__15_TO_24_9,ALL: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,43,16,27,0,-1.755813953488372,-1.5,-1.0116279069767442,2,0.37209302325581395,-12.790697674418603,-3.6315789473684212,-0.2708333333333333,19.0,24.0,0.21052631578947367,0.5,0,0,19.0,0.2894736842105263,3.3607456140350878,-26.77,No actionable signal
ALL__DEFENSE_VS_OFFENSE__25_PLUS,ALL: Def RP vs opp Off RP edge 25+,defense_vs_offense,47,26,21,0,1.2234042553191489,2.5,-4.4361702127659575,2,0.5531914893617021,5.319148936170215,-0.40384615384615385,3.238095238095238,26.0,21.0,0.5384615384615384,0.5714285714285714,2,1,21.0,0.03296703296703296,3.641941391941392,55.93,Promising exploratory
ALL__DEF_POS_OFF_NEG,"ALL: defense edge positive, offense edge negative",mixed_components,33,13,20,0,-3.0454545454545454,-2.5,-1.2878787878787878,2,0.3939393939393939,-10.606060606060609,-6.75,0.4411764705882353,16.0,17.0,0.25,0.5294117647058824,1,1,16.0,0.27941176470588236,7.1911764705882355,-22.79,No actionable signal
ALL__EITHER_COMPONENT__15_PLUS,ALL: either RP component 15+,either_component,154,70,84,0,-0.4642857142857143,-0.5,-2.646103896103896,2,0.45454545454545453,-4.545454545454547,-1.0921052631578947,0.14743589743589744,76.0,78.0,0.40789473684210525,0.5,0,1,76.0,0.09210526315789475,1.239541160593792,19.0,No actionable signal
ALL__EITHER_COMPONENT__25_PLUS,ALL: either RP component 25+,either_component,92,44,48,0,0.45652173913043476,-0.5,-3.8260869565217392,2,0.4782608695652174,-2.173913043478258,-1.2307692307692308,2.65,52.0,40.0,0.4230769230769231,0.55,1,1,40.0,0.12692307692307697,3.8807692307692307,32.98,No actionable signal
