rule_key,rule_label,family,season,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct
ALL__BOTH_COMPONENTS__10_PLUS,ALL: both RP components 10+,both_components,2024,30,12,18,0,-2.216666666666667,-1.0,-4.883333333333334,1,0.4,-10.0
ALL__BOTH_COMPONENTS__10_PLUS,ALL: both RP components 10+,both_components,2025,35,13,22,0,-2.4571428571428573,-2.5,-5.142857142857143,1,0.37142857142857144,-12.857142857142854
ALL__BOTH_COMPONENTS__15_PLUS,ALL: both RP components 15+,both_components,2024,21,9,12,0,-1.3571428571428572,-0.5,-4.404761904761905,1,0.42857142857142855,-7.142857142857146
ALL__BOTH_COMPONENTS__15_PLUS,ALL: both RP components 15+,both_components,2025,14,7,7,0,1.1428571428571428,-1.25,-7.142857142857143,1,0.5,0.0
ALL__BOTH_COMPONENTS__25_PLUS,ALL: both RP components 25+,both_components,2024,7,5,2,0,1.0,5.5,-4.714285714285714,1,0.7142857142857143,21.42857142857143
ALL__BOTH_COMPONENTS__25_PLUS,ALL: both RP components 25+,both_components,2025,4,2,2,0,-0.5,-0.5,-14.5,1,0.5,0.0
ALL__BOTH_COMPONENTS__5_PLUS,ALL: both RP components 5+,both_components,2024,43,19,24,0,-1.744186046511628,-0.5,-2.5813953488372094,1,0.4418604651162791,-5.813953488372093
ALL__BOTH_COMPONENTS__5_PLUS,ALL: both RP components 5+,both_components,2025,44,19,25,0,-1.5454545454545454,-2.0,-5.090909090909091,1,0.4318181818181818,-6.81818181818182
ALL__DEFENSE_VS_OFFENSE__10_TO_14_9,ALL: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2024,9,2,7,0,-10.333333333333334,-7.5,-3.111111111111111,1,0.2222222222222222,-27.77777777777778
ALL__DEFENSE_VS_OFFENSE__10_TO_14_9,ALL: Def RP vs opp Off RP edge 10-14.9,defense_vs_offense,2025,17,3,14,0,-7.5588235294117645,-6.5,-4.4411764705882355,1,0.17647058823529413,-32.35294117647059
ALL__DEFENSE_VS_OFFENSE__15_TO_24_9,ALL: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2024,19,4,15,0,-3.6315789473684212,-3.5,-2.526315789473684,1,0.21052631578947367,-28.947368421052634
ALL__DEFENSE_VS_OFFENSE__15_TO_24_9,ALL: Def RP vs opp Off RP edge 15-24.9,defense_vs_offense,2025,24,12,12,0,-0.2708333333333333,0.0,0.1875,1,0.5,0.0
ALL__DEFENSE_VS_OFFENSE__25_PLUS,ALL: Def RP vs opp Off RP edge 25+,defense_vs_offense,2024,26,14,12,0,-0.40384615384615385,1.5,-3.0576923076923075,1,0.5384615384615384,3.8461538461538467
ALL__DEFENSE_VS_OFFENSE__25_PLUS,ALL: Def RP vs opp Off RP edge 25+,defense_vs_offense,2025,21,12,9,0,3.238095238095238,4.0,-6.142857142857143,1,0.5714285714285714,7.142857142857139
ALL__DEF_POS_OFF_NEG,"ALL: defense edge positive, offense edge negative",mixed_components,2024,16,4,12,0,-6.75,-5.0,-2.125,1,0.25,-25.0
ALL__DEF_POS_OFF_NEG,"ALL: defense edge positive, offense edge negative",mixed_components,2025,17,9,8,0,0.4411764705882353,4.0,-0.5,1,0.5294117647058824,2.941176470588239
ALL__EITHER_COMPONENT__15_PLUS,ALL: either RP component 15+,either_component,2024,76,31,45,0,-1.0921052631578947,-1.25,-1.6578947368421053,1,0.40789473684210525,-9.210526315789473
ALL__EITHER_COMPONENT__15_PLUS,ALL: either RP component 15+,either_component,2025,78,39,39,0,0.14743589743589744,0.0,-3.608974358974359,1,0.5,0.0
ALL__EITHER_COMPONENT__25_PLUS,ALL: either RP component 25+,either_component,2024,52,22,30,0,-1.2307692307692308,-0.75,-2.0384615384615383,1,0.4230769230769231,-7.692307692307693
ALL__EITHER_COMPONENT__25_PLUS,ALL: either RP component 25+,either_component,2025,40,22,18,0,2.65,3.25,-6.15,1,0.55,5.000000000000007
ALL__OFFENSE_VS_DEFENSE__10_TO_14_9,ALL: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2024,12,8,4,0,3.0,4.5,0.6666666666666666,1,0.6666666666666666,16.666666666666657
ALL__OFFENSE_VS_DEFENSE__10_TO_14_9,ALL: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,2025,20,9,11,0,-0.825,-1.0,-1.025,1,0.45,-5.0
ALL__OFFENSE_VS_DEFENSE__15_TO_24_9,ALL: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2024,19,9,10,0,0.7631578947368421,-0.5,-1.6578947368421053,1,0.47368421052631576,-2.631578947368425
ALL__OFFENSE_VS_DEFENSE__15_TO_24_9,ALL: Off RP vs opp Def RP edge 15-24.9,offense_vs_defense,2025,24,10,14,0,-2.9166666666666665,-2.0,-3.4166666666666665,1,0.4166666666666667,-8.333333333333329
ALL__OFFENSE_VS_DEFENSE__25_PLUS,ALL: Off RP vs opp Def RP edge 25+,offense_vs_defense,2024,33,13,20,0,-1.4090909090909092,-0.5,-1.803030303030303,1,0.3939393939393939,-10.606060606060609
