season,week,game_id,rp_team,rp_opponent,conference_matchup_type,overall_rp_edge,overall_rp_band,offense_vs_defense_edge,defense_vs_offense_edge,rp_team_spread,rp_team_ats_result,rp_team_ats_margin,rp_team_clv,source_flipped,rp_team_norm,rp_opponent_norm,team_pair_key,season_year,event_id,starts_at,away_team,home_team,away_team_id,home_team_id,completed,odds_present,odds_available,away_final_points,home_final_points,home_final_margin,final_total_points,away_1h_points,home_1h_points,home_1h_margin,one_h_total_points,away_2h_points_incl_ot,home_2h_points_incl_ot,home_2h_margin_incl_ot,two_h_total_points_incl_ot,home_game_spread,home_game_spread_book,home_game_spread_price,away_game_spread,away_game_spread_book,away_game_spread_price,game_total,game_over_book,game_over_price,game_under_price,home_game_ats_result,game_total_result,home_1h_spread,home_1h_spread_book,home_1h_spread_price,away_1h_spread,away_1h_spread_book,away_1h_spread_price,one_h_total,one_h_over_book,one_h_over_price,one_h_under_price,home_1h_ats_result,one_h_total_result,home_2h_spread,home_2h_spread_book,home_2h_spread_price,away_2h_spread,away_2h_spread_book,away_2h_spread_price,two_h_total,two_h_over_book,two_h_over_price,two_h_under_price,home_2h_ats_result,two_h_total_result,away_norm,home_norm,starts_at_dt,_merge,rp_team_1h_side,rp_team_1h_spread,rp_team_1h_points,rp_opponent_1h_points,rp_team_1h_margin,rp_team_1h_ats_margin,rp_team_1h_ats_result,one_h_market_role,one_h_spread_bucket,week_segment,venue_role,rule_key,rule_label,family
2024,1,401628324,Southern Miss,Kentucky,G6_vs_P4,7.0,5_to_14_9,-3.0,18.0,25.5,L,-5.5,,True,southern miss,kentucky,kentucky||southern miss,2024.0,nQcntQfjKf23tky6kPGD,2024-08-31T23:45:00.000Z,Southern Miss,Kentucky,SOUTHERN_MISS_NCAAF,KENTUCKY_NCAAF,True,True,False,0.0,31.0,31.0,31.0,0.0,24.0,24.0,24.0,0.0,7.0,7.0,7.0,-38.5,sgo_book,-112.0,38.5,sgo_book,-117.0,48.0,sgo_book,-105.0,-129.0,L,U,-16.5,sgo_book,-145.0,16.5,sgo_book,114.0,18.5,sgo_book,-120.0,-110.0,W,O,-14.5,sgo_book,-120.0,14.5,sgo_book,-110.0,23.5,sgo_book,-125.0,-105.0,L,U,southern miss,kentucky,2024-08-31 23:45:00+00:00,both,away,16.5,0.0,24.0,-24.0,-7.5,L,Underdog,Dog 14-20.5,Weeks 1-2,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,1,401628328,Oklahoma,Temple,P4_vs_G6,8.0,5_to_14_9,-18.0,33.0,-43.5,W,4.5,,False,oklahoma,temple,oklahoma||temple,2024.0,4G4ZuP3shpBzw9UPZQJJ,2024-08-30T23:00:00.000Z,Temple,Oklahoma,TEMPLE_NCAAF,OKLAHOMA_NCAAF,True,True,False,3.0,51.0,48.0,54.0,0.0,34.0,34.0,34.0,3.0,17.0,14.0,20.0,-48.5,sgo_book,425.0,48.5,sgo_book,-715.0,53.5,sgo_book,-186.0,142.0,L,O,-27.5,sgo_book,-118.0,27.5,sgo_book,101.0,34.0,sgo_book,-120.0,-101.0,W,P,-16.5,sgo_book,-112.0,16.5,sgo_book,100.0,24.0,sgo_book,-107.0,-107.0,L,U,temple,oklahoma,2024-08-30 23:00:00+00:00,both,home,-27.5,34.0,0.0,34.0,6.5,W,Favorite,Fav 21+,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,2,401628337,California,Auburn,P4_vs_P4,8.0,5_to_14_9,24.0,-8.0,11.5,W,18.5,,True,california,auburn,auburn||california,2024.0,n0bS61BfbjSO4kAJUdti,2024-09-07T19:30:00.000Z,California,Auburn,CALIFORNIA_NCAAF,AUBURN_NCAAF,True,True,False,21.0,14.0,-7.0,35.0,14.0,7.0,-7.0,21.0,7.0,7.0,0.0,14.0,-12.0,sgo_book,-110.0,12.0,sgo_book,-110.0,53.5,sgo_book,-112.0,-108.0,L,U,-6.5,sgo_book,-124.0,6.5,sgo_book,-103.0,27.5,sgo_book,-114.0,-114.0,L,U,-6.5,sgo_book,-108.0,6.5,sgo_book,-112.0,26.5,sgo_book,-112.0,-108.0,L,U,california,auburn,2024-09-07 19:30:00+00:00,both,away,6.5,14.0,7.0,7.0,13.5,W,Underdog,Dog 0.5-6.5,Weeks 1-2,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,3,401628355,Wake Forest,Ole Miss,P4_vs_P4,7.0,5_to_14_9,9.0,3.0,20.5,L,-13.5,,True,wake forest,ole miss,ole miss||wake forest,2024.0,0SN4LiCM75UJ3gU4Ckq9,2024-09-14T22:30:00.000Z,Ole Miss,Wake Forest,OLE_MISS_NCAAF,WAKE_FOREST_NCAAF,True,True,False,40.0,6.0,-34.0,46.0,23.0,6.0,-17.0,29.0,17.0,0.0,-17.0,17.0,33.5,sgo_book,130.0,-33.5,sgo_book,-180.0,47.0,sgo_book,-113.0,-114.0,L,U,12.5,sgo_book,-112.0,-12.5,sgo_book,-110.0,34.5,sgo_book,-120.0,-106.0,L,U,17.5,sgo_book,-215.0,-17.5,sgo_book,165.0,23.5,sgo_book,-115.0,-115.0,W,U,ole miss,wake forest,2024-09-14 22:30:00+00:00,both,home,12.5,6.0,23.0,-17.0,-4.5,L,Underdog,Dog 7-13.5,Weeks 3-4,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,4,401628368,Missouri,Vanderbilt,P4_vs_P4,8.0,5_to_14_9,14.0,4.0,-18.5,L,-15.5,,False,missouri,vanderbilt,missouri||vanderbilt,2024.0,HCEWUka7103PniiaWWcu,2024-09-21T20:15:00.000Z,Vanderbilt,Missouri,VANDERBILT_NCAAF,MISSOURI_NCAAF,True,True,False,27.0,30.0,3.0,57.0,13.0,10.0,-3.0,23.0,14.0,20.0,6.0,34.0,2.5,sgo_book,105.0,-2.5,sgo_book,-135.0,48.5,sgo_book,-114.0,-114.0,W,O,-10.5,sgo_book,-118.0,10.5,sgo_book,-121.0,27.5,sgo_book,-110.0,-118.0,L,U,-8.5,sgo_book,-108.0,8.5,sgo_book,-112.0,26.0,sgo_book,100.0,-115.0,L,O,vanderbilt,missouri,2024-09-21 20:15:00+00:00,both,home,-10.5,10.0,13.0,-3.0,-13.5,L,Favorite,Fav 7-13.5,Weeks 3-4,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,1,401628455,Ohio State,Akron,P4_vs_G6,8.0,5_to_14_9,-2.0,18.0,-48.5,L,-2.5,,True,ohio state,akron,akron||ohio state,2024.0,RmIUhLH8No3Qas7XGaPY,2024-08-31T19:30:00.000Z,Akron,Ohio State,AKRON_NCAAF,OHIO_STATE_NCAAF,True,True,False,6.0,52.0,46.0,58.0,3.0,17.0,14.0,20.0,3.0,35.0,32.0,38.0,-39.5,sgo_book,234.0,39.5,sgo_book,-324.0,52.5,sgo_book,125.0,-160.0,W,O,-17.5,sgo_book,-105.0,17.5,sgo_book,-125.0,26.5,sgo_book,-110.0,-120.0,L,U,-25.5,sgo_book,130.0,25.5,sgo_book,-166.0,31.5,sgo_book,114.0,-145.0,W,O,akron,ohio state,2024-08-31 19:30:00+00:00,both,home,-17.5,17.0,3.0,14.0,-3.5,L,Favorite,Fav 14-20.5,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,1,401628461,Wisconsin,Western Michigan,P4_vs_G6,8.0,5_to_14_9,16.0,-1.0,-24.5,L,-10.5,,True,wisconsin,western michigan,western michigan||wisconsin,2024.0,uJbijNeRt2D5XKM9tqKF,2024-08-31T01:00:00.000Z,Western Michigan,Wisconsin,WESTERN_MICHIGAN_NCAAF,WISCONSIN_NCAAF,True,True,False,14.0,28.0,14.0,42.0,7.0,10.0,3.0,17.0,7.0,18.0,11.0,25.0,-13.5,sgo_book,-215.0,13.5,sgo_book,162.0,43.5,sgo_book,108.0,-139.0,W,U,-3.5,sgo_book,-130.0,3.5,sgo_book,100.0,16.5,sgo_book,-150.0,115.0,L,O,-6.5,sgo_book,-135.0,6.5,sgo_book,105.0,24.5,sgo_book,-154.0,120.0,W,O,western michigan,wisconsin,2024-08-31 01:00:00+00:00,both,home,-3.5,10.0,7.0,3.0,-0.5,L,Favorite,Fav 0.5-6.5,Weeks 1-2,Home,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,3,401628476,Indiana,UCLA,P4_vs_P4,5.0,5_to_14_9,8.0,2.0,-3.5,W,25.5,,False,indiana,ucla,indiana||ucla,2024.0,czWsIh774DLyGiLjJe9I,2024-09-14T23:30:00.000Z,Indiana,UCLA,INDIANA_NCAAF,UCLA_NCAAF,True,True,False,42.0,13.0,-29.0,55.0,21.0,7.0,-14.0,28.0,21.0,6.0,-15.0,27.0,28.5,sgo_book,220.0,-28.5,sgo_book,-335.0,56.0,sgo_book,129.0,-176.0,L,U,2.5,sgo_book,-105.0,-2.5,sgo_book,-119.0,23.5,sgo_book,-108.0,-114.0,L,O,0.5,sgo_book,-115.0,-0.5,sgo_book,-105.0,22.5,sgo_book,-110.0,-110.0,L,O,indiana,ucla,2024-09-14 23:30:00+00:00,both,away,-2.5,21.0,7.0,14.0,11.5,W,Favorite,Fav 0.5-6.5,Weeks 3-4,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,4,401628486,Charlotte,Indiana,G6_vs_P4,5.0,5_to_14_9,12.0,-2.0,28.5,L,-9.5,,False,charlotte,indiana,charlotte||indiana,2024.0,ep4nEbM3ksSnDFwXXhE8,2024-09-21T16:00:00.000Z,Charlotte,Indiana,CHARLOTTE_NCAAF,INDIANA_NCAAF,True,True,False,14.0,52.0,38.0,66.0,14.0,31.0,17.0,45.0,0.0,21.0,21.0,21.0,-37.5,sgo_book,-550.0,37.5,sgo_book,340.0,67.5,sgo_book,138.0,-180.0,W,U,-17.5,sgo_book,-107.0,17.5,sgo_book,-113.0,27.5,sgo_book,-114.0,-112.0,L,O,-21.5,sgo_book,270.0,21.5,sgo_book,-375.0,21.5,sgo_book,100.0,-130.0,L,U,charlotte,indiana,2024-09-21 16:00:00+00:00,both,away,17.5,14.0,31.0,-17.0,0.5,W,Underdog,Dog 14-20.5,Weeks 3-4,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
2024,3,401628978,Notre Dame,Purdue,Other,9.0,5_to_14_9,15.0,4.0,-7.5,W,51.5,,False,notre dame,purdue,notre dame||purdue,2024.0,PbCkOIjbSfLumCXi4Pi2,2024-09-14T19:30:00.000Z,Notre Dame,Purdue,NOTRE_DAME_NCAAF,PURDUE_NCAAF,True,True,False,66.0,7.0,-59.0,73.0,42.0,0.0,-42.0,42.0,24.0,7.0,-17.0,31.0,59.5,sgo_book,-715.0,-59.5,sgo_book,410.0,73.5,sgo_book,125.0,-165.0,W,U,4.5,sgo_book,-115.0,-4.5,sgo_book,-105.0,23.5,sgo_book,-112.0,-110.0,L,O,16.5,sgo_book,120.0,-16.5,sgo_book,-154.0,30.5,sgo_book,-215.0,165.0,L,O,notre dame,purdue,2024-09-14 19:30:00+00:00,both,away,-4.5,42.0,0.0,42.0,37.5,W,Favorite,Fav 0.5-6.5,Weeks 3-4,Away,ALL__OVERALL__5_TO_9_9,ALL: overall RP edge 5-9.9,overall_edge
