rule_key,rule_label,family,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,one_h_ats_win_pct,one_h_ats_edge_pct,avg_1h_ats_margin_2024,avg_1h_ats_margin_2025,games_2024,games_2025,one_h_ats_win_pct_2024,one_h_ats_win_pct_2025,positive_seasons,positive_margin_seasons,min_season_games,season_pct_gap,season_margin_gap,discovery_score,status
ALL__OFF_POS_DEF_NEG,"ALL: offense edge positive, defense edge negative",mixed_components,49,28,21,0,1.9183673469387754,2.5,-1.0612244897959184,2,0.5714285714285714,7.142857142857139,2.310344827586207,1.35,29.0,20.0,0.5862068965517241,0.55,2,2,20.0,0.036206896551724044,0.9603448275862068,69.55,Candidate for validation
P4_vs_G6__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_G6: Def RP vs opp Off RP edge 25+,defense_vs_offense,18,11,7,0,1.2222222222222223,4.0,-12.333333333333334,2,0.6111111111111112,11.111111111111114,2.0555555555555554,0.3888888888888889,9.0,9.0,0.7777777777777778,0.4444444444444444,1,2,9.0,0.33333333333333337,1.6666666666666665,46.04,Exploratory
P4_vs_P4__OFF_POS_DEF_NEG,"P4_vs_P4: offense edge positive, defense edge negative",mixed_components,22,13,9,0,4.068181818181818,5.0,-1.7045454545454546,2,0.5909090909090909,9.090909090909093,4.705882352941177,1.9,17.0,5.0,0.6470588235294118,0.4,1,2,5.0,0.24705882352941178,2.8058823529411767,58.98,Promising exploratory
ALL__DEFENSE_VS_OFFENSE__25_PLUS,ALL: Def RP vs opp Off RP edge 25+,defense_vs_offense,47,26,21,0,1.2234042553191489,2.5,-4.4361702127659575,2,0.5531914893617021,5.319148936170215,-0.40384615384615385,3.238095238095238,26.0,21.0,0.5384615384615384,0.5714285714285714,2,1,21.0,0.03296703296703296,3.641941391941392,55.93,Promising exploratory
G6_vs_P4__OFFENSE_VS_DEFENSE__10_TO_14_9,G6_vs_P4: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,6,4,2,0,3.1666666666666665,4.0,13.5,2,0.6666666666666666,16.666666666666657,1.1666666666666667,5.166666666666667,3.0,3.0,0.6666666666666666,0.6666666666666666,2,2,3.0,0.0,4.0,73.83,Small-sample lead
P4_vs_G6__OVERALL__10_TO_14_9,P4_vs_G6: overall RP edge 10-14.9,overall_edge,9,6,3,0,2.0555555555555554,5.5,-10.166666666666666,2,0.6666666666666666,16.666666666666657,0.8333333333333334,2.6666666666666665,3.0,6.0,0.6666666666666666,0.6666666666666666,2,2,3.0,0.0,1.833333333333333,69.78,Small-sample lead
G6_vs_P4__OFF_POS_DEF_NEG,"G6_vs_P4: offense edge positive, defense edge negative",mixed_components,6,5,1,0,4.333333333333333,7.5,14.0,2,0.8333333333333334,33.33333333333334,1.5,10.0,4.0,2.0,0.75,1.0,2,2,2.0,0.25,8.5,69.67,Small-sample lead
P4_vs_G6__OFFENSE_VS_DEFENSE__10_TO_14_9,P4_vs_G6: Off RP vs opp Def RP edge 10-14.9,offense_vs_defense,5,4,1,0,4.6,6.0,-10.2,2,0.8,30.0,8.5,2.0,2.0,3.0,1.0,0.6666666666666666,2,2,2.0,0.33333333333333337,6.5,67.5,Small-sample lead
P4_vs_P4__BOTH_COMPONENTS__15_PLUS,P4_vs_P4: both RP components 15+,both_components,8,6,2,0,3.5625,3.25,4.9375,2,0.75,25.0,4.1,2.6666666666666665,5.0,3.0,0.6,1.0,2,2,3.0,0.4,1.4333333333333331,66.81,Small-sample lead
P4_vs_P4__DEFENSE_VS_OFFENSE__25_PLUS,P4_vs_P4: Def RP vs opp Off RP edge 25+,defense_vs_offense,10,7,3,0,2.7,6.0,1.1,2,0.7,20.0,1.375,8.0,8.0,2.0,0.625,1.0,2,2,2.0,0.375,6.625,63.5,Small-sample lead
P4_vs_P4__BOTH_COMPONENTS__25_PLUS,P4_vs_P4: both RP components 25+,both_components,3,3,0,0,9.833333333333334,6.5,-1.5,1,1.0,50.0,9.833333333333334,,3.0,,1.0,,1,1,3.0,,,56.5,Small-sample lead
G6_vs_P4__OVERALL__25_PLUS,G6_vs_P4: overall RP edge 25+,overall_edge,1,1,0,0,10.5,10.5,18.5,1,1.0,50.0,10.5,,1.0,,1.0,,1,1,1.0,,,55.5,Small-sample lead
G6_vs_P4__OFFENSE_VS_DEFENSE__25_PLUS,G6_vs_P4: Off RP vs opp Def RP edge 25+,offense_vs_defense,5,3,2,0,4.1,10.5,17.7,2,0.6,10.0,2.5,10.5,4.0,1.0,0.5,1.0,1,2,1.0,0.5,8.0,50.83,Small-sample lead
ALL__BOTH_COMPONENTS__25_PLUS,ALL: both RP components 25+,both_components,11,7,4,0,0.45454545454545453,5.5,-8.272727272727273,2,0.6363636363636364,13.636363636363633,1.0,-0.5,7.0,4.0,0.7142857142857143,0.5,1,1,4.0,0.2142857142857143,1.5,42.45,Small-sample lead
