rule_key,one_h_spread_bucket,games,wins,losses,pushes,avg_1h_ats_margin,median_1h_ats_margin,avg_1h_spread,seasons_present,full_game_wins,full_game_losses,full_game_pushes,one_h_ats_win_pct,full_game_ats_win_pct_in_1h_sample,one_h_ats_edge_pct,confidence
P4_G6_DEFENSE_15_PLUS,Dog 0.5-6.5,1,0,1,0,-0.5,-0.5,0.5,1,0,1,0,0.0,0.0,-50.0,Small sample
P4_G6_DEFENSE_15_PLUS,Fav 0.5-6.5,3,3,0,0,8.5,8.5,-3.1666666666666665,1,2,1,0,1.0,0.6666666666666666,50.0,Small sample
P4_G6_DEFENSE_15_PLUS,Fav 14-20.5,4,1,3,0,-3.75,-5.0,-16.5,2,3,1,0,0.25,0.75,-25.0,Small sample
P4_G6_DEFENSE_15_PLUS,Fav 21+,5,2,3,0,0.9,-0.5,-24.7,2,2,3,0,0.4,0.4,-10.0,Small sample
P4_G6_DEFENSE_15_PLUS,Fav 7-13.5,15,6,9,0,-3.3333333333333335,-3.0,-9.8,2,7,8,0,0.4,0.4666666666666667,-10.0,Exploratory
P4_G6_EITHER_COMPONENT_25_PLUS,Fav 0.5-6.5,5,5,0,0,7.5,7.5,-3.7,2,3,2,0,1.0,0.6,50.0,Small sample
P4_G6_EITHER_COMPONENT_25_PLUS,Fav 14-20.5,7,3,4,0,-1.8571428571428572,-0.5,-17.428571428571427,2,5,2,0,0.42857142857142855,0.7142857142857143,-7.142857142857146,Small sample
P4_G6_EITHER_COMPONENT_25_PLUS,Fav 21+,5,2,3,0,0.9,-0.5,-24.7,2,2,3,0,0.4,0.4,-10.0,Small sample
P4_G6_EITHER_COMPONENT_25_PLUS,Fav 7-13.5,17,7,10,0,-1.2058823529411764,-3.0,-9.676470588235293,2,9,8,0,0.4117647058823529,0.5294117647058824,-8.82352941176471,Exploratory
P4_P4_OVERALL_15_TO_24_9,Dog 0.5-6.5,6,1,5,0,-5.75,-2.0,1.9166666666666667,2,3,3,0,0.16666666666666666,0.5,-33.333333333333336,Small sample
P4_P4_OVERALL_15_TO_24_9,Dog 7-13.5,1,0,1,0,-4.5,-4.5,12.5,1,1,0,0,0.0,1.0,-50.0,Small sample
P4_P4_OVERALL_15_TO_24_9,Fav 0.5-6.5,9,6,3,0,0.9444444444444444,0.5,-1.9444444444444444,2,3,6,0,0.6666666666666666,0.3333333333333333,16.666666666666657,Small sample
P4_P4_OVERALL_15_TO_24_9,Fav 7-13.5,1,0,1,0,-14.5,-14.5,-11.5,1,0,1,0,0.0,0.0,-50.0,Small sample
