feature,rows,compared,max_abs_difference,passed,reason
ats_margin,1524,1524,0.0,True,
closing_spread,1524,1524,0.0,True,
closing_total,1524,1524,0.0,True,
completed_week,1524,0,,True,SP+-specific state field validated against its dedicated frozen-source table by build_shadow_component_feature_adapter.py
current_sp_defense,1524,0,,True,SP+-specific state field validated against its dedicated frozen-source table by build_shadow_component_feature_adapter.py
current_sp_offense,1524,0,,True,SP+-specific state field validated against its dedicated frozen-source table by build_shadow_component_feature_adapter.py
current_sp_plus_overall,1524,0,,True,SP+-specific state field validated against its dedicated frozen-source table by build_shadow_component_feature_adapter.py
def_explosiveness_allowed,1524,1524,0.0,True,
def_havoc_rate,1524,1524,0.0,True,
def_pass_success_allowed,1524,1524,0.0,True,
def_ppa_allowed,1524,1524,0.0,True,
def_rush_success_allowed,1524,1524,0.0,True,
def_success_allowed,1524,1524,0.0,True,
drive_def_points_per_opportunity_allowed,1524,1517,0.0,True,
drive_off_points_per_opportunity,1524,1517,0.0,True,
final_margin,1524,1524,0.0,True,
game_pace,1524,1481,0.0,True,
games_played,1524,0,,True,SP+-specific state field validated against its dedicated frozen-source table by build_shadow_component_feature_adapter.py
gc_game_control_index,1524,1524,0.0,True,
off_explosiveness,1524,1524,0.0,True,
off_game_clock_seconds_per_play,1524,1524,0.0,True,
off_pass_success_rate,1524,1524,0.0,True,
off_plays,1524,1524,0.0,True,
off_ppa,1524,1524,0.0,True,
off_rush_success_rate,1524,1524,0.0,True,
off_success_rate,1524,1524,0.0,True,
opponent_adjusted_recent_form,1524,1385,3.552713678800501e-15,True,
opponent_sp_plus_rating,1524,0,,True,SP+-specific state field validated against its dedicated frozen-source table by build_shadow_component_feature_adapter.py
points_allowed,1524,1524,0.0,True,
points_scored,1524,1524,0.0,True,
raw_pbp_performance,1524,1524,1.7763568394002505e-15,True,
recent_form_vs_season,1524,1524,3.552713678800501e-15,True,
regularized_repeatable_spread,1524,1524,4.440892098500626e-16,True,
repeatable_defense_performance,1524,1524,4.440892098500626e-16,True,
repeatable_offense_performance,1524,1524,1.7763568394002505e-15,True,
residualized_repeatable_spread,1524,1524,3.552713678800501e-15,True,
rules_repeatable_spread,1524,1524,1.7763568394002505e-15,True,
season_to_date_def_eff,1524,1524,9.71445146547012e-17,True,
season_to_date_off_eff,1524,1524,5.551115123125783e-17,True,
total_residual,1524,1524,0.0,True,
trailing_2_game_ats,1524,1524,0.0,True,
trailing_2_game_def_eff,1524,1524,9.974659986866641e-17,True,
trailing_2_game_off_eff,1524,1524,5.551115123125783e-17,True,
trailing_2_game_ppa,1524,1524,1.1102230246251565e-16,True,
trailing_3_game_ats,1524,1524,5.551115123125783e-17,True,
trailing_3_game_def_eff,1524,1524,9.80118763926896e-17,True,
trailing_3_game_off_eff,1524,1524,5.551115123125783e-17,True,
trailing_3_game_ppa,1524,1524,1.1102230246251565e-16,True,
