market,season,tier,n,positive_clv_rate,average_clv,median_clv,direction_accuracy,residual_mae
spread,2024,High,58,0.5862068965517241,0.8103448275862069,0.5,0.5862068965517241,1.4205070544234966
spread,2024,Low,345,0.5130434782608696,0.3333333333333333,0.5,0.5130434782608696,1.451954694474605
spread,2024,No actionable signal,193,0.43005181347150256,0.12176165803108809,0.0,0.43005181347150256,1.501358328820813
spread,2025,High,11,0.6363636363636364,4.0,2.0,0.6363636363636364,4.209251461036247
spread,2025,Low,337,0.4391691394658754,0.5919881305637982,0.0,0.4391691394658754,1.7973108715590607
spread,2025,No actionable signal,253,0.37549407114624506,-0.17193675889328064,0.0,0.37549407114624506,1.6355194613634205
total,2024,High,151,0.5629139072847682,0.5562913907284768,1.0,0.5629139072847682,1.786606657344065
total,2024,Low,438,0.5205479452054794,0.6872146118721462,1.0,0.5205479452054794,1.5174391819124455
total,2024,No actionable signal,68,0.5588235294117647,0.8088235294117647,1.0,0.5588235294117647,1.811690252865552
total,2025,High,142,0.4859154929577465,1.0070422535211268,0.0,0.4859154929577465,1.9568313267246322
total,2025,Low,511,0.4755381604696673,0.3542074363992172,0.0,0.4755381604696673,1.80421098968926
