market,model,n,mae,median_absolute_error,rmse,signed_error,correlation,overshoot,undershoot,wrong_direction,unchanged
spread,actual_opener_no_move,601,1.7371048252911814,1.0,2.879874511963829,-0.11480865224625623,,0.0,0.762063227953411,0.762063227953411,1.0
spread,full_pricing_gap,601,4.966246534335343,4.052112290655524,6.431555522979554,0.7122179623183799,0.17468957785064146,0.8119800332778702,0.18801996672212978,0.6039933444259568,0.024958402662229616
spread,selected_residual,601,1.7733476763922584,1.1776911555154201,2.821931490169847,0.17952056176272646,0.2626343772051149,0.24625623960066556,0.7537437603993344,0.5840266222961731,0.4209650582362729
spread,preopener_no_adjustment,601,5.3899488826414235,4.528554880624697,6.925472387070727,0.5558354998941623,0.13536120158370282,0.8153078202995009,0.18469217970049917,0.610648918469218,0.024958402662229616
spread,lambda_0.50,601,8.431004980409613,6.892266318225619,10.63268099254108,0.6065842519740292,0.18213842213452322,0.8768718801996672,0.12312811980033278,0.5906821963394343,0.021630615640599003
spread,direction_plus_magnitude,601,4.966246534335343,4.052112290655524,6.431555522979554,0.7122179623183799,0.17468957785064146,0.8119800332778702,0.18801996672212978,0.6039933444259568,0.024958402662229616
spread,confidence_filtered_residual,11,4.209251461036247,2.004150064515488,8.996190778404424,-2.909760885758612,0.9200132261028734,0.45454545454545453,0.5454545454545454,0.36363636363636365,0.0
total,actual_opener_no_move,653,1.8131699846860643,1.0,2.5726801203280973,0.49617151607963245,,0.0,0.8131699846860643,0.8131699846860643,1.0
total,full_pricing_gap,653,3.943353426569036,2.9701530193449983,5.508683292170841,-0.18513232996066234,0.3655240791049687,0.7611026033690659,0.23889739663093415,0.4885145482388974,0.045941807044410414
total,selected_residual,653,1.8373994856448845,1.5146277546758626,2.5212352498257298,-0.17265382654413858,0.11114868445206076,0.18683001531393567,0.8131699846860643,0.5222052067381318,0.0
total,frozen_no_adjustment,653,3.4564367697981786,2.5714285714285694,4.755232388251432,0.026131253466628483,0.3830913061480444,0.6998468606431854,0.29249617151607965,0.5145482388973966,0.039816232771822356
total,lambda_0.85,653,9.235050405609364,7.63055555555556,11.819884501895446,0.4400669349367663,0.2299730473836938,0.886676875957121,0.11179173047473201,0.5666156202143952,0.018376722817764167
total,repeatable_combined,653,3.943353426569036,2.9701530193449983,5.508683292170841,-0.18513232996066228,0.36552407910496865,0.7611026033690659,0.23889739663093415,0.4885145482388974,0.045941807044410414
total,confidence_filtered_residual,142,1.9568313267246322,1.7611637360019996,2.75641959213607,0.19725161150780582,-0.16638491118662038,0.21830985915492956,0.7816901408450704,0.5140845070422535,0.0
