market,season,category,n,evaluated_n,actual_move_mean,actual_move_mae,positive_pricing_gap_clv,average_pricing_gap_clv
spread,2021,Missing opener,731,0,,,,
spread,2021,Opener overreacted,1,1,-1.0,1.0,0.0,-1.0
spread,2022,Missing opener,726,0,,,,
spread,2022,Mostly priced,1,1,1.5,1.5,1.0,1.5
spread,2022,Opener moved opposite prediction,1,1,-0.5,0.5,0.0,-0.5
spread,2022,Opener overreacted,3,3,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.3333333333333333
spread,2022,Prediction too uncertain,3,3,0.8333333333333334,0.8333333333333334,0.0,-0.8333333333333334
spread,2023,Fully priced,3,3,-1.1666666666666667,1.1666666666666667,0.3333333333333333,-0.16666666666666666
spread,2023,Missing opener,400,0,,,,
spread,2023,Mostly priced,5,5,-0.2,1.0,0.8,1.0
spread,2023,Not priced,9,9,0.6666666666666666,1.7777777777777777,0.4444444444444444,0.7777777777777778
spread,2023,Opener moved opposite prediction,77,77,0.38311688311688313,1.396103896103896,0.36363636363636365,0.35714285714285715
spread,2023,Opener overreacted,189,189,0.0582010582010582,1.2222222222222223,0.3492063492063492,0.10052910052910052
spread,2023,Partially priced,6,6,-0.08333333333333333,2.0833333333333335,0.5,0.08333333333333333
spread,2023,Prediction too uncertain,61,61,0.03278688524590164,0.819672131147541,0.3770491803278688,-0.03278688524590164
spread,2024,Fully priced,9,9,1.1111111111111112,1.7777777777777777,0.2222222222222222,-1.1111111111111112
spread,2024,Missing opener,153,0,,,,
spread,2024,Mostly priced,7,7,1.1428571428571428,1.5714285714285714,0.2857142857142857,-0.7142857142857143
spread,2024,Not priced,16,16,0.09375,1.53125,0.625,0.71875
spread,2024,Opener moved opposite prediction,131,131,0.5458015267175572,1.3702290076335877,0.3969465648854962,-0.24045801526717558
spread,2024,Opener overreacted,347,347,0.23487031700288186,1.4740634005763689,0.44668587896253603,0.07348703170028818
spread,2024,Partially priced,6,6,1.4166666666666667,1.5833333333333333,0.5,0.9166666666666666
spread,2024,Prediction too uncertain,80,80,0.36875,1.34375,0.5,0.08125
spread,2025,Fully priced,10,10,-0.5,1.3,0.3,-0.3
spread,2025,Missing opener,161,0,,,,
spread,2025,Mostly priced,5,5,1.8,3.4,0.6,1.8
spread,2025,Not priced,10,10,0.8,1.2,0.4,0.8
spread,2025,Opener moved opposite prediction,163,163,0.5429447852760736,2.3098159509202456,0.48466257668711654,1.00920245398773
spread,2025,Opener overreacted,321,321,-0.0778816199376947,1.573208722741433,0.3613707165109034,-0.06853582554517133
spread,2025,Partially priced,7,7,-0.8571428571428571,2.0,0.5714285714285714,1.4285714285714286
spread,2025,Prediction too uncertain,85,85,-0.0058823529411764705,1.2529411764705882,0.3411764705882353,0.12352941176470589
total,2021,Missing opener,731,0,,,,
total,2021,Prediction too uncertain,1,1,3.0,3.0,0.0,-3.0
total,2022,Missing opener,726,0,,,,
total,2022,Opener moved opposite prediction,3,3,-1.1666666666666667,1.8333333333333333,0.6666666666666666,1.1666666666666667
total,2022,Opener overreacted,4,4,0.5,1.75,0.5,0.5
total,2022,Prediction too uncertain,1,1,-3.0,3.0,0.0,-3.0
total,2023,Fully priced,12,12,-1.0,1.5,0.3333333333333333,-0.16666666666666666
total,2023,Missing opener,478,0,,,,
total,2023,Mostly priced,12,12,-0.2916666666666667,1.4583333333333333,0.4166666666666667,0.7916666666666666
total,2023,Not priced,13,13,-1.5384615384615385,1.6923076923076923,0.38461538461538464,0.07692307692307693
total,2023,Opener moved opposite prediction,116,116,-0.5991379310344828,1.0991379310344827,0.31896551724137934,0.004310344827586207
total,2023,Opener overreacted,82,82,-0.6707317073170732,1.3414634146341464,0.3048780487804878,-0.32926829268292684
total,2023,Partially priced,16,16,-0.5625,1.0625,0.4375,0.5
total,2023,Prediction too uncertain,21,21,-0.6904761904761905,1.4047619047619047,0.38095238095238093,0.07142857142857142
total,2024,Fully priced,16,16,-0.875,2.25,0.625,1.125
total,2024,Missing opener,92,0,,,,
total,2024,Mostly priced,24,24,-0.8333333333333334,1.6666666666666667,0.3333333333333333,-0.08333333333333333
total,2024,Not priced,57,57,-1.2280701754385965,1.7543859649122806,0.42105263157894735,0.14035087719298245
total,2024,Opener moved opposite prediction,276,276,-0.5362318840579711,1.5507246376811594,0.41304347826086957,0.2318840579710145
total,2024,Opener overreacted,192,192,-0.7291666666666666,1.5729166666666667,0.4166666666666667,0.11458333333333333
total,2024,Partially priced,34,34,-0.5882352941176471,1.4705882352941178,0.4411764705882353,0.23529411764705882
total,2024,Prediction too uncertain,58,58,-0.4827586206896552,2.1724137931034484,0.3275862068965517,-0.3448275862068966
total,2025,Fully priced,11,11,0.36363636363636365,1.6363636363636365,0.45454545454545453,0.18181818181818182
total,2025,Missing opener,109,0,,,,
total,2025,Mostly priced,22,22,-0.2727272727272727,1.4545454545454546,0.45454545454545453,0.09090909090909091
total,2025,Not priced,64,64,-0.65625,1.65625,0.453125,0.28125
total,2025,Opener moved opposite prediction,271,271,-0.5129151291512916,1.959409594095941,0.5092250922509225,0.933579335793358
total,2025,Opener overreacted,193,193,-0.5025906735751295,1.8082901554404145,0.5544041450777202,0.7927461139896373
total,2025,Partially priced,46,46,-0.45652173913043476,1.5869565217391304,0.4782608695652174,0.06521739130434782
total,2025,Prediction too uncertain,46,46,-0.5,1.6304347826086956,0.5,0.6304347826086957
