market,season,stage,n,mean_abs,median_abs,p25_abs,p75_abs,p90_abs,signed_mean
spread,2021,Weeks 1-3,96,2.2459015023404167,1.5454773791392882,0.34642421743439006,3.635938900158404,6.068308950380051,0.17288635307595332
spread,2021,Weeks 10-12,390,0.5585503360512131,0.47502553314236096,0.23305687271501002,0.7646496839590312,1.151608264118585,1.8219044506669236e-17
spread,2021,Weeks 13+,520,0.37732517050848197,0.23112967007241325,0.11008872750485961,0.511864125190663,0.9074111848971822,3.416070845000482e-18
spread,2021,Weeks 4-6,390,1.7406239517922073,1.2539168891269874,0.6386892537908779,2.3261784437035438,3.969637744179785,-9.109522253334617e-17
spread,2021,Weeks 7-9,390,0.703832226258854,0.5458971291729942,0.2432137075819143,0.9796529401149007,1.5161619772322232,5.921189464667501e-17
spread,2022,Weeks 1-3,97,2.7303764591877555,2.182961580707275,0.5282302065888211,3.890747655228938,6.302742350635964,0.170705299567444
spread,2022,Weeks 10-12,393,0.4674710184073027,0.36909622924601504,0.147100578207068,0.7003350397226238,1.000230060295057,3.276994169377052e-17
spread,2022,Weeks 13+,524,0.31337099303154764,0.2265316726898874,0.11886778675918941,0.40432842938274893,0.7121862308129717,-5.932489444561905e-18
spread,2022,Weeks 4-6,393,1.74924717878818,1.2458971396252565,0.5405016660363076,2.3623776857581262,4.093094213346954,1.8079967831045808e-17
spread,2022,Weeks 7-9,393,0.6084259716828864,0.43987268228854237,0.19383834042382997,0.8481722451633118,1.345361927703893,9.039983915522904e-18
spread,2023,Weeks 1-3,99,1.8440045393128566,1.3317803907001402,0.31696500732167565,3.0471439177571593,4.1506055122103405,-0.02545524011927753
spread,2023,Weeks 10-12,399,0.5156831794243774,0.42921563141680297,0.20851664270795567,0.7631750454968032,1.0676086232484796,-6.010229907745208e-17
spread,2023,Weeks 13+,532,0.340526594504353,0.2338137922280703,0.1259113303695375,0.43439246275185794,0.8018590233706155,2.253836215404453e-17
spread,2023,Weeks 4-6,399,1.6355490429436907,1.1883842998377234,0.5294299760804895,2.1551430224668917,3.934749710848852,-1.7808088615541357e-17
spread,2023,Weeks 7-9,399,0.5920221387029277,0.45287255450926,0.2026776424973295,0.8721954066304951,1.3062332457226868,7.568437661605077e-17
spread,2024,Weeks 1-3,75,2.0066454411075156,1.5121984932995671,0.42351706951546786,3.1004620009028607,4.443021075082947,0.026783309129257374
spread,2024,Weeks 10-12,402,0.5300773482915795,0.3983848317038996,0.17263969646940186,0.7611395082071873,1.2251867145712003,-1.436109385087267e-17
spread,2024,Weeks 13+,670,0.36838676585853825,0.2525162428064833,0.13396657526432998,0.47966655840098826,0.8380354009434419,5.3025577295529865e-18
spread,2024,Weeks 4-6,399,1.6841017662803315,1.108226383701215,0.466926827440554,2.3446637069560516,3.9618458980967297,0.05142866378496877
spread,2024,Weeks 7-9,402,0.8166584727998368,0.6217534159584659,0.27207565085698876,1.185553346280332,1.806551379533788,-1.7675192431843288e-17
spread,2025,Weeks 1-3,93,3.136804766778841,2.5313584165172647,0.8942526081129785,4.189914933538199,7.369506231352799,0.39925994824037336
spread,2025,Weeks 10-12,408,0.5721324814940768,0.42891054724476585,0.20202032020530059,0.800876269536438,1.2274096138403858,-5.659960517696876e-17
spread,2025,Weeks 13+,680,0.40289981245537504,0.2924760431403497,0.16024101124231122,0.5177589196217189,0.8989520612246134,-1.0449157878825003e-17
spread,2025,Weeks 4-6,407,1.65283070691262,1.010374356893152,0.4098583597919152,2.367447276651525,4.070696538624321,0.004106976028990215
spread,2025,Weeks 7-9,408,0.7878784537782489,0.6365290076889949,0.2559747565269521,1.1144536360906678,1.690647571284068,-1.3061447348531253e-17
total,2021,Weeks 1-3,130,0.30806483089482783,0.18139928304175978,0.12364948260709244,0.4123058652641424,0.7508279554104391,3.433151199225484e-16
total,2021,Weeks 10-12,390,0.32253852299677355,0.27341160350642163,0.1034636162013749,0.4837746661015329,0.6702779398130252,-3.529939873167164e-17
total,2021,Weeks 13+,390,0.31915582961950006,0.2745072483082491,0.11436966993238551,0.47691432898516073,0.6573909142677409,0.0
total,2021,Weeks 4-6,390,0.3162542995639114,0.2512832422845871,0.08747420401697557,0.5043587076197236,0.6453836854704089,5.055784850600713e-16
total,2021,Weeks 7-9,390,0.2962018416566707,0.23202902634390354,0.0839166385536615,0.4322986467697246,0.6472956665395756,-6.103379909734194e-16
total,2022,Weeks 1-3,131,0.3428654395515672,0.26984276416168473,0.045346340508765404,0.5782310185139528,0.7172180544060708,-2.288245928616735e-16
total,2022,Weeks 10-12,393,0.3577101072427703,0.3209274931893278,0.12366783965477257,0.5209581810740043,0.7171873074122099,7.028587494319057e-16
total,2022,Weeks 13+,393,0.3081499982207558,0.24853525136759602,0.11332167193801101,0.45914447516536705,0.6511812215312276,-1.2429977883843991e-15
total,2022,Weeks 4-6,393,0.328253618182698,0.27049931496798507,0.1001146054129558,0.4910392405400872,0.7218327657775029,-3.6724934656811794e-16
total,2022,Weeks 7-9,393,0.34513632872892785,0.28514160060674865,0.1333955416821362,0.4984518602564312,0.7202980257286378,3.717693385258794e-16
total,2023,Weeks 1-3,133,0.35908513571662193,0.24753290892934085,0.039945674724765956,0.5841667600729639,0.9508903778028206,-4.874964258504447e-16
total,2023,Weeks 10-12,399,0.3597353569184187,0.29136976128990844,0.1415214372411245,0.5165311343216763,0.7672199769294346,7.34583655391081e-16
total,2023,Weeks 13+,399,0.29193087732120376,0.2464491365067114,0.11736592875310475,0.4178559876261203,0.6251046815489685,-4.83600906465795e-16
total,2023,Weeks 4-6,399,0.30609910531484325,0.24062784017393035,0.10019174722519542,0.44942607185853733,0.6965477228193157,5.431467027740114e-16
total,2023,Weeks 7-9,399,0.30677461526296484,0.25920687222746897,0.10697461477455783,0.45763559645563245,0.6469876487104484,-2.7379936246394836e-16
total,2024,Weeks 1-3,134,0.3452901598885623,0.20936329580437588,0.05325111164908085,0.5637545101323103,0.8901461501635883,-4.971147871455924e-16
total,2024,Weeks 10-12,402,0.2849516463112511,0.23683490226487525,0.09813362262177307,0.4139559839030793,0.5834496614214708,-6.4514452376228e-16
total,2024,Weeks 13+,536,0.2804487743156743,0.22194498654150202,0.09936563023571476,0.4119277631358094,0.5750510948283504,3.728360903591944e-17
total,2024,Weeks 4-6,402,0.30426814199465324,0.2558299927361652,0.08743778640018735,0.4396478309739011,0.6583526263051483,-3.7117904106870904e-16
total,2024,Weeks 7-9,402,0.28270922566619205,0.23636360837839998,0.11154149643712774,0.3847182174727579,0.6020765079316909,1.1406022616173871e-15
total,2025,Weeks 1-3,136,0.2862177127689638,0.21555699243531717,0.04522607553386203,0.4721352566591983,0.6260760508416987,4.930696374070548e-16
total,2025,Weeks 10-12,408,0.25789503007145076,0.2078444931842111,0.08719210504200528,0.38251061412513154,0.5263947431379751,9.578394722256253e-17
total,2025,Weeks 13+,544,0.2575698853792274,0.21660316921573308,0.08317699593271066,0.3878625242220822,0.5412964895321809,1.2081838797391408e-16
total,2025,Weeks 4-6,408,0.2125177012596301,0.1445231267057861,0.049987603090145244,0.34398030636327614,0.5033311745330826,-7.651831238347893e-16
total,2025,Weeks 7-9,408,0.2673624160858705,0.219574199991718,0.082035287452779,0.3956463544929464,0.5814847632384418,7.902175645861408e-16
