market,season,completed_week,target_week,n,mean_abs,median_abs,p25_abs,p75_abs,p90_abs,signed_mean
spread,2021,2,3,96,2.2459015023404167,1.5454773791392882,0.34642421743439006,3.635938900158404,6.068308950380051,0.17288635307595332
spread,2021,3,4,130,2.441638864047874,1.742818064382743,0.8157341900249533,3.690789392013886,5.280315809080118,-1.6397140056002313e-16
spread,2021,4,5,130,1.7673366988488821,1.4086060001274756,0.7652495933394865,2.4324809093612005,3.7527234644220693,2.1862853408003084e-16
spread,2021,5,6,130,1.0128962924798661,0.8529741497506549,0.4980641621477484,1.4925110481783839,1.9376145681285266,-2.6986959675503803e-16
spread,2021,6,7,130,0.7501679953255193,0.5711610005223493,0.3138070082588893,0.9646816249343122,1.7069935378921488,4.099285014000578e-17
spread,2021,7,8,130,0.7034727555830701,0.5330410105839629,0.246630371134909,0.9771169297087352,1.5848500052005514,1.708035422500241e-16
spread,2021,8,9,130,0.6578559278679728,0.54444583085324,0.20766837701332047,0.9857279460828023,1.3183994837689326,-4.7824991830006746e-17
spread,2021,9,10,130,0.5879823054211258,0.5260506581221058,0.2704155254032049,0.8032238570505565,1.2040970633801993,-2.8524191555754024e-16
spread,2021,10,11,130,0.6092549833898108,0.515531810207891,0.22165438457819142,0.8893449027036677,1.1812276083685922,2.801178092900395e-16
spread,2021,11,12,130,0.4784137193427026,0.3726855940556183,0.2276685875843215,0.6542045789367932,0.9306261945628995,6.148927521000867e-17
spread,2021,12,13,130,0.5482796897500711,0.4576057193982671,0.15177970294876575,0.7976083436643875,1.170151937737952,-1.793437193625253e-17
spread,2021,13,14,130,0.5504785832528871,0.43210396292171593,0.22116230480686627,0.7610705613570525,1.1476426065527285,-1.9813210901002795e-16
spread,2021,14,15,130,0.19554613176282612,0.14742857960943834,0.05847512107152192,0.24650333597889207,0.3790396399210878,2.6986959675503803e-16
spread,2021,15,16,130,0.21499627726814338,0.1517008563305553,0.08513726095402618,0.23967083692610147,0.38339037579470997,-8.198570028001156e-17
spread,2022,2,3,97,2.7303764591877555,2.182961580707275,0.5282302065888211,3.890747655228938,6.302742350635964,0.170705299567444
spread,2022,3,4,131,2.3248014965151444,1.5524654724201323,0.6226487206017168,3.4204173794015027,5.462576178117571,1.0847980698627483e-16
spread,2022,4,5,131,1.8985968781042053,1.5814548354907867,0.8506993300100629,2.777151399124145,3.5869300190223825,-2.711995174656871e-16
spread,2022,5,6,131,1.0243431617451912,0.6496053424395143,0.3399966507111909,1.3109007324107003,2.4423835187287284,1.8983966222598096e-16
spread,2022,6,7,131,0.6972582604265161,0.5144719958687949,0.21578291346981704,1.0980856780751895,1.4702466095844067,5.4239903493137417e-17
spread,2022,7,8,131,0.6617094070426839,0.4691766943778095,0.24033008162117986,0.874508366008627,1.3651906665999345,-6.779987936642178e-17
spread,2022,8,9,131,0.4663102475794591,0.35082824682309166,0.165046678612911,0.6898478490026343,1.0174059648539622,4.745991555649524e-17
spread,2022,9,10,131,0.48452627182391383,0.31437667580873985,0.15236386622131248,0.7037633751669847,1.036035952946099,-6.779987936642178e-17
spread,2022,10,11,131,0.49918107796532,0.386660593001908,0.14335863858578257,0.7392253309619399,1.0819721485797595,-7.966485825554558e-17
spread,2022,11,12,131,0.4187057054326742,0.3305891227522224,0.15628106249127494,0.6275412967400853,0.8285129544338181,2.406895717507973e-16
spread,2022,12,13,131,0.4659779770819637,0.39395439921343645,0.18821486605179372,0.6580879541975788,0.936093976567161,1.3559975873284355e-16
spread,2022,13,14,131,0.42321759553678484,0.3528182889528022,0.17668185511144863,0.5988821268033044,0.7986532261109741,-8.135985523970613e-17
spread,2022,14,15,131,0.18650353772563508,0.17342845361665216,0.09533293471522108,0.2508075341259115,0.3600601300522257,-2.135696200042286e-16
spread,2022,15,16,131,0.17778486178180694,0.15801675469681076,0.09191817972590077,0.23275827187353837,0.3004182364557728,1.220397828595592e-16
spread,2023,2,3,99,1.8440045393128566,1.3317803907001402,0.31696500732167565,3.0471439177571593,4.1506055122103405,-0.02545524011927753
spread,2023,3,4,133,2.382168830491465,1.7844765805740015,0.8836564795837916,3.8071304367600987,5.215609648975916,-9.349246523159212e-17
spread,2023,4,5,133,1.6160479062180828,1.323942084765152,0.7050188991209444,2.378894180802169,3.495829611989651,6.678033230828009e-17
spread,2023,5,6,133,0.9084303921215248,0.768869139942602,0.33941674922816834,1.2857051088960605,1.9672276326636953,-2.0034099692484027e-17
spread,2023,6,7,133,0.6711571315450902,0.45791726232197494,0.2104681146938736,1.0680235508958709,1.4577303144343052,2.270531298481523e-16
spread,2023,7,8,133,0.5654181450332149,0.48589862512841386,0.2148362150081775,0.8548567565721052,1.1508550129642554,-5.0085249231210067e-17
spread,2023,8,9,133,0.5394911395304783,0.4164965417138635,0.1902726313386052,0.7389845544434577,1.2659895849390472,4.1737707692675056e-17
spread,2023,9,10,133,0.49112288803998255,0.42505534552300706,0.20847386171929827,0.7345871264423105,1.052521354995918,-1.2020459815490416e-16
spread,2023,10,11,133,0.4962287568778671,0.33823727430731054,0.19636595013130975,0.7462320778569691,1.0641795189512548,4.674623261579606e-17
spread,2023,11,12,133,0.5596978933552824,0.49080461231448846,0.233832857723554,0.8546807001642893,1.065400747512918,-8.848394030847112e-17
spread,2023,12,13,133,0.5323014360910768,0.44831117607381277,0.17255741145911863,0.8021340531226806,1.2025348047022548,-9.683148184700613e-17
spread,2023,13,14,133,0.4218556050867079,0.37258522896213986,0.18641710671532596,0.5971890167739025,0.834717341544645,9.349246523159212e-17
spread,2023,14,15,133,0.21859788315071418,0.16831014371579656,0.12157466353295643,0.242234283391642,0.35748572189751826,-2.337311630789803e-17
spread,2023,15,16,133,0.1893514536889131,0.18290909887400986,0.10656801005792316,0.25747948553529554,0.30208563430152574,1.0100525261627364e-16
spread,2024,2,3,75,2.0066454411075156,1.5121984932995671,0.42351706951546786,3.1004620009028607,4.443021075082947,0.026783309129257374
spread,2024,3,4,131,2.656582607826783,1.8971645211303727,0.7269780966480623,3.801497456333916,6.3440125015978985,0.15664150267330185
spread,2024,4,5,134,1.491435520634168,1.1753234893371478,0.5530919240397254,2.1101758571786613,3.28614691885352,1.2593574607688342e-16
spread,2024,5,6,134,0.9260591295191433,0.7062559010962579,0.38473941516465426,1.2306212070498312,2.221198571137582,-1.0605115459105973e-16
spread,2024,6,7,134,1.00050708941514,0.7918234848929322,0.304740907217012,1.3806705058458326,2.3730683037301827,-1.5244853472464836e-16
spread,2024,7,8,134,0.7088522647636073,0.535627815842763,0.20551214734037926,1.0406169103705964,1.5878276421005182,1.5907673188658958e-16
spread,2024,8,9,134,0.7406160642207633,0.583336991972712,0.2940990502190181,0.9944311188564695,1.6248572938249046,-2.3198690066794315e-17
spread,2024,9,10,134,0.6327301997342234,0.5142213892074312,0.25795851733069863,0.8956684826368331,1.3729688084726002,-1.3256394323882466e-17
spread,2024,10,11,134,0.4388387551486534,0.2992114194292679,0.1287004476851712,0.6301928626958309,1.006690264433372,5.3025577295529864e-17
spread,2024,11,12,134,0.5186630899918616,0.4643412228308743,0.17558141858382936,0.7512465211287863,1.1270348466153668,-7.953836594329479e-17
spread,2024,12,13,134,0.4998764541515498,0.3301637157268269,0.18004887216116905,0.7198322490222138,1.1136928793689589,0.0
spread,2024,13,14,134,0.49040753530790077,0.39541852777484476,0.2264730089195598,0.6420496112610847,1.0611691684552682,4.639738013358863e-17
spread,2024,14,15,134,0.47206727957254097,0.39604912934056813,0.18230367021068328,0.700958408642614,0.8637427300692019,4.3083281552618016e-17
