game_id,first_opener,first_opener_timestamp,consensus_opener,consensus_opener_timestamp,closing_spread,closing_timestamp,books_at_open,books_at_close,opener_source,close_source,timing_status,eligibility
pt-2021-2-byu-arizona,9.5,,9.5,,12.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-rice-arkansas,-21.5,,-21.5,,-19.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-akron-auburn,-35.5,,-35.5,,-37.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-nevada-california,-3.0,,-3.0,,-3.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-boisestate-centralflorida,-4.0,,-4.0,,-6.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-duke-charlotte,7.5,,7.5,,6.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-miamiohio-cincinnati,-20.5,,-20.5,,-23.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-georgia-clemson,-4.0,,-4.0,,-3.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-notredame-floridastate,9.5,,9.5,,7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-army-georgiastate,-4.0,,-4.0,,-2.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-texastech-houston,6.5,,6.5,,-1.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-indiana-iowa,-5.5,,-5.5,,-3.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-stanford-kansasstate,-1.5,,-1.5,,-3.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-ohiostate-minnesota,14.0,,14.0,,14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-louisville-mississippi,-7.5,,-7.5,,-10.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-marshall-navy,3.5,,3.5,,2.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-michiganstate-northwestern,-7.5,,-7.5,,-3.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-syracuse-ohio,-0.0,,-0.0,,-0.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-tulane-oklahoma,21.5,,21.5,,-32.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-fresnostate-oregon,-20.5,,-20.5,,-20.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-massachusetts-pittsburgh,-35.5,,-35.5,,-38.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-oregonstate-purdue,-5.5,,-5.5,,-7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-temple-rutgers,-13.0,,-13.0,,-14.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-temple-rutgers,-14.5,,-14.5,,-15.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-louisianalafayette-texas,-16.5,,-16.5,,-9.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-baylor-texasstate,10.5,,10.5,,14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-lsu-ucla,4.5,,4.5,,2.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-sanjosestate-usc,-16.5,,-16.5,,-14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-2-pennstate-wisconsin,-3.5,,-3.5,,-5.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-temple-akron,3.0,,3.0,,6.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-sandiegostate-arizona,-1.0,,-1.0,,-2.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-unlv-arizonastate,-30.0,,-30.0,,-34.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-texas-arkansas,3.5,,3.5,,6.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-memphis-arkansasstate,4.0,,4.0,,5.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-westernkentucky-army,-4.0,,-4.0,,-6.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-utah-byu,6.0,,6.0,,7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-utep-boisestate,-28.0,,-28.0,,-26.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-kansas-coastalcarolina,-27.0,,-27.0,,-26.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-texasaandm-colorado,17.0,,17.0,,17.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-vanderbilt-coloradostate,-1.0,,-1.0,,-7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-purdue-connecticut,32.0,,32.0,,34.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-uab-georgia,-29.0,,-29.0,,-23.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-iowa-iowastate,-5.0,,-5.0,,-4.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-missouri-kentucky,-3.0,,-3.0,,-5.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-bostoncollege-massachusetts,36.0,,36.0,,37.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-washington-michigan,-1.0,,-1.0,,-6.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-miamiohio-minnesota,-19.0,,-19.0,,-18.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-airforce-navy,6.0,,6.0,,6.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-buffalo-nebraska,-11.0,,-11.0,,-13.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-georgiastate-northcarolina,-23.0,,-23.0,,-26.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-toledo-notredame,-19.5,,-19.5,,-16.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-oregon-ohiostate,-11.5,,-11.5,,-14.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-tulsa-oklahomastate,-14.0,,-14.0,,-12.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-hawaii-oregonstate,-11.0,,-11.0,,-11.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-ballstate-pennstate,-20.5,,-20.5,,-22.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-houston-rice,8.0,,8.0,,8.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-northtexas-smu,-26.0,,-26.0,,-22.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-rutgers-syracuse,2.0,,2.0,,2.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-california-tcu,-9.0,,-9.0,,-11.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-pittsburgh-tennessee,-0.0,,-0.0,,4.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-stanford-usc,-14.5,,-14.5,,-17.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-3-illinois-virginia,-13.0,,-13.0,,-10.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-utahstate-airforce,-11.0,,-11.0,,-9.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-georgiasouthern-arkansas,-18.0,,-18.0,,-23.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-connecticut-army,-31.0,,-31.0,,-34.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-arizonastate-byu,2.0,,2.0,,3.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-oklahomastate-boisestate,-4.0,,-4.0,,-3.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-coastalcarolina-buffalo,11.0,,11.0,,14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-minnesota-colorado,3.0,,3.0,,-2.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-northwestern-duke,2.0,,2.0,,2.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-alabama-florida,15.0,,15.0,,14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-southcarolina-georgia,-32.0,,-32.0,,-31.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-charlotte-georgiastate,-2.0,,-2.0,,-5.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-sanjosestate-hawaii,3.0,,3.0,,7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-maryland-illinois,5.0,,5.0,,7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-cincinnati-indiana,3.0,,3.0,,4.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-baylor-kansas,14.0,,14.0,,17.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-nevada-kansasstate,2.0,,2.0,,1.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-ohio-louisianalafayette,-22.0,,-22.0,,-19.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-centralflorida-louisville,8.0,,8.0,,7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-tulane-mississippi,-15.0,,-15.0,,-14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-virginia-northcarolina,-10.0,,-10.0,,-8.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-uab-northtexas,14.0,,14.0,,12.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-purdue-notredame,-8.0,,-8.0,,-7.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-tulsa-ohiostate,-31.0,,-31.0,,-24.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-nebraska-oklahoma,-23.0,,-23.0,,-22.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-auburn-pennstate,-7.0,,-7.0,,-5.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-utah-sandiegostate,7.0,,7.0,,8.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-bostoncollege-temple,16.0,,16.0,,15.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-rice-texas,-23.0,,-23.0,,-26.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-newmexico-texasaandm,-25.0,,-25.0,,-30.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-coloradostate-toledo,-13.0,,-13.0,,-14.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-fresnostate-ucla,-11.0,,-11.0,,-11.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-iowastate-unlv,30.0,,30.0,,32.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-stanford-vanderbilt,9.0,,9.0,,13.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-floridastate-wakeforest,-5.0,,-5.0,,-4.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-arkansasstate-washington,-16.0,,-16.0,,-17.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-4-ballstate-wyoming,-6.0,,-6.0,,-6.5,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-marshall-appalachianstate,-5.5,,-5.5,,-7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-colorado-arizonastate,-13.0,,-13.0,,-14.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-texasaandm-arkansas,5.0,,5.0,,5.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-miamiohio-army,-7.0,,-7.0,,-8.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-georgiastate-auburn,-23.0,,-23.0,,-27.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-toledo-ballstate,3.0,,3.0,,5.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
pt-2021-5-iowastate-baylor,7.0,,7.0,,7.0,,,,Prediction Tracker lineopen (provider/method not encoded),Prediction Tracker line (provider/method not encoded),timing_uncertain,False
