season,completed_week,target_sp_plus_week,current_snapshot_week,team,current_sp_plus_overall,next_sp_plus_overall,actual_sp_plus_change,current_sp_plus_offense,next_sp_plus_offense,actual_sp_plus_offense_change,current_sp_plus_defense,next_sp_plus_defense,actual_sp_plus_defense_change,current_sp_plus_special_teams,next_sp_plus_special_teams,actual_sp_plus_special_teams_change,completed_game_id,opponent,game_date,games_played,snapshot_provenance,sequence_validity,eligibility,missing_reason,join_key
2021,1,1,0,Air Force,-3.1,-7.0,-3.9,23.7,22.2,-1.5,26.8,29.2,2.3999999999999986,,0.0,,,,,,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W0 to W1 observation,adjacent_calendar_week,False,no completed game in target week (bye or missing feature row),airforce
2021,3,3,1,Air Force,-7.0,-6.0,1.0,22.2,23.0,0.8000000000000007,29.2,28.8,-0.3999999999999986,0.0,-0.2,-0.2,401310704,Utah State,2021-09-18T23:30:00.000Z,2.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W1 to W3 observation,invalid_gap_not_bridged,False,nonconsecutive snapshots,airforce
2021,4,4,3,Air Force,-6.0,0.0,6.0,23.0,26.5,3.5,28.8,26.3,-2.5,-0.2,-0.1,0.1,401282207,Florida Atlantic,2021-09-26T00:00:00.000Z,3.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W3 to W4 observation,adjacent_calendar_week,True,,airforce
2021,5,5,4,Air Force,0.0,3.5,3.5,26.5,27.9,1.3999999999999986,26.3,24.2,-2.1000000000000014,-0.1,-0.1,0.0,401310710,New Mexico,2021-10-02T22:30:00.000Z,4.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W4 to W5 observation,adjacent_calendar_week,True,,airforce
2021,6,6,5,Air Force,3.5,6.6,3.0999999999999996,27.9,28.9,1.0,24.2,22.1,-2.099999999999998,-0.1,-0.2,-0.1,401310714,Wyoming,2021-10-09T23:00:00.000Z,5.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W5 to W6 observation,adjacent_calendar_week,True,,airforce
2021,7,7,6,Air Force,6.6,5.2,-1.3999999999999995,28.9,28.3,-0.5999999999999979,22.1,22.8,0.6999999999999993,-0.2,-0.3,-0.09999999999999998,401310718,Boise State,2021-10-17T01:00:00.000Z,6.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W6 to W7 observation,adjacent_calendar_week,True,,airforce
2021,8,8,7,Air Force,5.2,2.9,-2.3000000000000003,28.3,26.8,-1.5,22.8,23.6,0.8000000000000007,-0.3,-0.3,0.0,401310724,San Diego State,2021-10-23T23:00:00.000Z,7.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W7 to W8 observation,adjacent_calendar_week,True,,airforce
2021,9,9,8,Air Force,2.9,3.4,0.5,26.8,25.8,-1.0,23.6,22.2,-1.4000000000000021,-0.3,-0.3,0.0,,,,,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W8 to W9 observation,adjacent_calendar_week,False,no completed game in target week (bye or missing feature row),airforce
2021,10,10,9,Air Force,3.4,3.4,0.0,25.8,25.3,-0.5,22.2,21.7,-0.5,-0.3,-0.2,0.09999999999999998,401310253,Army,2021-11-06T15:30:00.000Z,8.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W9 to W10 observation,adjacent_calendar_week,True,,airforce
2021,11,11,10,Air Force,3.4,4.5,1.1,25.3,26.4,1.0999999999999979,21.7,21.7,0.0,-0.2,-0.2,0.0,401310741,Colorado State,2021-11-14T00:00:00.000Z,9.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W10 to W11 observation,adjacent_calendar_week,True,,airforce
2021,12,12,11,Air Force,4.5,4.0,-0.5,26.4,27.5,1.1000000000000014,21.7,22.4,0.6999999999999993,-0.2,-1.1,-0.9000000000000001,401310747,Nevada,2021-11-20T02:00:00.000Z,10.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W11 to W12 observation,adjacent_calendar_week,True,,airforce
2021,13,13,12,Air Force,4.0,7.1,3.0999999999999996,27.5,29.1,1.6000000000000014,22.4,20.9,-1.5,-1.1,-1.1,0.0,401310752,UNLV,2021-11-26T20:30:00.000Z,11.0,data/import/sp_plus/espn_sp_plus_weekly_2021_2024.csv; genuine W12 to W13 observation,adjacent_calendar_week,True,,airforce
