threshold,direction_model,magnitude_model,balanced_accuracy,macro_f1,direction_accuracy,mae,rmse,component,n,median_absolute_error,signed_bias,correlation,within_1,within_2,within_3,accuracy,per_class
1.0,ordinal_ridge_proxy,huber,0.667793789020204,0.6870640765300898,0.7177615571776156,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
1.0,ordinal_ridge_proxy,ridge,0.667793789020204,0.6870640765300898,0.7177615571776156,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
1.0,ordinal_ridge_proxy,elastic,0.667793789020204,0.6870640765300898,0.7177615571776156,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
1.0,ordinal_ridge_proxy,two_stage,0.667793789020204,0.6870640765300898,0.7177615571776156,0.7187889814374817,0.9362983522044895,offense,,,,,,,,,
0.75,multinomial_logistic,two_stage,0.6656453407224213,0.6743434343434345,0.6715328467153284,0.6869545063357106,0.9019094119911214,offense,,,,,,,,,
0.75,multinomial_logistic,huber,0.6656453407224213,0.6743434343434345,0.6715328467153284,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.75,multinomial_logistic,ridge,0.6656453407224213,0.6743434343434345,0.6715328467153284,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.75,multinomial_logistic,elastic,0.6656453407224213,0.6743434343434345,0.6715328467153284,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.75,ordinal_ridge_proxy,two_stage,0.6444053096705433,0.6528682396865836,0.648418491484185,0.6869545063357106,0.9019094119911214,offense,,,,,,,,,
0.75,ordinal_ridge_proxy,huber,0.6444053096705433,0.6528682396865836,0.648418491484185,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.75,ordinal_ridge_proxy,ridge,0.6444053096705433,0.6528682396865836,0.648418491484185,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.75,ordinal_ridge_proxy,elastic,0.6444053096705433,0.6528682396865836,0.648418491484185,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.5,multinomial_logistic,two_stage,0.6386493503620337,0.6253786541275185,0.6581508515815085,0.6739780485253395,0.8884420289130064,offense,,,,,,,,,
0.5,multinomial_logistic,huber,0.6386493503620337,0.6253786541275185,0.6581508515815085,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.5,multinomial_logistic,ridge,0.6386493503620337,0.6253786541275185,0.6581508515815085,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.5,multinomial_logistic,elastic,0.6386493503620337,0.6253786541275185,0.6581508515815085,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.5,ordinal_ridge_proxy,two_stage,0.6356231846956609,0.638462402436903,0.6411192214111923,0.6739780485253395,0.8884420289130064,offense,,,,,,,,,
0.5,ordinal_ridge_proxy,huber,0.6356231846956609,0.638462402436903,0.6411192214111923,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.5,ordinal_ridge_proxy,ridge,0.6356231846956609,0.638462402436903,0.6411192214111923,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.5,ordinal_ridge_proxy,elastic,0.6356231846956609,0.638462402436903,0.6411192214111923,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.75,gradient_boosted_stumps,two_stage,0.6167876247647893,0.6310230005370872,0.6362530413625304,0.6869545063357106,0.9019094119911214,offense,,,,,,,,,
0.75,gradient_boosted_stumps,huber,0.6167876247647893,0.6310230005370872,0.6362530413625304,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.75,gradient_boosted_stumps,ridge,0.6167876247647893,0.6310230005370872,0.6362530413625304,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.75,gradient_boosted_stumps,elastic,0.6167876247647893,0.6310230005370872,0.6362530413625304,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.5,gradient_boosted_stumps,two_stage,0.6144335723714499,0.6166933441366896,0.6228710462287105,0.6739780485253395,0.8884420289130064,offense,,,,,,,,,
0.5,gradient_boosted_stumps,huber,0.6144335723714499,0.6166933441366896,0.6228710462287105,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.5,gradient_boosted_stumps,ridge,0.6144335723714499,0.6166933441366896,0.6228710462287105,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.5,gradient_boosted_stumps,elastic,0.6144335723714499,0.6166933441366896,0.6228710462287105,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.25,ordinal_ridge_proxy,two_stage,0.6040172412056758,0.602921257753183,0.6849148418491484,0.662674105303637,0.8771268315937735,offense,,,,,,,,,
0.25,ordinal_ridge_proxy,huber,0.6040172412056758,0.602921257753183,0.6849148418491484,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.25,ordinal_ridge_proxy,ridge,0.6040172412056758,0.602921257753183,0.6849148418491484,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.25,ordinal_ridge_proxy,elastic,0.6040172412056758,0.602921257753183,0.6849148418491484,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.25,gradient_boosted_stumps,two_stage,0.5994914247157518,0.5995691979367747,0.6897810218978102,0.662674105303637,0.8771268315937735,offense,,,,,,,,,
0.25,gradient_boosted_stumps,huber,0.5994914247157518,0.5995691979367747,0.6897810218978102,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.25,gradient_boosted_stumps,ridge,0.5994914247157518,0.5995691979367747,0.6897810218978102,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.25,gradient_boosted_stumps,elastic,0.5994914247157518,0.5995691979367747,0.6897810218978102,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
1.0,multinomial_logistic,huber,0.5851659870527794,0.6207159106374734,0.694647201946472,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
1.0,multinomial_logistic,ridge,0.5851659870527794,0.6207159106374734,0.694647201946472,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
1.0,multinomial_logistic,elastic,0.5851659870527794,0.6207159106374734,0.694647201946472,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
1.0,multinomial_logistic,two_stage,0.5851659870527794,0.6207159106374734,0.694647201946472,0.7187889814374817,0.9362983522044895,offense,,,,,,,,,
1.0,rules_based,huber,0.5802808302808303,0.5138483620555333,0.5097323600973236,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
1.0,rules_based,ridge,0.5802808302808303,0.5138483620555333,0.5097323600973236,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
1.0,rules_based,elastic,0.5802808302808303,0.5138483620555333,0.5097323600973236,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
1.0,rules_based,two_stage,0.5802808302808303,0.5138483620555333,0.5097323600973236,0.7187889814374817,0.9362983522044895,offense,,,,,,,,,
0.75,rules_based,two_stage,0.5741232159134477,0.5340090804836511,0.5364963503649635,0.6869545063357106,0.9019094119911214,offense,,,,,,,,,
0.75,rules_based,huber,0.5741232159134477,0.5340090804836511,0.5364963503649635,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.75,rules_based,ridge,0.5741232159134477,0.5340090804836511,0.5364963503649635,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.75,rules_based,elastic,0.5741232159134477,0.5340090804836511,0.5364963503649635,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.25,multinomial_logistic,two_stage,0.5621509209744504,0.5191606133979015,0.7238442822384428,0.662674105303637,0.8771268315937735,offense,,,,,,,,,
0.25,multinomial_logistic,huber,0.5621509209744504,0.5191606133979015,0.7238442822384428,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.25,multinomial_logistic,ridge,0.5621509209744504,0.5191606133979015,0.7238442822384428,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
0.25,multinomial_logistic,elastic,0.5621509209744504,0.5191606133979015,0.7238442822384428,0.71397815901736,0.9544777246202814,offense,,,,,,,,,
0.5,rules_based,two_stage,0.5621098774679448,0.5426203479869879,0.5778588807785888,0.6739780485253395,0.8884420289130064,offense,,,,,,,,,
0.5,rules_based,huber,0.5621098774679448,0.5426203479869879,0.5778588807785888,0.7023629693446303,0.9195092882849767,offense,,,,,,,,,
0.5,rules_based,ridge,0.5621098774679448,0.5426203479869879,0.5778588807785888,0.7027823717348921,0.9163916851448214,offense,,,,,,,,,
