season,week,game_id,home_team,away_team,home_previous_game_id,home_previous_week,away_previous_game_id,away_previous_week,frozen_combined_total_baseline,predicted_combined_total_adjustment,projected_close,current_lambda_085_projection,actual_opener,actual_close,signal,clv,actual_total,total_result,method
2021,8,401310728,Hawai'i,New Mexico State,401310722,7,401310717,6,55.25,0.048476996969049516,55.29847699696905,58.4375,60.0,63.0,Under,-3.0,82.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,5,401405104,Ohio State,Rutgers,401405095,4,401405091,4,50.708333333333336,-0.7561850345391461,49.95214829879419,58.78333333333333,60.0,58.0,Under,2.0,59.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,7,401415240,Hawai'i,Nevada,401415235,6,401415233,6,51.9,-2.9195270294251383,48.98047297057486,37.875,48.5,51.5,Over,3.0,47.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,8,401416627,Miami (OH),Western Michigan,401416622,7,401416623,7,48.16666666666667,-2.0527583211342257,46.113908345532444,35.62916666666667,45.5,44.0,Over,-1.5,26.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,8,401411141,Georgia Tech,Virginia,401411132,6,401411136,6,42.5,-1.6400184542469984,40.859981545753,39.3125,47.0,48.0,Under,-1.0,25.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,8,401426590,Louisiana Tech,Rice,401426586,7,401426585,7,62.0,0.052806177066218436,62.052806177066216,54.35,60.0,57.0,Over,-3.0,83.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,8,401405120,Penn State,Minnesota,401405115,7,401405112,7,45.833333333333336,-0.3240103660583209,45.50932296727501,49.65833333333334,44.0,43.0,Over,-1.0,62.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,11,401405134,Illinois,Purdue,401405127,10,401405130,10,45.1875,-3.2302392832027933,41.95726071679721,38.6,46.5,44.0,Under,2.5,55.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2022,11,401426373,Marshall,App State,401426366,10,401426364,10,51.07142857142858,-3.269096050736046,47.80233252069253,35.346428571428575,46.0,47.5,Over,1.5,49.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,12,401531918,James Madison,App State,401520385,11,401531913,11,57.388888888888886,-1.6222434568618047,55.76664543202708,55.68888888888888,56.0,56.0,Under,0.0,49.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,12,401525898,Texas Tech,UCF,401525888,11,401525892,11,57.611111111111114,-2.950592186404026,54.66051892470709,37.211111111111116,60.0,60.0,Under,0.0,47.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,8,401525530,Florida State,Duke,401525524,7,401525523,7,49.949999999999996,-3.3791278843313353,46.570872115668664,38.6875,49.0,49.5,Under,-0.5,58.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,8,401520334,Arkansas,Mississippi State,401520316,7,401520304,6,56.63333333333333,0.7576541285667828,57.39098746190012,61.30833333333333,50.5,46.5,Over,-4.0,10.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,8,401520336,Illinois,Wisconsin,401520320,7,401520328,7,46.714285714285715,-3.6725982868353557,43.04168742745036,40.76428571428571,43.0,40.5,Over,-2.5,46.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,6,401525857,Oklahoma State,Kansas State,401525846,4,401525848,4,54.99999999999999,0.4034304425203941,55.40343044252039,75.1875,55.0,53.5,Over,-1.5,50.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,6,401520301,Illinois,Nebraska,401520289,5,401520286,5,47.400000000000006,1.6147063222208553,49.01470632222086,56.962500000000006,44.5,43.0,Over,-1.5,27.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,8,401520338,Iowa,Minnesota,401520328,7,401520303,6,42.023809523809526,-3.1461354867507163,38.87767403705881,42.87380952380953,32.5,30.5,Over,-2.0,22.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,8,401525528,Georgia Tech,Boston College,401525519,6,401520298,6,59.5,-0.5844651757730135,58.91553482422699,53.7625,57.5,57.0,Over,-0.5,61.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401525830,Oklahoma,SMU,401525822,1,401520172,1,62.5,-1.8249481046792995,60.6750518953207,62.7125,68.5,68.5,Under,0.0,39.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401520314,Florida International,UTEP,401520297,6,401520278,5,48.4,-1.1972810779989882,47.20271892200101,42.2375,44.0,44.0,Over,0.0,41.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401520315,New Mexico State,Sam Houston,401520297,6,401520296,6,42.8,-0.05608803244110289,42.743911967558894,40.037499999999994,43.0,43.0,Under,0.0,40.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401520321,Michigan,Indiana,401520303,6,401520283,5,44.25000000000001,-0.04840676847153946,44.20159323152847,55.72500000000001,49.5,45.5,Under,4.0,59.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401520327,Vanderbilt,Georgia,401520299,6,401520300,6,58.36666666666667,2.368571184995486,60.735237851662156,65.59166666666667,57.0,55.0,Over,-2.0,57.0,P,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401525862,Houston,West Virginia,401525855,5,401525853,5,47.85,1.6139771584790101,49.46397715847901,56.1375,52.5,52.5,Under,0.0,80.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,9,401524041,California,USC,401524033,7,401524037,8,69.52083333333334,1.1729442605553333,70.69377759388868,77.17083333333335,67.5,67.0,Over,-0.5,99.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401531415,East Carolina,SMU,401531414,5,401531404,5,47.625,-1.205435369965681,46.419564630034316,43.8,50.5,50.5,Under,0.0,41.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401520323,Purdue,Ohio State,401520302,6,401520307,6,49.833333333333336,-2.8542794582768045,46.97905387505653,46.43333333333334,52.0,52.0,Under,0.0,48.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401520328,Wisconsin,Iowa,401520311,6,401520302,6,43.983333333333334,-3.8299481245124305,40.15338520882091,38.88333333333333,37.5,35.0,Over,-2.5,21.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401524030,Washington State,Arizona,401524028,6,401524025,6,57.85,-2.5449969629445603,55.30500303705544,55.0875,61.0,57.5,Under,3.5,50.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,9,401531901,UL Monroe,Arkansas State,401531894,8,401531896,8,57.33333333333333,-1.830838338799946,55.502494994533386,53.29583333333333,58.0,56.5,Under,1.5,58.0,P,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401524033,Utah,California,401524020,5,401524027,6,47.724999999999994,1.2807584748874634,49.00575847488746,57.925,45.0,44.0,Over,-1.0,48.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401525523,Duke,NC State,401525438,5,401525521,6,47.65,-1.533755120932513,46.11624487906749,58.275,48.0,44.0,Under,4.0,27.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401525524,Florida State,Syracuse,401525518,6,401525520,6,56.60000000000001,1.136840808079596,57.736840808079606,52.35000000000001,56.5,53.5,Over,-3.0,44.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,7,401525525,Pittsburgh,Louisville,401525516,5,401525439,6,51.175,0.16592252725750692,51.340922527257504,59.037499999999994,47.5,44.5,Over,-3.0,59.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,9,401531899,Coastal Carolina,Marshall,401531896,8,401531893,8,53.166666666666664,-3.102219014567514,50.06444765209915,38.079166666666666,48.0,45.0,Over,-3.0,40.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,5,401520276,Sam Houston,Jacksonville State,401520254,4,401520257,4,28.833333333333336,-3.6454221733509957,25.18791115998234,19.270833333333336,36.5,36.5,Under,0.0,63.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,12,401525555,Virginia,Duke,401525546,11,401525549,11,51.666666666666664,0.9981209323735428,52.66478759904021,70.79166666666666,48.5,48.5,Over,0.0,57.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,12,401531919,Arkansas State,Texas State,401531916,11,401531912,11,57.11111111111111,-2.476743796918439,54.634367314192666,48.18611111111111,59.5,59.5,Under,0.0,108.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,12,401520423,Western Kentucky,Sam Houston,401520399,11,401520387,11,50.94444444444444,1.9662413875237317,52.91068583196817,64.11944444444444,52.0,52.0,Over,0.0,51.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,12,401525553,Pittsburgh,Boston College,401525552,11,401525547,11,51.05555555555556,0.3239219923952244,51.379477547950785,61.68055555555556,47.0,47.0,Over,0.0,40.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,13,401520439,Rutgers,Maryland,401520417,12,401520410,12,46.300000000000004,-1.5687307130653279,44.731269286934676,45.45,45.5,45.5,Under,0.0,66.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,13,401520436,Minnesota,Wisconsin,401520415,12,401520422,12,44.63636363636363,0.9487698707774429,45.58513350714107,41.66136363636363,42.0,42.0,Over,0.0,42.0,P,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,13,401525564,Virginia,Virginia Tech,401525555,12,401525559,12,54.14545454545455,1.9242109848773417,56.06966553033189,67.32045454545455,52.5,52.5,Over,0.0,72.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,13,401520437,New Mexico State,Jacksonville State,401520404,12,401520407,12,48.695454545454545,1.7353943865380606,50.43084893199261,53.79545454545455,50.0,48.5,Over,-1.5,37.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,13,401531435,SMU,Navy,401531431,12,401531417,12,48.37777777777777,-1.7725368083658812,46.605240969411895,42.852777777777774,45.5,46.0,Over,0.5,73.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,13,401531927,Southern Miss,Troy,401520412,12,401531921,12,51.35,-1.8570897387262204,49.49291026127378,60.275,48.0,48.5,Over,0.5,52.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520187,Coastal Carolina,Jacksonville State,401523995,1,401520145,1,35.5,-3.182941449044309,32.31705855095569,14.25,61.0,61.0,Under,0.0,46.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520198,Liberty,New Mexico State,401520160,1,401525450,1,64.5,-0.5547091611506912,63.94529083884931,80.225,53.5,53.0,Over,-0.5,50.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520215,Virginia Tech,Purdue,401525467,1,401520170,1,63.5,-0.2791421213519401,63.22085787864806,75.1875,49.0,49.0,Over,0.0,41.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401525831,Rice,Houston,401525824,1,401525819,1,39.0,-3.816109556589259,35.18389044341074,21.150000000000002,53.0,53.0,Under,0.0,84.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520217,Washington State,Wisconsin,401523990,1,401520180,1,64.5,-1.7975490922059207,62.70245090779408,72.3625,58.5,58.0,Over,-0.5,53.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520210,Rutgers,Temple,401520171,1,401531387,1,38.0,-3.0195765282465112,34.98042347175349,29.075000000000003,44.5,44.0,Under,0.5,43.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401524001,San Diego State,UCLA,401532392,1,401523995,1,36.5,-2.749773764177761,33.75022623582224,18.4375,48.5,49.5,Under,-1.0,45.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401524003,USC,Stanford,401523996,1,401523988,1,71.5,2.9716432372729793,74.47164323727299,80.85,70.0,69.5,Over,-0.5,66.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520207,Northwestern,UTEP,401520171,1,401520145,1,31.0,-3.7158680786286484,27.28413192137135,16.975,40.0,40.0,Under,0.0,45.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401520189,Florida International,North Texas,401520146,1,401523991,1,59.0,-0.16362126300314803,58.83637873699685,59.6375,51.0,52.0,Over,1.0,85.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401526833,Massachusetts,Miami (OH),401520151,1,401525463,1,56.5,1.8832541987259939,58.38325419872599,62.875,44.5,44.0,Over,-0.5,69.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,2,401531395,UTSA,Texas State,401525819,1,401525817,1,52.0,-0.36134065272869165,51.63865934727131,44.5625,65.5,66.5,Under,-1.0,33.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,3,401520243,Rutgers,Virginia Tech,401520210,2,401520215,2,42.0,-2.65899390954337,39.34100609045663,38.175,39.5,37.5,Under,2.0,51.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,4,401532407,Fresno State,Kent State,401524005,3,401520184,2,49.75,-4.520520257584696,45.22947974241531,31.475,50.5,47.5,Under,3.0,63.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,4,401525510,Pittsburgh,North Carolina,401525503,3,401520239,3,45.416666666666664,-3.855975054998887,41.56069161166778,31.816666666666663,50.0,50.0,Under,0.0,65.0,L,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,4,401532584,San José State,Air Force,401532403,3,401532581,3,49.16666666666667,-0.0127853837315688,49.1538812829351,47.46666666666667,47.0,45.5,Over,-1.5,65.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,4,401532405,Bowling Green,Ohio,401520232,3,401525838,3,36.583333333333336,-3.9104267300503843,32.672906603282954,18.945833333333336,45.0,44.5,Under,0.5,45.0,P,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
2023,4,401520257,Jacksonville State,Eastern Michigan,401520187,2,401526834,3,36.0,-1.9285515953648937,34.071448404635106,23.675,52.5,51.0,Under,1.5,21.0,W,combined scoring/allowance baseline plus prior completed-game repeatable total adjustment; separate offense/defense market movement unavailable
