team,conference,rank,combo,avg_total_wins,avg_conference_wins,conference_title_pct,make_title_game_pct,bowl_eligibility_pct,win_distribution
Ohio State,B1G,1,30.9333,10.5067,7.947,0.4947,0.7641,1.0,"[{""wins"":6,""probability"":0.0003},{""wins"":7,""probability"":0.0029},{""wins"":8,""probability"":0.0265},{""wins"":9,""probability"":0.1264},{""wins"":10,""probability"":0.3112},{""wins"":11,""probability"":0.3694},{""wins"":12,""probability"":0.1633}]"
Oregon,B1G,2,27.7,9.6262,7.7024,0.2903,0.6031,1.0,"[{""wins"":6,""probability"":0.0013},{""wins"":7,""probability"":0.0139},{""wins"":8,""probability"":0.0835},{""wins"":9,""probability"":0.3032},{""wins"":10,""probability"":0.4548},{""wins"":11,""probability"":0.1433}]"
Notre Dame,Independent,3,26.9333,11.3824,0.0,0.0,0.0,1.0,"[{""wins"":8,""probability"":0.0005},{""wins"":9,""probability"":0.0127},{""wins"":10,""probability"":0.0988},{""wins"":11,""probability"":0.3799},{""wins"":12,""probability"":0.5081}]"
Georgia,SEC,5,26.2333,9.5147,7.5471,0.3781,0.6466,0.9994,"[{""wins"":5,""probability"":0.0006},{""wins"":6,""probability"":0.006},{""wins"":7,""probability"":0.0319},{""wins"":8,""probability"":0.1277},{""wins"":9,""probability"":0.289},{""wins"":10,""probability"":0.363},{""wins"":11,""probability"":0.1818}]"
Indiana,B1G,6,25.5333,9.4985,7.5087,0.1764,0.4267,0.9998,"[{""wins"":5,""probability"":0.0002},{""wins"":6,""probability"":0.003},{""wins"":7,""probability"":0.0215},{""wins"":8,""probability"":0.1201},{""wins"":9,""probability"":0.3214},{""wins"":10,""probability"":0.3962},{""wins"":11,""probability"":0.1376}]"
Texas,SEC,4,26.3333,9.6569,7.2282,0.3452,0.593,0.9991,"[{""wins"":5,""probability"":0.0009},{""wins"":6,""probability"":0.0072},{""wins"":7,""probability"":0.0354},{""wins"":8,""probability"":0.1282},{""wins"":9,""probability"":0.2525},{""wins"":10,""probability"":0.3231},{""wins"":11,""probability"":0.2001},{""wins"":12,""probability"":0.0526}]"
Texas Tech,B12,8,22.3,10.3711,8.3879,0.7329,0.9556,1.0,"[{""wins"":6,""probability"":0.0001},{""wins"":7,""probability"":0.0023},{""wins"":8,""probability"":0.0176},{""wins"":9,""probability"":0.1067},{""wins"":10,""probability"":0.353},{""wins"":11,""probability"":0.5203}]"
Miami-FL,ACC,7,22.7,9.5487,8.3039,0.7343,0.9292,0.9998,"[{""wins"":5,""probability"":0.0002},{""wins"":6,""probability"":0.0025},{""wins"":7,""probability"":0.0152},{""wins"":8,""probability"":0.0946},{""wins"":9,""probability"":0.3227},{""wins"":10,""probability"":0.4476},{""wins"":11,""probability"":0.1172}]"
Texas A&M,SEC,9,21.0,7.5857,5.6585,0.0525,0.1325,0.9485,"[{""wins"":2,""probability"":0.0001},{""wins"":3,""probability"":0.0007},{""wins"":4,""probability"":0.0069},{""wins"":5,""probability"":0.0438},{""wins"":6,""probability"":0.1524},{""wins"":7,""probability"":0.2664},{""wins"":8,""probability"":0.2847},{""wins"":9,""probability"":0.1793},{""wins"":10,""probability"":0.0564},{""wins"":11,""probability"":0.0093}]"
LSU,SEC,10,20.7667,8.1308,6.2701,0.0938,0.2471,0.9725,"[{""wins"":3,""probability"":0.0001},{""wins"":4,""probability"":0.0032},{""wins"":5,""probability"":0.0242},{""wins"":6,""probability"":0.0845},{""wins"":7,""probability"":0.1959},{""wins"":8,""probability"":0.2888},{""wins"":9,""probability"":0.2528},{""wins"":10,""probability"":0.1227},{""wins"":11,""probability"":0.0278}]"
Alabama,SEC,11,19.9667,7.9768,6.0912,0.0705,0.1812,0.9652,"[{""wins"":2,""probability"":0.0002},{""wins"":3,""probability"":0.0007},{""wins"":4,""probability"":0.0056},{""wins"":5,""probability"":0.0283},{""wins"":6,""probability"":0.0965},{""wins"":7,""probability"":0.2056},{""wins"":8,""probability"":0.3051},{""wins"":9,""probability"":0.2446},{""wins"":10,""probability"":0.0974},{""wins"":11,""probability"":0.016}]"
Oklahoma,SEC,12,19.0,7.8092,5.39,0.0251,0.075,0.9561,"[{""wins"":3,""probability"":0.0012},{""wins"":4,""probability"":0.007},{""wins"":5,""probability"":0.0357},{""wins"":6,""probability"":0.124},{""wins"":7,""probability"":0.2423},{""wins"":8,""probability"":0.2805},{""wins"":9,""probability"":0.2005},{""wins"":10,""probability"":0.0883},{""wins"":11,""probability"":0.0185},{""wins"":12,""probability"":0.002}]"
USC,B1G,13,18.2333,8.3704,5.4206,0.0111,0.0454,0.9941,"[{""wins"":4,""probability"":0.0007},{""wins"":5,""probability"":0.0052},{""wins"":6,""probability"":0.0466},{""wins"":7,""probability"":0.1653},{""wins"":8,""probability"":0.3218},{""wins"":9,""probability"":0.3029},{""wins"":10,""probability"":0.1304},{""wins"":11,""probability"":0.0248},{""wins"":12,""probability"":0.0023}]"
Michigan,B1G,15,17.2667,8.1041,5.5679,0.0095,0.0426,0.9844,"[{""wins"":4,""probability"":0.0012},{""wins"":5,""probability"":0.0144},{""wins"":6,""probability"":0.0697},{""wins"":7,""probability"":0.2107},{""wins"":8,""probability"":0.3298},{""wins"":9,""probability"":0.2603},{""wins"":10,""probability"":0.1},{""wins"":11,""probability"":0.0137},{""wins"":12,""probability"":0.0002}]"
Tennessee,SEC,16,15.9667,6.742,4.9579,0.0131,0.0439,0.8136,"[{""wins"":1,""probability"":0.0001},{""wins"":2,""probability"":0.0011},{""wins"":3,""probability"":0.0082},{""wins"":4,""probability"":0.0427},{""wins"":5,""probability"":0.1343},{""wins"":6,""probability"":0.2406},{""wins"":7,""probability"":0.2789},{""wins"":8,""probability"":0.1947},{""wins"":9,""probability"":0.0763},{""wins"":10,""probability"":0.0215},{""wins"":11,""probability"":0.0016}]"
