snapshot_date,season,team,conference,book,win_total,over_odds,under_odds,source_url,notes
2026-07-17,2026,Miami-FL,,DraftKings,10.5,-110,-110,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Miami (FL) Hurricanes
2026-07-17,2026,Hawai'i Warriors,,DraftKings,7.5,120,-150,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Hawai'i Warriors
2026-07-17,2026,Indiana,,DraftKings,10.5,105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Indiana Hoosiers
2026-07-17,2026,Wisconsin,,DraftKings,6.5,-105,-115,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Wisconsin Badgers
2026-07-17,2026,Syracuse,,DraftKings,4.5,105,-125,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Syracuse Orange
2026-07-17,2026,Washington State,,DraftKings,5.5,134,-175,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Washington State Cougars
2026-07-17,2026,Rutgers,,DraftKings,5.5,125,-160,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Rutgers Scarlet Knights
2026-07-17,2026,South Carolina,,DraftKings,6.5,110,-130,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=South Carolina Gamecocks
2026-07-17,2026,Michigan,,DraftKings,8.5,140,-180,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Michigan Wolverines
2026-07-17,2026,Texas Tech,,DraftKings,10.5,-200,160,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Texas Tech Red Raiders
2026-07-17,2026,Oklahoma State,,DraftKings,6.5,134,-160,https://www.actionnetwork.com/ncaaf/futures,Action rendered table; book=DK OH; cell_index=7; pulled_at=2026-07-17T17:08:48.658198+00:00; team_raw=Oklahoma State Cowboys
