Rank	Team	Conference	Rating	W	L
1	Indiana	Big Ten	30.7	13	0
2	Ohio State	Big Ten	30.0	12	1
3	Notre Dame	Independent	27.0	10	2
4	Oregon	Big Ten	26.5	11	1
5	Texas Tech	Big 12	25.7	12	1
6	Georgia	SEC	22.5	12	1
7	Miami (FL)	ACC	22.0	10	2
8	Alabama	SEC	21.5	10	3
9	Utah	Big 12	21.1	10	2
10	Texas A&M	SEC	20.2	11	1
11	USC	Big Ten	19.2	9	3
12	Ole Miss	SEC	18.9	11	1
13	Oklahoma	SEC	18.1	10	2
14	Texas	SEC	18.0	9	3
15	Vanderbilt	SEC	17.8	10	2
16	Penn State	Big Ten	16.9	6	6
17	Iowa	Big Ten	16.4	8	4
18	Michigan	Big Ten	15.9	9	3
19	BYU	Big 12	15.8	11	2
20	Tennessee	SEC	14.9	8	4
21	Washington	Big Ten	14.6	8	4
22	Missouri	SEC	14.3	8	4
23	LSU	SEC	12.4	7	5
24	SMU	ACC	12.1	8	4
25	Auburn	SEC	12.0	5	7
26	USF	American	11.7	9	3
27	Arizona	Big 12	11.2	9	3
28	Illinois	Big Ten	11.0	8	4
29	Clemson	ACC	10.8	7	5
30	Florida State	ACC	10.8	5	7
31	Louisville	ACC	10.7	8	4
32	James Madison	Sun Belt	9.6	12	1
33	Florida	SEC	9.5	4	8
34	South Carolina	SEC	9.1	4	8
35	TCU	Big 12	9.0	8	4
36	Pitt	ACC	9.0	8	4
37	Iowa State	Big 12	9.0	8	4
38	Kansas State	Big 12	8.4	6	6
39	Georgia Tech	ACC	7.9	9	3
40	Arkansas	SEC	7.8	2	10
41	Nebraska	Big Ten	7.7	7	5
42	North Texas	American	7.6	11	2
43	Arizona State	Big 12	7.5	8	4
44	Virginia	ACC	7.5	10	3
45	Cincinnati	Big 12	6.7	7	5
46	Duke	ACC	5.9	8	5
47	Kansas	Big 12	5.5	5	7
48	Mississippi State	SEC	5.5	5	7
49	Kentucky	SEC	5.0	5	7
50	Boise State	Mountain West	4.9	9	4
51	Houston	Big 12	4.7	9	3
52	NC State	ACC	4.6	7	5
53	Baylor	Big 12	4.1	5	7
54	Tulane	American	3.7	11	2
55	Northwestern	Big Ten	3.6	6	6
56	Memphis	American	3.6	8	4
57	Toledo	MAC	3.5	8	4
58	Wisconsin	Big Ten	3.3	4	8
59	East Carolina	American	3.2	8	4
60	Old Dominion	Sun Belt	3.0	9	3
61	Rutgers	Big Ten	2.3	5	7
62	Minnesota	Big Ten	2.1	7	5
63	Michigan State	Big Ten	1.5	4	8
64	Wake Forest	ACC	1.3	8	4
65	Washington State	Pac-12	0.0	6	6
66	UCF	Big 12	0.0	5	7
67	San Diego State	Mountain West	-0.5	9	3
68	UNLV	Mountain West	-0.6	10	3
69	Navy	American	-0.6	9	2
70	UTSA	American	-0.6	6	6
71	Maryland	Big Ten	-1.3	4	8
72	UCLA	Big Ten	-1.5	3	9
73	Virginia Tech	ACC	-1.8	3	9
74	Colorado	Big 12	-2.6	3	9
75	UConn	Independent	-2.8	9	3
76	New Mexico	Mountain West	-3.2	9	3
77	California	ACC	-3.3	7	5
78	West Virginia	Big 12	-3.5	4	8
79	Utah State	Mountain West	-3.6	6	6
80	Texas State	Sun Belt	-3.6	6	6
81	Purdue	Big Ten	-3.9	2	10
82	Ohio	MAC	-4.5	8	4
83	Army	American	-4.6	6	5
84	Boston College	ACC	-4.8	2	10
85	Stanford	ACC	-4.9	4	8
86	Fresno State	Mountain West	-5.0	8	4
87	Hawaii	Mountain West	-5.7	8	4
88	Western Michigan	MAC	-6.1	9	4
89	North Carolina	ACC	-6.2	4	8
90	Louisiana Tech	CUSA	-6.7	7	5
91	Miami (Ohio)	MAC	-6.7	7	6
92	Kennesaw State	CUSA	-7.1	10	3
93	WKU	CUSA	-7.9	8	4
94	Marshall	Sun Belt	-8.0	5	7
95	Troy	Sun Belt	-8.0	8	5
96	Air Force	Mountain West	-8.1	4	8
97	Syracuse	ACC	-8.2	3	9
98	Southern Miss	Sun Belt	-9.0	7	5
99	Temple	American	-9.6	5	7
100	Liberty	CUSA	-10.4	4	8
101	FIU	CUSA	-10.9	7	5
102	Louisiana	Sun Belt	-11.2	6	6
103	Jacksonville State	CUSA	-11.2	8	5
104	South Alabama	Sun Belt	-11.2	4	8
105	Central Michigan	MAC	-11.5	7	5
106	Arkansas State	Sun Belt	-11.7	6	6
107	Wyoming	Mountain West	-11.8	4	8
108	Oregon State	Pac-12	-11.8	2	10
109	Oklahoma State	Big 12	-12.2	1	11
110	Georgia Southern	Sun Belt	-12.4	6	6
111	Missouri State	CUSA	-12.4	7	5
112	Florida Atlantic	American	-12.8	4	8
113	Appalachian State	Sun Belt	-13.4	5	7
114	Colorado State	Mountain West	-13.5	2	10
115	Buffalo	MAC	-13.6	5	7
116	San Jose State	Mountain West	-13.8	3	9
117	Bowling Green	MAC	-14.1	4	8
118	Delaware	CUSA	-14.3	6	6
119	Tulsa	American	-14.8	4	8
120	Nevada	Mountain West	-15.1	3	9
121	Eastern Michigan	MAC	-15.7	4	8
122	Coastal Carolina	Sun Belt	-16.1	6	6
123	UAB	American	-16.1	4	8
124	NIU	MAC	-16.2	3	9
125	Rice	American	-17.4	5	7
126	UTEP	CUSA	-17.9	2	10
127	New Mexico State	CUSA	-17.9	4	8
128	Middle Tennessee	CUSA	-18.9	3	9
129	Georgia State	Sun Belt	-19.5	1	11
130	Akron	MAC	-19.6	5	7
131	ULM	Sun Belt	-20.5	3	9
132	Kent State	MAC	-21.3	5	7
133	Ball State	MAC	-21.5	4	8
134	Charlotte	American	-22.7	1	11
135	Sam Houston	CUSA	-25.2	2	10
136	UMass	MAC	-32.8	0	12
