rank,team,rating,v_1_10,v_11_25,v_26_40,hi,lo,last
1,Ohio St (0-0),32.3,0-0,0-0,0-0,1,1,1
2,Oregon (0-0),29.5,0-0,0-0,0-0,2,2,2
3,Notre Dame (0-0),29.1,0-0,0-0,0-0,3,3,3
4,Indiana (0-0),29.0,0-0,0-0,0-0,4,4,4
5,Georgia (0-0),28.4,0-0,0-0,0-0,5,5,5
6,Texas (0-0),28.4,0-0,0-0,0-0,6,6,6
7,Miami (0-0),25.3,0-0,0-0,0-0,7,7,7
8,Texas Tech (0-0),23.8,0-0,0-0,0-0,8,8,8
9,Texas A&M (0-0),22.7,0-0,0-0,0-0,9,9,9
10,Mississippi (0-0),22.3,0-0,0-0,0-0,10,10,10
11,LSU (0-0),22.1,0-0,0-0,0-0,11,11,11
12,Oklahoma (0-0),22.0,0-0,0-0,0-0,12,12,12
13,Alabama (0-0),21.6,0-0,0-0,0-0,13,13,13
14,USC (0-0),20.9,0-0,0-0,0-0,14,14,14
15,Michigan (0-0),19.8,0-0,0-0,0-0,15,15,15
16,Florida (0-0),17.4,0-0,0-0,0-0,16,16,16
17,Tennessee (0-0),16.8,0-0,0-0,0-0,17,17,17
18,Washington (0-0),16.4,0-0,0-0,0-0,18,18,18
19,Penn St (0-0),16.4,0-0,0-0,0-0,19,19,19
20,Missouri (0-0),15.4,0-0,0-0,0-0,20,20,20
21,BYU (0-0),14.6,0-0,0-0,0-0,21,21,21
22,SMU (0-0),14.4,0-0,0-0,0-0,22,22,22
23,Iowa (0-0),13.9,0-0,0-0,0-0,23,23,23
24,Louisville (0-0),13.7,0-0,0-0,0-0,24,24,24
25,Auburn (0-0),13.4,0-0,0-0,0-0,25,25,25
26,Utah (0-0),12.8,0-0,0-0,0-0,26,26,26
27,South Carolina (0-0),12.2,0-0,0-0,0-0,27,27,27
28,Clemson (0-0),11.6,0-0,0-0,0-0,28,28,28
29,Houston (0-0),10.6,0-0,0-0,0-0,29,29,29
30,Kansas St (0-0),10.2,0-0,0-0,0-0,30,30,30
31,Pittsburgh (0-0),10.0,0-0,0-0,0-0,31,31,31
32,Vanderbilt (0-0),9.8,0-0,0-0,0-0,32,32,32
33,Illinois (0-0),9.2,0-0,0-0,0-0,33,33,33
34,Virginia (0-0),9.0,0-0,0-0,0-0,34,34,34
35,Kentucky (0-0),8.9,0-0,0-0,0-0,35,35,35
36,Arizona St (0-0),8.7,0-0,0-0,0-0,36,36,36
37,Arizona (0-0),8.7,0-0,0-0,0-0,37,37,37
38,TCU (0-0),8.4,0-0,0-0,0-0,38,38,38
39,Wisconsin (0-0),8.4,0-0,0-0,0-0,39,39,39
40,UCLA (0-0),8.2,0-0,0-0,0-0,40,40,40
41,Virginia Tech (0-0),8.2,0-0,0-0,0-0,41,41,41
42,Minnesota (0-0),8.1,0-0,0-0,0-0,42,42,42
43,Nebraska (0-0),8.0,0-0,0-0,0-0,43,43,43
44,Florida St (0-0),7.3,0-0,0-0,0-0,44,44,44
45,Oklahoma St (0-0),6.7,0-0,0-0,0-0,45,45,45
46,Boise St (0-0),6.7,0-0,0-0,0-0,46,46,46
47,Mississippi St (0-0),6.4,0-0,0-0,0-0,47,47,47
48,NC State (0-0),6.2,0-0,0-0,0-0,48,48,48
49,Georgia Tech (0-0),5.8,0-0,0-0,0-0,49,49,49
50,Kansas (0-0),5.4,0-0,0-0,0-0,50,50,50
51,Northwestern (0-0),4.8,0-0,0-0,0-0,51,51,51
52,Arkansas (0-0),4.7,0-0,0-0,0-0,52,52,52
53,Baylor (0-0),4.6,0-0,0-0,0-0,53,53,53
54,West Virginia (0-0),4.5,0-0,0-0,0-0,54,54,54
55,California (0-0),4.0,0-0,0-0,0-0,55,55,55
56,UCF (0-0),3.3,0-0,0-0,0-0,56,56,56
57,Maryland (0-0),2.9,0-0,0-0,0-0,57,57,57
58,Wake Forest (0-0),2.4,0-0,0-0,0-0,58,58,58
59,North Carolina (0-0),2.1,0-0,0-0,0-0,59,59,59
60,Fresno St (0-0),2.0,0-0,0-0,0-0,60,60,60
61,Duke (0-0),1.9,0-0,0-0,0-0,61,61,61
62,San Diego St (0-0),1.1,0-0,0-0,0-0,62,62,62
63,Navy (0-0),0.9,0-0,0-0,0-0,63,63,63
64,Rutgers (0-0),0.8,0-0,0-0,0-0,64,64,64
65,Cincinnati (0-0),0.3,0-0,0-0,0-0,65,65,65
66,Iowa St (0-0),0.0,0-0,0-0,0-0,66,66,66
67,Syracuse (0-0),-0.2,0-0,0-0,0-0,67,67,67
68,Michigan St (0-0),-0.3,0-0,0-0,0-0,68,68,68
69,UNLV (0-0),-0.8,0-0,0-0,0-0,69,69,69
70,Army (0-0),-1.2,0-0,0-0,0-0,70,70,70
71,Colorado (0-0),-1.4,0-0,0-0,0-0,71,71,71
72,UTSA (0-0),-1.5,0-0,0-0,0-0,72,72,72
73,J Madison (0-0),-1.5,0-0,0-0,0-0,73,73,73
74,Memphis (0-0),-1.5,0-0,0-0,0-0,74,74,74
75,Washington St (0-0),-1.6,0-0,0-0,0-0,75,75,75
76,Texas St (0-0),-2.0,0-0,0-0,0-0,76,76,76
77,New Mexico (0-0),-2.1,0-0,0-0,0-0,77,77,77
78,Purdue (0-0),-2.1,0-0,0-0,0-0,78,78,78
79,S Florida (0-0),-2.4,0-0,0-0,0-0,79,79,79
80,North Dakota State (0-0),-2.8,0-0,0-0,0-0,80,80,80
81,Tulane (0-0),-2.8,0-0,0-0,0-0,81,81,81
82,Stanford (0-0),-3.0,0-0,0-0,0-0,82,82,82
83,E Carolina (0-0),-3.7,0-0,0-0,0-0,83,83,83
84,Utah St (0-0),-3.8,0-0,0-0,0-0,84,84,84
85,Old Dominion (0-0),-4.6,0-0,0-0,0-0,85,85,85
86,Boston College (0-0),-6.2,0-0,0-0,0-0,86,86,86
87,Hawai'i (0-0),-6.3,0-0,0-0,0-0,87,87,87
88,Air Force (0-0),-7.4,0-0,0-0,0-0,88,88,88
89,Troy (0-0),-7.7,0-0,0-0,0-0,89,89,89
90,W Michigan (0-0),-8.3,0-0,0-0,0-0,90,90,90
91,W Kentucky (0-0),-8.4,0-0,0-0,0-0,91,91,91
92,Liberty (0-0),-8.5,0-0,0-0,0-0,92,92,92
93,Toledo (0-0),-8.6,0-0,0-0,0-0,93,93,93
94,Louisiana Tech (0-0),-8.6,0-0,0-0,0-0,94,94,94
95,N Texas (0-0),-8.7,0-0,0-0,0-0,95,95,95
96,Florida Atlantic (0-0),-8.7,0-0,0-0,0-0,96,96,96
97,Marshall (0-0),-8.8,0-0,0-0,0-0,97,97,97
98,Oregon St (0-0),-10.0,0-0,0-0,0-0,98,98,98
99,Louisiana (0-0),-10.3,0-0,0-0,0-0,99,99,99
100,Tulsa (0-0),-10.3,0-0,0-0,0-0,100,100,100
101,Miami OH (0-0),-10.6,0-0,0-0,0-0,101,101,101
102,Colorado St (0-0),-10.7,0-0,0-0,0-0,102,102,102
103,Jacksonville St (0-0),-10.7,0-0,0-0,0-0,103,103,103
104,S Alabama (0-0),-10.8,0-0,0-0,0-0,104,104,104
105,Ohio (0-0),-10.9,0-0,0-0,0-0,105,105,105
106,Temple (0-0),-10.9,0-0,0-0,0-0,106,106,106
107,UConn (0-0),-10.9,0-0,0-0,0-0,107,107,107
108,App State (0-0),-10.9,0-0,0-0,0-0,108,108,108
109,Arkansas St (0-0),-11.0,0-0,0-0,0-0,109,109,109
110,Georgia So (0-0),-11.7,0-0,0-0,0-0,110,110,110
111,Delaware (0-0),-12.5,0-0,0-0,0-0,111,111,111
112,C Michigan (0-0),-12.6,0-0,0-0,0-0,112,112,112
113,Wyoming (0-0),-13.3,0-0,0-0,0-0,113,113,113
114,Coastal Car (0-0),-13.8,0-0,0-0,0-0,114,114,114
115,E Michigan (0-0),-13.9,0-0,0-0,0-0,115,115,115
116,Kennesaw St (0-0),-14.2,0-0,0-0,0-0,116,116,116
117,San Jose St (0-0),-14.9,0-0,0-0,0-0,117,117,117
118,Florida Intl (0-0),-15.0,0-0,0-0,0-0,118,118,118
119,Rice (0-0),-15.2,0-0,0-0,0-0,119,119,119
120,Buffalo (0-0),-16.5,0-0,0-0,0-0,120,120,120
121,Bowling Green (0-0),-17.7,0-0,0-0,0-0,121,121,121
122,Southern Miss (0-0),-17.7,0-0,0-0,0-0,122,122,122
123,Akron (0-0),-17.9,0-0,0-0,0-0,123,123,123
124,Nevada (0-0),-18.1,0-0,0-0,0-0,124,124,124
125,UAB (0-0),-18.2,0-0,0-0,0-0,125,125,125
126,New Mexico St (0-0),-18.4,0-0,0-0,0-0,126,126,126
127,Missouri St (0-0),-18.9,0-0,0-0,0-0,127,127,127
128,Sacramento State (0-0),-19.2,0-0,0-0,0-0,128,128,128
129,Georgia St (0-0),-19.4,0-0,0-0,0-0,129,129,129
130,UL Monroe (0-0),-19.8,0-0,0-0,0-0,130,130,130
131,N Illinois (0-0),-20.6,0-0,0-0,0-0,131,131,131
132,Middle Tenn (0-0),-20.9,0-0,0-0,0-0,132,132,132
133,UTEP (0-0),-21.0,0-0,0-0,0-0,133,133,133
134,Kent St (0-0),-22.1,0-0,0-0,0-0,134,134,134
135,Ball St (0-0),-23.0,0-0,0-0,0-0,135,135,135
136,Charlotte (0-0),-23.3,0-0,0-0,0-0,136,136,136
