season_year,event_id,starts_at,away_team,home_team,away_team_id,home_team_id,completed,odds_present,odds_available,away_final_points,home_final_points,home_final_margin,final_total_points,away_1h_points,home_1h_points,home_1h_margin,one_h_total_points,away_2h_points_incl_ot,home_2h_points_incl_ot,home_2h_margin_incl_ot,two_h_total_points_incl_ot,home_game_spread,home_game_spread_book,home_game_spread_price,away_game_spread,away_game_spread_book,away_game_spread_price,game_total,game_over_book,game_over_price,game_under_price,home_game_ats_result,game_total_result,home_1h_spread,home_1h_spread_book,home_1h_spread_price,away_1h_spread,away_1h_spread_book,away_1h_spread_price,one_h_total,one_h_over_book,one_h_over_price,one_h_under_price,home_1h_ats_result,one_h_total_result,home_2h_spread,home_2h_spread_book,home_2h_spread_price,away_2h_spread,away_2h_spread_book,away_2h_spread_price,two_h_total,two_h_over_book,two_h_over_price,two_h_under_price,home_2h_ats_result,two_h_total_result,away_team_clean,home_team_clean,away_tz,home_tz,tz_delta,tz_abs,travel_direction,away_1h_margin,traveler_1h_ats_margin,traveler_1h_ats_result,one_h_total_margin,one_h_total_result_calc,traveler_role,conference_family_2024,in_2024_alignment_conf_game,involves_western_realignment_team
2024,czWsIh774DLyGiLjJe9I,2024-09-14T23:30:00.000Z,Indiana,UCLA,INDIANA_NCAAF,UCLA_NCAAF,True,True,False,42,13,-29,55,21,7,-14,28,21,6,-15,27,28.5,sgo_book,220,-28.5,sgo_book,-335,56.0,sgo_book,129,-176,L,U,2.5,sgo_book,-105.0,-2.5,sgo_book,-119.0,23.5,sgo_book,-108.0,-114.0,L,O,0.5,sgo_book,-115.0,-0.5,sgo_book,-105.0,22.5,sgo_book,-110.0,-110.0,L,O,Indiana,UCLA,-5.0,-8.0,-3.0,3.0,Westbound,14,11.5,W,4.5,O,Favorite,Big Ten 2024 alignment,True,True
2024,G6SOeqOdUl4PQ0o8HrUf,2024-09-20T23:30:00.000Z,Stanford,Syracuse,STANFORD_NCAAF,SYRACUSE_NCAAF,True,True,False,26,24,-2,50,13,10,-3,23,13,14,1,27,1.5,sgo_book,242,-1.5,sgo_book,-345,47.5,sgo_book,263,-371,L,O,-5.5,sgo_book,-111.0,5.5,sgo_book,-113.0,28.5,sgo_book,-105.0,-120.0,L,U,-5.5,sgo_book,-110.0,5.5,sgo_book,-110.0,27.5,sgo_book,-105.0,-115.0,L,U,Stanford,Syracuse,-8.0,-5.0,3.0,3.0,Eastbound,3,8.5,W,-5.5,U,Favorite,ACC 2024 alignment,True,True
2024,AJLUjwRQC4R8P3bkKuEk,2024-09-21T19:30:00.000Z,USC,Michigan,USC_NCAAF,MICHIGAN_NCAAF,True,True,False,24,27,3,51,3,14,11,17,21,13,-8,34,3.5,sgo_book,240,-3.5,sgo_book,-301,44.5,sgo_book,146,-177,W,O,2.5,sgo_book,-105.0,-2.5,sgo_book,-120.0,21.5,sgo_book,-103.0,-125.0,W,U,2.5,sgo_book,-106.0,-2.5,sgo_book,-114.0,21.5,sgo_book,-115.0,-105.0,L,O,USC,Michigan,-8.0,-5.0,3.0,3.0,Eastbound,-11,-13.5,L,-4.5,U,Favorite,Big Ten 2024 alignment,True,True
2024,YlE6rnKUYcf00gcRw9KV,2024-09-21T23:00:00.000Z,California,Florida State,CALIFORNIA_NCAAF,FLORIDA_STATE_NCAAF,True,True,False,9,14,5,23,6,7,1,13,3,7,4,10,-4.5,sgo_book,-560,4.5,sgo_book,360,23.5,sgo_book,100,-130,W,U,-0.5,sgo_book,-110.0,0.5,sgo_book,-110.0,21.5,sgo_book,-110.0,-111.0,W,U,-0.5,sgo_book,110.0,0.5,sgo_book,-130.0,22.5,sgo_book,-110.0,-110.0,W,U,Cal,Florida State,-8.0,-5.0,3.0,3.0,Eastbound,-1,-0.5,L,-8.5,U,Underdog,ACC 2024 alignment,True,True
2024,gBfoaRnhFUxzknCT6wPL,2024-09-28T00:00:00.000Z,Washington,Rutgers,WASHINGTON_NCAAF,RUTGERS_NCAAF,True,True,False,18,21,3,39,3,14,11,17,15,7,-8,22,-2.5,sgo_book,-3000,2.5,sgo_book,1000,33.5,sgo_book,-114,-114,W,O,-0.5,sgo_book,-115.0,0.5,sgo_book,-110.0,22.5,sgo_book,-110.0,-115.0,W,U,3.0,sgo_book,-105.0,-3.0,sgo_book,-115.0,22.5,sgo_book,-102.0,-119.0,L,U,Washington,Rutgers,-8.0,-5.0,3.0,3.0,Eastbound,-11,-10.5,L,-5.5,U,Underdog,Big Ten 2024 alignment,True,True
2024,Aevdvn8OBZoNWmIH89Hc,2024-09-28T23:00:00.000Z,Stanford,Clemson,STANFORD_NCAAF,CLEMSON_NCAAF,True,True,False,14,40,26,54,7,17,10,24,7,23,16,30,-26.5,sgo_book,105,26.5,sgo_book,-138,53.5,sgo_book,-156,116,L,O,-12.5,sgo_book,-113.0,12.5,sgo_book,-109.0,30.5,sgo_book,-110.0,-115.0,L,U,-10.5,sgo_book,101.0,10.5,sgo_book,-113.0,25.5,sgo_book,-115.0,-115.0,W,O,Stanford,Clemson,-8.0,-5.0,3.0,3.0,Eastbound,-10,2.5,W,-6.5,U,Underdog,ACC 2024 alignment,True,True
2024,pY4wBua29InWZGl4p4Wq,2024-10-05T01:00:00.000Z,Michigan State,Oregon,MICHIGAN_STATE_NCAAF,OREGON_NCAAF,True,True,False,10,31,21,41,0,21,21,21,10,10,0,20,-23.5,sgo_book,155,23.5,sgo_book,-225,40.5,sgo_book,-127,100,L,O,-14.5,sgo_book,-105.0,14.5,sgo_book,-125.0,17.5,sgo_book,100.0,-130.0,W,O,-2.5,sgo_book,-270.0,2.5,sgo_book,200.0,20.5,sgo_book,-110.0,-120.0,L,U,Michigan State,Oregon,-5.0,-8.0,-3.0,3.0,Westbound,-21,-6.5,L,3.5,O,Underdog,Big Ten 2024 alignment,True,True
2024,fLGXiQoLLOGrMFa7AZwU,2024-10-05T16:00:00.000Z,UCLA,Penn State,UCLA_NCAAF,PENN_STATE_NCAAF,True,True,False,11,27,16,38,3,14,11,17,8,13,5,21,-23.5,sgo_book,-143,23.5,sgo_book,108,31.5,sgo_book,105,-139,L,O,-6.5,sgo_book,-175.0,6.5,sgo_book,135.0,14.5,sgo_book,-115.0,-115.0,W,O,-13.5,sgo_book,240.0,13.5,sgo_book,-330.0,15.5,sgo_book,-120.0,-110.0,L,O,UCLA,Penn State,-8.0,-5.0,3.0,3.0,Eastbound,-11,-4.5,L,2.5,O,Underdog,Big Ten 2024 alignment,True,True
2024,oQ8MTF4AXtqIEDtZK9Yi,2024-10-05T19:30:00.000Z,Virginia Tech,Stanford,VIRGINIA_TECH_NCAAF,STANFORD_NCAAF,True,True,False,31,7,-24,38,14,0,-14,14,17,7,-10,24,21.5,sgo_book,-226,-21.5,sgo_book,169,49.0,sgo_book,-110,-110,L,U,4.5,sgo_book,-121.0,-4.5,sgo_book,-108.0,24.5,sgo_book,-103.0,-129.0,L,U,6.5,sgo_book,-110.0,-6.5,sgo_book,-110.0,24.5,sgo_book,102.0,-122.0,L,U,Virginia Tech,Stanford,-5.0,-8.0,-3.0,3.0,Westbound,14,9.5,W,-10.5,U,Favorite,ACC 2024 alignment,True,True
2024,D0kE39pwTlQGAl5sjpUt,2024-10-05T23:30:00.000Z,Michigan,Washington,MICHIGAN_NCAAF,WASHINGTON_NCAAF,True,True,False,17,27,10,44,10,14,4,24,7,13,6,20,-9.5,sgo_book,127,9.5,sgo_book,-167,43.5,sgo_book,107,-141,W,O,-7.5,sgo_book,110.0,7.5,sgo_book,-140.0,24.5,sgo_book,110.0,-140.0,L,U,-2.5,sgo_book,-315.0,2.5,sgo_book,230.0,20.5,sgo_book,-110.0,-120.0,W,U,Michigan,Washington,-5.0,-8.0,-3.0,3.0,Westbound,-4,3.5,W,-0.5,U,Underdog,Big Ten 2024 alignment,True,True
2024,DdY2aBYBamUtezWx6KkQ,2024-10-12T19:30:00.000Z,California,Pittsburgh,CALIFORNIA_NCAAF,PITTSBURGH_NCAAF,True,True,False,15,17,2,32,9,17,8,26,6,0,-6,6,-1.5,sgo_book,-167,1.5,sgo_book,121,38.5,sgo_book,-125,-119,W,U,-8.5,sgo_book,124.0,8.5,sgo_book,-160.0,32.5,sgo_book,-115.0,-115.0,L,U,7.5,sgo_book,-125.0,-7.5,sgo_book,-105.0,12.5,sgo_book,-130.0,100.0,W,U,Cal,Pittsburgh,-8.0,-5.0,3.0,3.0,Eastbound,-8,0.5,W,-6.5,U,Underdog,ACC 2024 alignment,True,True
2024,CuPcs74NoTrkD942Rk1K,2024-10-12T19:30:00.000Z,Penn State,USC,PENN_STATE_NCAAF,USC_NCAAF,True,True,False,33,30,-3,63,6,20,14,26,27,10,-17,37,5.5,sgo_book,-106,-5.5,sgo_book,-123,53.5,sgo_book,113,-136,W,O,-10.5,sgo_book,-115.0,10.5,sgo_book,-115.0,27.5,sgo_book,-115.0,-115.0,W,U,11.5,sgo_book,-166.0,-11.5,sgo_book,130.0,33.5,sgo_book,100.0,-130.0,L,O,Penn State,USC,-5.0,-8.0,-3.0,3.0,Westbound,-14,-3.5,L,-1.5,U,Favorite,Big Ten 2024 alignment,True,True
2024,luR1sulm4OmwblkV61AF,2024-10-12T23:30:00.000Z,Ohio State,Oregon,OHIO_STATE_NCAAF,OREGON_NCAAF,True,True,False,31,32,1,63,21,22,1,43,10,10,0,20,1.5,sgo_book,-110,-1.5,sgo_book,-121,65.5,sgo_book,-130,-101,W,U,5.5,sgo_book,-115.0,-5.5,sgo_book,-115.0,35.5,sgo_book,-140.0,110.0,W,O,2.5,sgo_book,-105.0,-2.5,sgo_book,-125.0,23.5,sgo_book,105.0,-135.0,W,U,Ohio State,Oregon,-5.0,-8.0,-3.0,3.0,Westbound,-1,-6.5,L,7.5,O,Favorite,Big Ten 2024 alignment,True,True
2024,N5st5Y8Pvt9GIdR4wyf2,2024-10-19T00:00:00.000Z,Oregon,Purdue,OREGON_NCAAF,PURDUE_NCAAF,True,True,False,35,0,-35,35,21,0,-21,21,14,0,-14,14,34.5,sgo_book,293,-34.5,sgo_book,-377,39.0,sgo_book,-108,-121,L,U,17.5,sgo_book,-110.0,-17.5,sgo_book,-118.0,32.5,sgo_book,-117.0,-113.0,L,U,11.5,sgo_book,-108.0,-11.5,sgo_book,-112.0,27.5,sgo_book,-115.0,-105.0,L,U,Oregon,Purdue,-8.0,-5.0,3.0,3.0,Eastbound,21,3.5,W,-11.5,U,Favorite,Big Ten 2024 alignment,True,True
2024,WVXHYDbNBLtSyuindCG3,2024-10-19T16:00:00.000Z,UCLA,Rutgers,UCLA_NCAAF,RUTGERS_NCAAF,True,True,False,35,32,-3,67,21,10,-11,31,14,22,8,36,7.5,sgo_book,-135,-7.5,sgo_book,105,66.5,sgo_book,-136,106,W,O,1.5,sgo_book,-144.0,-1.5,sgo_book,108.0,19.5,sgo_book,-120.0,-110.0,L,O,1.5,sgo_book,-118.0,-1.5,sgo_book,-115.0,31.5,sgo_book,-104.0,-132.0,W,O,UCLA,Rutgers,-8.0,-5.0,3.0,3.0,Eastbound,11,9.5,W,11.5,O,Favorite,Big Ten 2024 alignment,True,True
2024,at72GWSidiRWxstBXyxl,2024-10-19T19:30:00.000Z,NC State,California,NC_STATE_NCAAF,CALIFORNIA_NCAAF,True,True,False,24,23,-1,47,10,13,3,23,14,10,-4,24,-4.5,sgo_book,135,4.5,sgo_book,-176,52.5,sgo_book,-130,100,L,U,0.5,sgo_book,-135.0,-0.5,sgo_book,105.0,20.5,sgo_book,130.0,-166.0,W,O,-4.5,sgo_book,-102.0,4.5,sgo_book,-118.0,22.5,sgo_book,-110.0,-110.0,L,O,NC State,Cal,-5.0,-8.0,-3.0,3.0,Westbound,-3,-3.5,L,2.5,O,Underdog,ACC 2024 alignment,True,True
2024,cJRHQjytCDiwBiejfRRz,2024-10-19T20:00:00.000Z,USC,Maryland,USC_NCAAF,MARYLAND_NCAAF,True,True,False,28,29,1,57,21,7,-14,28,7,22,15,29,6.5,sgo_book,-160,-6.5,sgo_book,120,56.5,sgo_book,-135,105,W,O,6.5,sgo_book,120.0,-6.5,sgo_book,-154.0,27.5,sgo_book,-135.0,105.0,L,O,-8.5,sgo_book,145.0,8.5,sgo_book,-188.0,28.5,sgo_book,-140.0,110.0,W,O,USC,Maryland,-8.0,-5.0,3.0,3.0,Eastbound,14,7.5,W,0.5,O,Favorite,Big Ten 2024 alignment,True,True
2024,jQcaMBs3ssan716EgE41,2024-10-26T03:00:00.000Z,Rutgers,USC,RUTGERS_NCAAF,USC_NCAAF,True,True,False,20,42,22,62,12,28,16,40,8,14,6,22,-22.5,sgo_book,370,22.5,sgo_book,-590,68.5,sgo_book,-122,-115,L,U,-8.5,sgo_book,-117.0,8.5,sgo_book,-112.0,29.5,sgo_book,-113.0,-115.0,W,O,-6.5,sgo_book,-112.0,6.5,sgo_book,-108.0,27.5,sgo_book,-105.0,-115.0,L,U,Rutgers,USC,-5.0,-8.0,-3.0,3.0,Westbound,-16,-7.5,L,10.5,O,Underdog,Big Ten 2024 alignment,True,True
