bucket,games,traveler_ats,traveler_ats_win_pct,avg_traveler_ats_margin,traveler_fav_ats,traveler_fav_ats_win_pct,avg_traveler_fav_ats_margin,traveler_dog_ats,traveler_dog_ats_win_pct,avg_traveler_dog_ats_margin,ou_record,over_pct,avg_total_margin
All known TZ road games,9038,4468-4387-183,50.5,0.14,1685-1652-66,50.5,0.41,2778-2733-117,50.4,-0.03,3066 O / 3185 U / 82 P,49.0,0.24
Away travels 0 TZ,5675,2828-2741-106,50.8,0.18,1121-1031-44,52.1,0.92,1704-1709-62,49.9,-0.28,1921 O / 1974 U / 46 P,49.3,0.35
Away travels 1 TZ,2878,1407-1400-71,50.1,0.2,493-528-21,48.3,-0.25,912-871-50,51.1,0.45,983 O / 1022 U / 28 P,49.0,0.11
Away travels 2 TZ,316,154-158-4,49.4,-0.42,49-69-0,41.5,-2.65,105-89-4,54.1,0.9,98 O / 124 U / 6 P,44.1,-1.08
Away travels 3+ TZ,169,79-88-2,47.3,-1.41,22-24-1,47.8,-1.02,57-64-1,47.1,-1.55,64 O / 65 U / 2 P,49.6,1.19
3+ TZ all,169,79-88-2,47.3,-1.41,22-24-1,47.8,-1.02,57-64-1,47.1,-1.55,64 O / 65 U / 2 P,49.6,1.19
3+ TZ eastbound,87,38-49-0,43.7,-1.53,7-10-0,41.2,-1.71,31-39-0,44.3,-1.49,26 O / 40 U / 1 P,39.4,0.02
3+ TZ westbound,82,41-39-2,51.2,-1.27,15-14-1,51.7,-0.63,26-25-1,51.0,-1.64,38 O / 25 U / 1 P,60.3,2.41
3+ TZ traveler favorite,47,22-24-1,47.8,-1.02,22-24-1,47.8,-1.02,,,,24 O / 16 U / 0 P,60.0,2.58
3+ TZ traveler underdog,122,57-64-1,47.1,-1.55,,,,57-64-1,47.1,-1.55,40 O / 49 U / 2 P,44.9,0.58
