season_year,starts_at,away_team,home_team,away_tz,home_tz,tz_delta,tz_abs,travel_direction,travel_bucket,away_game_spread,traveler_role,away_final_margin,traveler_ats_margin,traveler_ats_result,game_total,final_total_points,game_total_margin,game_total_result_calc,away_1h_spread,traveler_1h_ats_margin,traveler_1h_ats_result,one_h_total,one_h_total_points,one_h_total_margin,one_h_total_result_calc
2024,2024-08-24T16:00:00.000Z,Florida State,Georgia Tech,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,3.5,Underdog,-3,0.5,W,49.5,45,-4.5,U,-6.5,-6.5,L,29.0,28,-1.0,U
2024,2024-08-24T20:00:00.000Z,Montana State Bobcats,New Mexico,-7.0,-7.0,0.0,0.0,Same/no major,0 TZ,-13.5,Favorite,4,-9.5,L,54.5,66,11.5,O,-7.0,-17.0,L,27.5,38,10.5,O
2024,2024-08-25T00:00:00.000Z,SMU,Nevada,-6.0,-8.0,-2.0,2.0,Westbound,2 TZ,-3.5,Favorite,5,1.5,W,49.5,53,3.5,O,-17.5,-24.5,L,30.0,27,-3.0,U
2024,2024-08-29T23:30:00.000Z,Arkansas-Pine Bluff,Arkansas,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,66.5,Underdog,-70,-3.5,L,68.5,70,1.5,O,31.5,-17.5,L,34.5,49,14.5,O
2024,2024-08-30T01:00:00.000Z,North Carolina,Minnesota,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,1.5,Underdog,2,3.5,W,35.5,36,0.5,O,0.5,-6.5,L,20.5,21,0.5,O
2024,2024-08-30T23:00:00.000Z,Temple,Oklahoma,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,48.5,Underdog,-48,0.5,W,53.5,54,0.5,O,27.5,-6.5,L,34.0,34,0.0,P
2024,2024-08-31T01:00:00.000Z,Western Michigan,Wisconsin,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,13.5,Underdog,-14,-0.5,L,43.5,42,-1.5,U,3.5,0.5,W,16.5,17,0.5,O
2024,2024-08-31T02:30:00.000Z,TCU,Stanford,-6.0,-8.0,-2.0,2.0,Westbound,2 TZ,-9.5,Favorite,7,-2.5,L,60.5,61,0.5,O,-4.5,-11.5,L,30.5,27,-3.5,U
2024,2024-08-31T16:00:00.000Z,Clemson,Georgia ,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,28.5,Underdog,-31,-2.5,L,38.5,37,-1.5,U,6.5,0.5,W,9.5,6,-3.5,U
2024,2024-08-31T16:00:00.000Z,Kent State,Pittsburgh,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,28.5,Underdog,-31,-2.5,L,79.5,79,-0.5,U,17.5,3.5,W,48.5,42,-6.5,U
2024,2024-08-31T16:00:00.000Z,Penn State,West Virginia,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-22.5,Favorite,22,-0.5,L,48.5,46,-2.5,U,-9.5,4.5,W,19.5,26,6.5,O
2024,2024-08-31T16:00:00.000Z,UConn,Maryland,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,40.5,Underdog,-43,-2.5,L,53.5,57,3.5,O,18.5,-4.5,L,20.5,23,2.5,O
2024,2024-08-31T16:00:00.000Z,Virginia Tech,Vanderbilt,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,-6.5,Favorite,-7,-13.5,L,49.5,61,11.5,O,13.5,-0.5,L,23.5,20,-3.5,U
2024,2024-08-31T19:30:00.000Z,Akron,Ohio State,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,39.5,Underdog,-46,-6.5,L,52.5,58,5.5,O,17.5,3.5,W,26.5,20,-6.5,U
2024,2024-08-31T19:30:00.000Z,Colorado State,Texas,-7.0,-6.0,1.0,1.0,Eastbound,1 TZ,52.5,Underdog,-52,0.5,W,52.5,52,-0.5,U,23.5,-7.5,L,24.5,31,6.5,O
2024,2024-08-31T19:30:00.000Z,Eastern Michigan,UMass,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-20.5,Favorite,14,-6.5,L,44.5,42,-2.5,U,0.5,14.5,W,25.5,14,-11.5,U
2024,2024-08-31T19:30:00.000Z,Miami (OH),Northwestern,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,9.5,Underdog,-7,2.5,W,22.5,19,-3.5,U,2.5,2.5,W,20.0,6,-14.0,U
2024,2024-08-31T19:30:00.000Z,Ohio,Syracuse,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,14.5,Underdog,-16,-1.5,L,60.5,60,-0.5,U,7.5,-0.5,L,20.5,26,5.5,O
2024,2024-08-31T19:30:00.000Z,UTEP,Nebraska,-7.0,-6.0,1.0,1.0,Eastbound,1 TZ,33.5,Underdog,-33,0.5,W,50.5,47,-3.5,U,15.5,-7.5,L,24.5,37,12.5,O
2024,2024-08-31T19:30:00.000Z,Western Illinois,Northern Illinois,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,39.5,Underdog,-39,0.5,W,71.5,69,-2.5,U,21.0,-10.0,L,30.0,37,7.0,O
2024,2024-08-31T20:15:00.000Z,Old Dominion,South Carolina,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,3.5,Underdog,-4,-0.5,L,44.5,42,-2.5,U,11.5,5.5,W,25.5,20,-5.5,U
2024,2024-08-31T21:00:00.000Z,North Texas,South Alabama,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,-13.5,Favorite,14,0.5,W,91.5,90,-1.5,U,3.0,-2.0,L,31.0,33,2.0,O
2024,2024-08-31T23:00:00.000Z,Bethune-Cookman,South Florida,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,44.5,Underdog,-45,-0.5,L,52.5,51,-1.5,U,27.0,-1.0,L,34.0,34,0.0,P
2024,2024-08-31T23:00:00.000Z,Nevada,Troy,-8.0,-6.0,2.0,2.0,Eastbound,2 TZ,-1.5,Favorite,2,0.5,W,51.5,54,2.5,O,6.0,-2.0,L,23.0,20,-3.0,U
2024,2024-08-31T23:00:00.000Z,UNLV,Houston,-8.0,-6.0,2.0,2.0,Eastbound,2 TZ,-20.5,Favorite,20,-0.5,L,30.5,34,3.5,O,-17.0,-3.0,L,21.0,14,-7.0,U
2024,2024-08-31T23:30:00.000Z,Notre Dame,Texas A&M,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,-2.5,Favorite,10,7.5,W,36.5,36,-0.5,U,-3.5,-3.5,L,18.5,12,-6.5,U
2024,2024-08-31T23:30:00.000Z,UCLA,Hawaii,-8.0,-10.0,-2.0,2.0,Westbound,2 TZ,-3.5,Favorite,3,-0.5,L,31.5,29,-2.5,U,4.5,-5.5,L,12.5,10,-2.5,U
2024,2024-08-31T23:45:00.000Z,Southern Miss,Kentucky,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,38.5,Underdog,-31,7.5,W,48.0,31,-17.0,U,16.5,-7.5,L,18.5,24,5.5,O
2024,2024-09-01T00:00:00.000Z,James Madison,Charlotte,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-19.5,Favorite,23,3.5,W,36.5,37,0.5,O,-4.0,-2.0,L,23.5,16,-7.5,U
2024,2024-09-01T02:30:00.000Z,New Mexico,Arizona,-7.0,-7.0,0.0,0.0,Same/no major,0 TZ,19.5,Underdog,-22,-2.5,L,100.5,100,-0.5,U,0.5,-2.5,L,53.5,51,-2.5,U
2024,2024-09-02T23:30:00.000Z,Boston College,Florida State,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-14.5,Favorite,15,0.5,W,41.5,41,-0.5,U,-10.5,-2.5,L,20.5,20,-0.5,U
2024,2024-09-06T23:00:00.000Z,BYU,SMU,-7.0,-6.0,1.0,1.0,Eastbound,1 TZ,12.0,Underdog,3,15.0,W,55.5,33,-22.5,U,7.5,5.5,W,28.5,16,-12.5,U
2024,2024-09-06T23:00:00.000Z,Western Illinois,Indiana,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,74.5,Underdog,-74,0.5,W,80.5,80,-0.5,U,28.0,-11.0,L,31.0,45,14.0,O
2024,2024-09-07T01:00:00.000Z,Duke,Northwestern,-5.0,-6.0,-1.0,1.0,Westbound,1 TZ,2.5,Underdog,6,8.5,W,37.5,46,8.5,O,0.5,-2.5,L,17.0,17,0.0,P
2024,2024-09-07T16:00:00.000Z,Akron,Rutgers,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,22.5,Underdog,-32,-9.5,L,40.0,66,26.0,O,12.5,-5.5,L,20.5,24,3.5,O
2024,2024-09-07T16:00:00.000Z,Bowling Green,Penn State,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,34.0,Underdog,-7,27.0,W,49.5,61,11.5,O,20.5,24.5,W,27.5,44,16.5,O
2024,2024-09-07T16:00:00.000Z,Georgia Tech,Syracuse,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,-3.0,Favorite,-3,-6.0,L,61.5,59,-2.5,U,-1.5,-8.5,L,30.5,35,4.5,O
2024,2024-09-07T16:00:00.000Z,Pittsburgh,Cincinnati,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,2.0,Underdog,1,3.0,W,62.5,55,-7.5,U,0.5,-10.5,L,30.5,23,-7.5,U
2024,2024-09-07T16:00:00.000Z,Texas,Michigan,-6.0,-5.0,1.0,1.0,Eastbound,1 TZ,-7.0,Favorite,19,12.0,W,41.5,43,1.5,O,-3.5,17.5,W,20.5,27,6.5,O
2024,2024-09-07T16:00:00.000Z,Troy,Memphis,-6.0,-6.0,0.0,0.0,Same/no major,0 TZ,18.5,Underdog,-21,-2.5,L,56.5,55,-1.5,U,10.5,-3.5,L,29.5,28,-1.5,U
2024,2024-09-07T19:30:00.000Z,Baylor,Utah,-6.0,-7.0,-1.0,1.0,Westbound,1 TZ,9.5,Underdog,-11,-1.5,L,54.5,35,-19.5,U,7.5,-12.5,L,27.5,26,-1.5,U
2024,2024-09-07T19:30:00.000Z,California,Auburn,-8.0,-6.0,2.0,2.0,Eastbound,2 TZ,12.0,Underdog,7,19.0,W,53.5,35,-18.5,U,6.5,13.5,W,27.5,21,-6.5,U
2024,2024-09-07T19:30:00.000Z,Charlotte,North Carolina,-5.0,-5.0,0.0,0.0,Same/no major,0 TZ,21.5,Underdog,-18,3.5,W,48.0,58,10.0,O,11.5,-3.5,L,24.5,27,2.5,O
