game_id,week,date,away_team,home_team,signal_key,signal_label,market,side_team,direction,tier,status,reason,book,opening_line,opening_timestamp,consensus_open,current_line,current_timestamp,deviation_from_consensus,observed_move_toward_consensus,historical_mean_move,historical_holdout_n
,,2026-08-29,Hawai'i,Stanford,cross_book_spread_outlier,Stale opener: spread,Spread,Stanford,Expect FanDuel line toward consensus -3.5,confirmed_movement,active_price_available,"FanDuel opened -4.5, 1.0 points from the 10-book opening median -3.5.",FanDuel,-4.5,2026-07-17T05:24:54+00:00,-3.5,-4.5,2026-07-17T17:09:26.001534+00:00,-1.0,0.0,1.91,436
,,2026-08-29,Jacksonville State,North Dakota State,cross_book_spread_outlier,Stale opener: spread,Spread,Jacksonville State,Expect Caesars line toward consensus -8.5,confirmed_movement,active_price_available,"Caesars opened 7.5, 16.0 points from the 10-book opening median -8.5.",Caesars,7.5,2026-07-17T05:24:54+00:00,-8.5,7.5,2026-07-17T17:09:26.001534+00:00,16.0,-0.0,1.91,436
,,2026-08-29,New Mexico State,Florida State,cross_book_spread_outlier,Stale opener: spread,Spread,New Mexico State,Expect FanDuel line toward consensus -30.5,confirmed_movement,active_price_available,"FanDuel opened -29.5, 1.0 points from the 10-book opening median -30.5.",FanDuel,-29.5,2026-07-17T05:24:54+00:00,-30.5,-29.5,2026-07-17T17:09:26.001534+00:00,1.0,-0.0,1.91,436
,,2026-08-29,Sacramento State,Eastern Michigan,cross_book_spread_outlier,Stale opener: spread,Spread,Eastern Michigan,Expect FanDuel line toward consensus -7.5,confirmed_movement,active_price_available,"FanDuel opened -8.5, 1.0 points from the 10-book opening median -7.5.",FanDuel,-8.5,2026-07-17T05:24:54+00:00,-7.5,-8.5,2026-07-17T17:09:26.001534+00:00,-1.0,0.0,1.91,436
,,2026-08-29,San José State,USC,cross_book_total_outlier,Stale opener: total,Game Total,Over,Expect betmgm line toward consensus 58.5,confirmed_movement,active_price_available,"betmgm opened 55.5, 3.0 points from the 5-book opening median 58.5.",betmgm,55.5,2026-07-12T01:26:51.839465+00:00,58.5,55.5,2026-07-12T01:26:51.839465+00:00,-3.0,0.0,1.5,73
,,2026-08-29,San Jose State,USC,cross_book_total_outlier,Stale opener: total,Game Total,Over,Expect BetMGM line toward consensus 58.5,confirmed_movement,expected_move_already_started,"BetMGM opened 55.5, 3.0 points from the 4-book opening median 58.5.",BetMGM,55.5,2026-07-17T05:24:54+00:00,58.5,58.5,2026-07-17T17:09:26.001534+00:00,-3.0,3.0,1.5,73
,,2026-08-30,Memphis,UNLV,cross_book_spread_outlier,Stale opener: spread,Spread,UNLV,Expect FanDuel line toward consensus -3.5,confirmed_movement,active_price_available,"FanDuel opened -4.5, 1.0 points from the 10-book opening median -3.5.",FanDuel,-4.5,2026-07-17T05:24:54+00:00,-3.5,-4.5,2026-07-17T17:09:26.001534+00:00,-1.0,0.0,1.91,436
,,2026-09-05,Baylor Bears,Auburn Tigers,cross_book_spread_outlier,Stale opener: spread,Spread,Baylor Bears,Expect BetMGM line toward consensus -7.5,confirmed_movement,active_price_available,"BetMGM opened -6.5, 1.0 points from the 11-book opening median -7.5.",BetMGM,-6.5,2026-07-17T05:24:54+00:00,-7.5,-6.5,2026-05-23T14:04:26.768788+00:00,1.0,-0.0,1.91,436
,,2026-09-05,Baylor Bears,Auburn Tigers,cross_book_total_outlier,Stale opener: total,Game Total,Under,Expect BetMGM line toward consensus 59,confirmed_movement,active_price_available,"BetMGM opened 60.5, 1.5 points from the 10-book opening median 59.",BetMGM,60.5,2026-07-17T05:24:54+00:00,59.0,60.5,2026-05-23T14:04:26.768788+00:00,1.5,-0.0,1.5,73
,,2026-09-05,Coastal Carolina,West Virginia,cross_book_spread_outlier,Stale opener: spread,Spread,West Virginia,Expect FanDuel line toward consensus -18,confirmed_movement,active_price_available,"FanDuel opened -20.5, 2.5 points from the 10-book opening median -18.",FanDuel,-20.5,2026-07-17T05:24:54+00:00,-18.0,-20.5,2026-07-17T17:09:26.001534+00:00,-2.5,0.0,1.91,436
,,2026-09-05,East Carolina,Alabama,cross_book_spread_outlier,Stale opener: spread,Spread,East Carolina,Expect fanduel line toward consensus -26.5,confirmed_movement,active_price_available,"fanduel opened -25.5, 1.0 points from the 10-book opening median -26.5.",fanduel,-25.5,2026-07-12T01:26:51.839465+00:00,-26.5,-25.5,2026-07-12T01:26:51.839465+00:00,1.0,-0.0,1.91,436
,,2026-09-05,Florida International,South Florida,cross_book_spread_outlier,Stale opener: spread,Spread,Florida International,Expect fanduel line toward consensus -12.5,confirmed_movement,active_price_available,"fanduel opened -11.5, 1.0 points from the 10-book opening median -12.5.",fanduel,-11.5,2026-07-12T01:26:51.839465+00:00,-12.5,-11.5,2026-07-12T01:26:51.839465+00:00,1.0,-0.0,1.91,436
,,2026-09-05,Liberty,James Madison,cross_book_total_outlier,Stale opener: total,Game Total,Under,Expect FanDuel line toward consensus 50.5,confirmed_movement,active_price_available,"FanDuel opened 52.5, 2.0 points from the 9-book opening median 50.5.",FanDuel,52.5,2026-07-17T05:24:54+00:00,50.5,52.5,2026-07-17T17:09:26.001534+00:00,2.0,-0.0,1.5,73
,,2026-09-05,Louisiana-Monroe,Mississippi State,cross_book_spread_outlier,Stale opener: spread,Spread,Mississippi State,Expect FanDuel line toward consensus -28.5,confirmed_movement,active_price_available,"FanDuel opened -29.5, 1.0 points from the 4-book opening median -28.5.",FanDuel,-29.5,2026-07-17T05:24:54+00:00,-28.5,-29.5,2026-07-17T17:09:26.001534+00:00,-1.0,0.0,1.91,436
,,2026-09-05,Louisville Cardinals,Ole Miss Rebels,cross_book_spread_outlier,Stale opener: spread,Spread,Ole Miss Rebels,Expect BetMGM line toward consensus -6.5,confirmed_movement,active_price_available,"BetMGM opened -7.5, 1.0 points from the 3-book opening median -6.5.",BetMGM,-7.5,2026-07-17T05:24:54+00:00,-6.5,-7.5,2026-05-23T14:04:26.768788+00:00,-1.0,0.0,1.91,436
,,2026-09-05,Miami (FL),Stanford,cross_book_spread_outlier,Stale opener: spread,Spread,Miami (FL),Expect FanDuel line toward consensus 22.5,confirmed_movement,active_price_available,"FanDuel opened 23.5, 1.0 points from the 4-book opening median 22.5.",FanDuel,23.5,2026-07-17T05:24:54+00:00,22.5,23.5,2026-07-17T17:09:26.001534+00:00,1.0,-0.0,1.91,436
