game_id,date,away_team,home_team,signal_group,signal_type,market,period,team,opponent,direction,strength,score,confidence,headline,detail,supporting_data,source,projected_role,historical_games,historical_ats_record,historical_ats_pct,historical_avg_ats_margin,team_coach,team_coach_role_ats_record,team_coach_role_avg_ats_margin,team_coach_role,team_coach_source
g1,2026-08-29,Sacramento State,Eastern Michigan,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Eastern Michigan,Sacramento State,Eastern Michigan,Fade,-1.1039583333333334,High,Eastern Michigan returning production edge,"Eastern Michigan triggers High Overall RP vs Low Overall RP vs Sacramento State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 32.0% #131, off 21.0% #137, def 42.0% #101. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Chris Creighton,21-27,-2.9,Favorite,CFBD full-game lines/results
g7,2026-08-29,San Jose State,USC,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,USC,San Jose State,USC,Fade,-1.1039583333333334,High,USC returning production edge,"USC triggers High Overall RP vs Low Overall RP vs San Jose State. 2026 RP: USC overall 65.0% #13, off 67.0% #22, def 64.0% #16. Opponent RP: overall 24.0% #137, off 24.0% #133, def 23.0% #137. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Lincoln Riley,45-52-1,-1.68,Favorite,CFBD full-game lines/results
g19,2026-09-04,San Jose State,Eastern Michigan,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Eastern Michigan,San Jose State,Eastern Michigan,Fade,-1.1039583333333334,High,Eastern Michigan returning production edge,"Eastern Michigan triggers High Overall RP vs Low Overall RP vs San Jose State. 2026 RP: Eastern Michigan overall 62.0% #24, off 59.0% #52, def 64.0% #15. Opponent RP: overall 24.0% #137, off 24.0% #133, def 23.0% #137. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Chris Creighton,21-27,-2.9,Favorite,CFBD full-game lines/results
g62,2026-09-05,Ohio,Nebraska,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Nebraska,Ohio,Nebraska,Fade,-1.1039583333333334,High,Nebraska returning production edge,"Nebraska triggers High Overall RP vs Low Overall RP vs Ohio. 2026 RP: Nebraska overall 69.0% #3, off 69.0% #14, def 69.0% #7. Opponent RP: overall 33.0% #129, off 18.0% #138, def 48.0% #81. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Matt Rhule,28-28-3,0.86,Favorite,CFBD full-game lines/results
g68,2026-09-05,Ball State,Ohio State,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Ohio State,Ball State,Ohio State,Fade,-1.1039583333333334,High,Ohio State returning production edge,"Ohio State triggers High Overall RP vs Low Overall RP vs Ball State. 2026 RP: Ohio State overall 60.0% #31, off 71.0% #8, def 50.0% #78. Opponent RP: overall 36.0% #123, off 47.0% #89, def 24.0% #136. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Ryan Day,49-38-4,2.43,Favorite,CFBD full-game lines/results
g69,2026-09-05,UTEP,Oklahoma,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Oklahoma,UTEP,Oklahoma,Fade,-1.1039583333333334,High,Oklahoma returning production edge,"Oklahoma triggers High Overall RP vs Low Overall RP vs UTEP. 2026 RP: Oklahoma overall 65.0% #16, off 75.0% #3, def 55.0% #57. Opponent RP: overall 35.0% #126, off 27.0% #129, def 43.0% #99. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Brent Venables,18-17-1,0.26,Favorite,CFBD full-game lines/results
g86,2026-09-05,Missouri State,Texas A&M,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Texas A&M,Missouri State,Texas A&M,Fade,-1.1039583333333334,High,Texas A&M returning production edge,"Texas A&M triggers High Overall RP vs Low Overall RP vs Missouri State. 2026 RP: Texas A&M overall 65.0% #14, off 67.0% #21, def 63.0% #18. Opponent RP: overall 34.0% #128, off 25.0% #132, def 44.0% #95. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Mike Elko,14-21,0.59,Favorite,CFBD full-game lines/results
g95,2026-09-05,Washington State,Washington,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Washington,Washington State,Washington,Fade,-1.1039583333333334,High,Washington returning production edge,"Washington triggers High Overall RP vs Low Overall RP vs Washington State. 2026 RP: Washington overall 65.0% #15, off 69.0% #13, def 61.0% #27. Opponent RP: overall 42.0% #109, off 48.0% #86, def 36.0% #121. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Jedd Fisch,17-15,1.92,Favorite,CFBD full-game lines/results
g119,2026-09-12,Maryland,Connecticut,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Maryland,Connecticut,Maryland,Fade,-1.1039583333333334,High,Maryland returning production edge,"Maryland triggers High Overall RP vs Low Overall RP vs Connecticut. 2026 RP: Maryland overall 71.0% #2, off 68.0% #17, def 74.0% #4. Opponent RP: overall 31.0% #134, off 25.0% #131, def 37.0% #117. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Mike Locksley,17-19,2.44,Favorite,CFBD full-game lines/results
g125,2026-09-12,Western Kentucky,Georgia,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Georgia,Western Kentucky,Georgia,Fade,-1.1039583333333334,High,Georgia returning production edge,"Georgia triggers High Overall RP vs Low Overall RP vs Western Kentucky. 2026 RP: Georgia overall 68.0% #8, off 63.0% #32, def 72.0% #5. Opponent RP: overall 32.0% #133, off 37.0% #118, def 26.0% #134. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Kirby Smart,56-57-1,0.23,Favorite,CFBD full-game lines/results
g147,2026-09-12,Bowling Green,Nebraska,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Nebraska,Bowling Green,Nebraska,Fade,-1.1039583333333334,High,Nebraska returning production edge,"Nebraska triggers High Overall RP vs Low Overall RP vs Bowling Green. 2026 RP: Nebraska overall 69.0% #3, off 69.0% #14, def 69.0% #7. Opponent RP: overall 35.0% #124, off 32.0% #124, def 38.0% #112. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Matt Rhule,28-28-3,0.86,Favorite,CFBD full-game lines/results
g153,2026-09-12,Rice,Notre Dame,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Notre Dame,Rice,Notre Dame,Fade,-1.1039583333333334,High,Notre Dame returning production edge,"Notre Dame triggers High Overall RP vs Low Overall RP vs Rice. 2026 RP: Notre Dame overall 72.0% #1, off 67.0% #19, def 77.0% #2. Opponent RP: overall 39.0% #120, off 40.0% #113, def 38.0% #113. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,Marcus Freeman,33-18,5.84,Favorite,CFBD full-game lines/results
g156,2026-09-12,Charlotte,Ole Miss,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Ole Miss,Charlotte,Ole Miss,Fade,-1.1039583333333334,High,Ole Miss returning production edge,"Ole Miss triggers High Overall RP vs Low Overall RP vs Charlotte. 2026 RP: Ole Miss overall 61.0% #28, off 61.0% #42, def 62.0% #25. Opponent RP: overall 43.0% #107, off 52.0% #75, def 34.0% #126. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,,,,,
g178,2026-09-12,Delaware,Vanderbilt,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Delaware,Vanderbilt,Delaware,Fade,-5.097222222222222,Low,Delaware returning production edge,"Delaware triggers High Overall RP vs Low Overall RP vs Vanderbilt. 2026 RP: Delaware overall 62.0% #25, off 62.0% #38, def 62.0% #24. Opponent RP: overall 44.0% #106, off 38.0% #115, def 49.0% #80. Projected role: Underdog. 2023–25 early-season High Overall RP vs Low Overall RP Underdogs: 2-7-0 ATS, 22.2%, -5.10 ATS margin over 9 games.","2023–25 early-season High Overall RP vs Low Overall RP Underdogs: 2-7-0 ATS, 22.2%, -5.10 ATS margin over 9 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Underdog,9,2-7-0,0.2222222222222222,-5.097222222222222,Ryan Carty,3-3,-0.42,Underdog,CFBD full-game lines/results
g180,2026-09-12,Old Dominion,Virginia Tech,Returning Production,High Overall RP vs Low Overall RP,Spread,Full Game,Virginia Tech,Old Dominion,Virginia Tech,Fade,-1.1039583333333334,High,Virginia Tech returning production edge,"Virginia Tech triggers High Overall RP vs Low Overall RP vs Old Dominion. 2026 RP: Virginia Tech overall 69.0% #4, off 71.0% #9, def 67.0% #8. Opponent RP: overall 40.0% #114, off 23.0% #136, def 58.0% #45. Projected role: Favorite. 2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games.","2023–25 early-season High Overall RP vs Low Overall RP Favorites: 18-21-1 ATS, 46.2%, -1.10 ATS margin over 40 games",2026 Bill Connelly/SP+ RP + 2023–25 SP+ RP historical backtest with CFBD lines,Favorite,40,18-21-1,0.46153846153846156,-1.1039583333333334,James Franklin,63-50-4,2.37,Favorite,CFBD full-game lines/results
